Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
HiLoStrategy,2,0.3,H17,DAS,NoRAS,NoSurrender,3to2,50000,1.003954,-0.3954,50001.19,300.33,197.70,0
MentorStrategy,2,0.30,H17,DAS,NoRAS,NoSurrender,3to2,50000,1.004300,-0.4300,50001.28,297.06,215.02,0
RAPCStrategy,2,0.30,H17,DAS,NoRAS,NoSurrender,3to2,50000,1.004201,-0.4201,50001.22,291.21,210.03,0
WongHalvesStrategy,2,0.30,H17,DAS,NoRAS,NoSurrender,3to2,50000,1.003213,-0.3213,50000.81,253.11,160.65,0
RPCStrategy,2,0.30,H17,DAS,NoRAS,NoSurrender,3to2,50000,1.006774,-0.6774,50002.06,304.66,338.69,0
R14Strategy,2,0.30,H17,DAS,NoRAS,NoSurrender,3to2,50000,1.003045,-0.3045,50000.96,314.00,152.23,0
ZenCountStrategy,2,0.30,H17,DAS,NoRAS,NoSurrender,3to2,50000,1.003605,-0.3605,50001.09,302.27,180.26,0
OmegaIIStrategy,2,0.30,H17,DAS,NoRAS,NoSurrender,3to2,50000,1.007433,-0.7433,50002.19,294.89,371.67,0
