Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
HiLoStrategy,6,0.4,S17,DAS,NoRAS,NoSurrender,3to2,17000,1.001567,-0.1567,50001.33,849.80,78.35,0
MentorStrategy,6,0.40,S17,DAS,NoRAS,NoSurrender,3to2,17000,0.999755,0.0245,49999.78,878.24,-12.27,0
RPCStrategy,6,0.40,S17,DAS,NoRAS,NoSurrender,3to2,17000,0.996043,0.3957,49996.59,860.59,-197.84,0
ZenCountStrategy,6,0.40,S17,DAS,NoRAS,NoSurrender,3to2,17000,0.994039,0.5961,49994.84,865.61,-298.03,0
R14Strategy,6,0.40,S17,DAS,NoRAS,NoSurrender,3to2,17000,1.004014,-0.4014,50003.58,892.49,200.70,0
RAPCStrategy,6,0.40,S17,DAS,NoRAS,NoSurrender,3to2,17000,1.001413,-0.1413,50001.20,846.26,70.64,0
WongHalvesStrategy,6,0.40,S17,DAS,NoRAS,NoSurrender,3to2,17000,0.996831,0.3169,49997.60,758.04,-158.45,0
OmegaIIStrategy,6,0.40,S17,DAS,NoRAS,NoSurrender,3to2,17000,1.000702,-0.0702,50000.60,850.06,35.12,0
