table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,500.0,5.0,80000,549.8064375,545.0,49.8064375,-265.0,1375.0,0.444925,0.31335,0.207875,0.12125,0.08085,284.10409375,255.0,575.0,775.0,1.0182793289082415,2724.74103125,10.0,137.515475
5.0,500.0,500.0,6.0,80000,560.00403125,557.5,60.00403125,-415.0,1542.5,0.4447125,0.3335125,0.2382875,0.1634875,0.1120125,339.79228125,300.0,692.5,937.5,1.0190929028363913,3142.74009375,10.0,137.5170375
5.0,500.0,500.0,7.0,80000,570.4548125,565.0,70.4548125,-560.0,1717.5,0.446375,0.3486625,0.26465,0.205325,0.1423375,397.9366875,355.0,805.0,1075.024999999987,1.019415855197514,3628.7256875,10.0,137.497825
5.0,500.0,1000.0,0.25,80000,999.5481875,1000.0,-0.4518125,857.5,1142.5,0.494475,0.0003625,0.0,0.0,0.0,44.93309375,45.0,67.5,85.0,0.9994563512429714,831.07428125,10.0,137.5002375
5.0,500.0,1000.0,0.5,80000,1005.20834375,1005.0,5.20834375,807.5,1202.5,0.4745625,0.0065625,0.0,0.0,0.0,65.056125,60.0,120.0,160.0,1.0051961208499731,1002.3523125,10.0,137.4993
5.0,500.0,1000.0,0.75,80000,1009.44275,1010.0,9.44275,745.0,1275.0,0.46565,0.02635,0.0002125,0.0,0.0,89.736375,80.0,175.0,237.5,1.0079212833607332,1192.07325,10.0,137.51065
5.0,500.0,1000.0,1.0,80000,1014.827875,1015.0,14.827875,675.0,1357.5,0.4604375,0.0562125,0.00275,0.0,0.0,117.3418125,105.0,232.5,315.0,1.010512784614625,1410.46121875,10.0,137.502425
5.0,500.0,1000.0,1.25,80000,1021.20959375,1020.0,21.20959375,610.0,1437.5,0.453125,0.0856875,0.008725,6.25e-05,1.25e-05,143.089375,127.5,285.0,385.0,1.0131800314892114,1609.22178125,10.0,137.5084625
5.0,500.0,1000.0,1.5,80000,1027.267,1025.0,27.267,535.0,1522.5,0.451925,0.1158625,0.0189375,0.000425,0.000225,171.85421875,155.0,345.0,467.5,1.0148542379889496,1835.63775,10.0,137.5060125
5.0,500.0,1000.0,2.0,80000,1037.3026875,1035.0,37.3026875,375.0,1700.0,0.4492,0.1702625,0.049625,0.00365,0.0023625,228.82528125,205.0,465.0,620.0,1.0163803594538245,2277.281375,10.0,137.4918
5.0,500.0,1000.0,2.5,80000,1048.65175,1045.0,48.65175,227.5,1875.0,0.4460625,0.20945,0.0819875,0.0138125,0.0081625,285.10128125,255.0,580.0,785.0,1.0178293535936278,2728.74446875,10.0,137.510375
5.0,500.0,1000.0,3.0,80000,1060.33290625,1055.0,60.33290625,92.5,2047.5624999999854,0.4470375,0.23985,0.1118,0.030675,0.01775,338.93665625,300.0,685.0,922.5,1.0192140277142352,3140.04471875,10.0,137.51045
5.0,500.0,1000.0,4.0,80000,1083.0435625,1077.5,83.0435625,-200.0,2390.0,0.4421125,0.2810875,0.1625875,0.0725625,0.0446125,451.38315625,400.0,920.0,1245.0,1.020556613772396,4039.749125,10.0,137.5211375
5.0,500.0,1000.0,5.0,80000,1104.56746875,1097.5,104.56746875,-510.0,2757.5,0.443925,0.312275,0.206675,0.121275,0.0784125,564.66340625,502.5,1147.5,1567.524999999987,1.0212958632371076,4910.22446875,10.0,137.5047625
5.0,500.0,1000.0,6.0,80000,1134.27571875,1125.0,134.27571875,-782.5,3110.0,0.4410625,0.3277625,0.2343375,0.1663375,0.1079375,677.2266875,605.0,1370.0,1865.024999999987,1.023061270195168,5822.563875,10.0,137.506225
5.0,500.0,1000.0,7.0,80000,1150.46528125,1145.0,150.46528125,-1117.5,3422.5624999999854,0.441825,0.3436875,0.260275,0.204375,0.1370375,787.1204375,700.0,1605.0,2160.0,1.0226197015339795,6651.95696875,10.0,137.510175
10.0,1000.0,500.0,0.25,80000,495.684125,495.0,-4.315875,230.0,760.0,0.5039,0.182775,0.03355,0.0001,0.00015,81.73575,80.0,115.0,130.0,0.9972601377660215,1575.2160625,10.0,137.497
10.0,1000.0,500.0,0.5,80000,495.861375,495.0,-4.138625,230.0,765.0,0.5031125,0.1834875,0.034625,0.0001125,0.000125,82.0895625,80.0,115.0,135.0,0.9973798173524799,1579.51775,10.0,137.52495
10.0,1000.0,500.0,0.75,80000,497.443,500.0,-2.557,220.0,775.0,0.4998,0.1873875,0.037575,0.0001375,0.000225,84.6913125,80.0,120.0,145.0,0.9984126559185718,1610.866875,10.0,137.504125
10.0,1000.0,500.0,1.0,80000,499.589,500.0,-0.411,215.0,785.0,0.495825,0.1921625,0.0418375,0.0004,0.00045,89.799,85.0,135.0,170.0,0.9997525810432532,1661.15,10.0,137.5088
10.0,1000.0,500.0,1.25,80000,502.0565,505.0,2.0565,190.0,810.0,0.4864625,0.204675,0.053975,0.0010375,0.0010125,98.4945625,90.0,160.0,210.0,1.0011805152555873,1742.0359375,10.0,137.515125
10.0,1000.0,500.0,1.5,80000,504.077,505.0,4.077,170.0,840.0,0.4835625,0.21745,0.0650375,0.00255,0.0025125,108.442,100.0,190.0,250.0,1.0022283280646018,1829.622875,10.0,137.4999125
10.0,1000.0,500.0,2.0,80000,509.767625,510.0,9.767625,115.0,905.0,0.4735875,0.239975,0.0910125,0.0090875,0.0075,130.021875,120.0,240.0,320.0,1.0048712111334737,2005.1738125,10.0,137.504275
10.0,1000.0,500.0,2.5,80000,516.0195625,515.0,16.0195625,55.0,980.0,0.4677875,0.259275,0.1175,0.0214375,0.0164125,154.9598125,140.0,295.0,400.0,1.0072603933930881,2206.43175,10.0,137.51575
10.0,1000.0,500.0,3.0,80000,521.151625,520.0,21.151625,-5.0,1050.0,0.46065,0.2749875,0.139625,0.0366375,0.0279375,178.459125,160.0,350.0,470.0,1.0088770679303731,2382.7265,10.0,137.5061125
10.0,1000.0,500.0,4.0,80000,530.368875,530.0,30.368875,-150.0,1210.0,0.458025,0.3071,0.1877875,0.079275,0.05955,234.468,210.0,465.0,630.0,1.010763332200519,2821.512375,10.0,137.5011875
10.0,1000.0,500.0,5.0,80000,542.223625,540.0,42.223625,-285.0,1370.124999999971,0.455,0.3256625,0.2204375,0.1234875,0.089525,285.1891875,250.0,570.0,770.0,1.0131302315526436,3215.7563125,10.0,137.50925
10.0,1000.0,500.0,6.0,80000,554.9441875,550.0,54.9441875,-440.0,1555.0,0.449775,0.3401875,0.2472375,0.169225,0.1216375,343.2764375,305.0,690.0,935.0,1.0149799319755306,3667.8529375,10.0,137.5073375
