Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
NoStrategy,8,0.5,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.994204,0.5796,999.75,43.45,-5.80,912
WongHalvesStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.993047,0.6953,999.70,43.67,-6.95,1058
MentorStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.994023,0.5977,999.74,43.58,-5.98,1090
HiLoStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.994563,0.5437,999.76,43.63,-5.44,1124
RPCStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.994545,0.5455,999.76,43.60,-5.45,1139
RAPCStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.994436,0.5564,999.76,43.59,-5.56,1155
ZenCountStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.994650,0.5350,999.77,43.61,-5.35,1191
R14Strategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.993890,0.6110,999.73,44.06,-6.11,1192
OmegaIIStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,50000000,0.994180,0.5820,999.75,43.45,-5.82,1199
