Game Config,Strategy,Rules,Decision,Action A,Action B,Player Value,Dealer Upcard,Deviation TC,Total Hands,Notes
2deck_65pen_flatbet,WongHalvesStrategy,S17,Hit_vs_Stand,Hit,Stand,15,10,2.5,525671367,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Hit_vs_Stand,Hit,Stand,16,10,0.5,473692263,
2deck_65pen_flatbet,WongHalvesStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,2.5,1989793471,Consolidated across all player hands
2deck_65pen_flatbet,WongHalvesStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,4.5,41949473,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,4.5,41902708,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Surrender_vs_Hit,Surrender,Hit,14,10,2.0,564892465,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,9,2.0,144313659,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.5,525671371,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,11,0.5,100939219,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,9,0.0,130191467,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,10,-3.0,473692265,
2deck_65pen_flatbet,WongHalvesStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,11,-2.0,91256783,
