DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,-8.5,0.200000,0.700000,5,Decline,-0.500000
11,-8,-0.250000,0.250000,6,Decline,-0.500000
11,-7.5,0.075000,0.350000,20,Decline,-0.275000
11,-7,-0.012500,0.131250,80,Decline,-0.143750
11,-6.5,0.000000,0.110170,177,Decline,-0.110170
11,-6,0.018806,0.176991,452,Decline,-0.158186
11,-5.5,-0.120339,0.030085,1180,Decline,-0.150424
11,-5,-0.066615,0.058502,3205,Decline,-0.125117
11,-4.5,-0.060847,0.075049,7675,Decline,-0.135896
11,-4,-0.082576,0.038297,19806,Decline,-0.120873
11,-3.5,-0.083111,0.016565,47268,Decline,-0.099676
11,-3,-0.074852,0.024478,70820,Decline,-0.099329
11,-2.5,-0.100931,-0.007769,181163,Decline,-0.093162
11,-2,-0.034887,0.040462,550030,Decline,-0.075349
11,-1.5,-0.047013,0.021875,1131747,Decline,-0.068888
11,-1,0.030847,0.088357,3250064,Decline,-0.057510
11,-0.5,-0.157160,-0.102283,5282447,Decline,-0.054877
11,0,-0.254947,-0.194240,10112305,Decline,-0.060707
11,0.5,-0.420583,-0.375115,11796303,Decline,-0.045469
11,1,-0.473188,-0.431898,15040824,Decline,-0.041290
11,1.5,-0.442309,-0.402617,12139063,Decline,-0.039692
11,2,-0.387034,-0.344453,11100903,Decline,-0.042582
11,2.5,-0.390484,-0.341169,7128738,Decline,-0.049315
11,3,-0.382732,-0.333750,8226344,Decline,-0.048982
11,3.5,-0.394439,-0.346811,8745332,Decline,-0.047628
11,4,-0.394172,-0.348603,9012674,Decline,-0.045569
11,4.5,-0.386362,-0.337366,7938998,Decline,-0.048995
11,5,-0.400412,-0.356514,7778904,Decline,-0.043898
11,5.5,-0.396698,-0.352844,8844233,Decline,-0.043853
11,6,-0.402036,-0.358366,8270944,Decline,-0.043670
11,6.5,-0.396715,-0.352136,7527801,Decline,-0.044580
11,7,-0.390922,-0.343715,7333145,Decline,-0.047207
11,7.5,-0.398720,-0.355428,7441796,Decline,-0.043292
11,8,-0.394252,-0.349695,7304427,Decline,-0.044557
11,8.5,-0.398767,-0.355383,6489834,Decline,-0.043384
11,9,-0.396162,-0.353518,7292019,Decline,-0.042644
11,9.5,-0.395251,-0.352151,6751672,Decline,-0.043100
11,10,-0.397691,-0.352727,6457727,Decline,-0.044964
11,10.5,-0.394383,-0.348587,6379209,Decline,-0.045796
11,11,-0.393669,-0.351634,6377096,Decline,-0.042035
11,11.5,-0.392381,-0.349384,6257261,Decline,-0.042997
11,12,-0.400470,-0.358105,6327325,Decline,-0.042366
11,12.5,-0.396768,-0.355366,5498461,Decline,-0.041402
11,13,-0.389198,-0.342673,5938771,Decline,-0.046525
