DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,-56,-0.500000,0.000000,1,Decline,-0.500000
11,-55,-0.500000,0.000000,2,Decline,-0.500000
11,-53.5,-0.250000,0.250000,2,Decline,-0.500000
11,-52,-0.500000,0.000000,3,Decline,-0.500000
11,-50.5,-1.000000,-0.500000,4,Decline,-0.500000
11,-49.5,-0.500000,0.000000,8,Decline,-0.500000
11,-49,-0.687500,-0.375000,8,Decline,-0.312500
11,-48.5,-0.500000,0.000000,2,Decline,-0.500000
11,-48,-0.235294,0.088235,17,Decline,-0.323529
11,-47.5,-0.500000,0.000000,3,Decline,-0.500000
11,-47,-0.250000,-0.050000,10,Decline,-0.200000
11,-46.5,-0.439394,-0.075758,33,Decline,-0.363636
11,-46,-1.166667,-0.666667,9,Decline,-0.500000
11,-45.5,-0.500000,-0.125000,24,Decline,-0.375000
11,-45,-0.417722,-0.031646,79,Decline,-0.386076
11,-44.5,-0.425926,-0.092593,27,Decline,-0.333333
11,-44,-0.388235,-0.029412,85,Decline,-0.358824
11,-43.5,-0.279817,0.082569,109,Decline,-0.362385
11,-43,-0.475000,-0.125000,60,Decline,-0.350000
11,-42.5,-0.309028,0.055556,144,Decline,-0.364583
11,-42,-0.468571,-0.028571,175,Decline,-0.440000
11,-41.5,-0.315951,0.064417,163,Decline,-0.380368
11,-41,-0.327381,0.019048,420,Decline,-0.346429
11,-40.5,-0.360696,0.012438,201,Decline,-0.373134
11,-40,-0.413603,-0.117647,272,Decline,-0.295956
11,-39.5,-0.327033,-0.012600,873,Decline,-0.314433
11,-39,-0.351020,-0.059184,245,Decline,-0.291837
11,-38.5,-0.347573,-0.045631,1030,Decline,-0.301942
11,-38,-0.358782,-0.012974,1002,Decline,-0.345808
11,-37.5,-0.387405,-0.050573,1048,Decline,-0.336832
11,-37,-0.370463,-0.045552,1405,Decline,-0.324911
11,-36.5,-0.378102,-0.072263,2055,Decline,-0.305839
11,-36,-0.341340,-0.037611,1582,Decline,-0.303730
11,-35.5,-0.337750,-0.040679,2151,Decline,-0.297071
11,-35,-0.346812,-0.052566,3215,Decline,-0.294246
11,-34.5,-0.361572,-0.085225,2951,Decline,-0.276347
11,-34,-0.360932,-0.079088,5260,Decline,-0.281844
11,-33.5,-0.370747,-0.084142,6495,Decline,-0.286605
11,-33,-0.363802,-0.083527,6028,Decline,-0.280275
11,-32.5,-0.350506,-0.067514,8502,Decline,-0.282992
11,-32,-0.335831,-0.060366,6941,Decline,-0.275465
11,-31.5,-0.354274,-0.085949,9686,Decline,-0.268325
11,-31,-0.359367,-0.094461,15128,Decline,-0.264906
11,-30.5,-0.354772,-0.080325,12742,Decline,-0.274447
11,-30,-0.362781,-0.097918,17964,Decline,-0.264863
11,-29.5,-0.363024,-0.108456,27472,Decline,-0.254568
11,-29,-0.356080,-0.096332,16002,Decline,-0.259749
11,-28.5,-0.370419,-0.121794,32169,Decline,-0.248624
11,-28,-0.367346,-0.118158,41254,Decline,-0.249188
11,-27.5,-0.369246,-0.128304,36733,Decline,-0.240941
11,-27,-0.351887,-0.112633,27452,Decline,-0.239254
11,-26.5,-0.374045,-0.133463,70057,Decline,-0.240583
11,-26,-0.360773,-0.128306,72978,Decline,-0.232467
11,-25.5,-0.372356,-0.144380,99813,Decline,-0.227976
11,-25,-0.358018,-0.133682,58310,Decline,-0.224335
11,-24.5,-0.364176,-0.142149,89642,Decline,-0.222028
11,-24,-0.367547,-0.149828,129435,Decline,-0.217719
11,-23.5,-0.364887,-0.151981,146795,Decline,-0.212906
11,-23,-0.354203,-0.142464,129190,Decline,-0.211739
11,-22.5,-0.366185,-0.162902,201566,Decline,-0.203283
11,-22,-0.368096,-0.164197,200475,Decline,-0.203898
11,-21.5,-0.362695,-0.163075,215567,Decline,-0.199620
11,-21,-0.366568,-0.171549,300614,Decline,-0.195019
11,-20.5,-0.365371,-0.174353,281240,Decline,-0.191018
11,-20,-0.361195,-0.172109,319449,Decline,-0.189087
11,-19.5,-0.366720,-0.181798,393412,Decline,-0.184922
11,-19,-0.363654,-0.181793,431028,Decline,-0.181860
11,-18.5,-0.366594,-0.190050,528665,Decline,-0.176544
11,-18,-0.368669,-0.196440,594122,Decline,-0.172229
11,-17.5,-0.362901,-0.194617,741336,Decline,-0.168284
11,-17,-0.365694,-0.200686,634686,Decline,-0.165009
11,-16.5,-0.362524,-0.201525,867080,Decline,-0.160999
11,-16,-0.361233,-0.204357,824221,Decline,-0.156876
11,-15.5,-0.362646,-0.209806,1070690,Decline,-0.152841
11,-15,-0.361367,-0.212054,1153441,Decline,-0.149312
11,-14.5,-0.360863,-0.216308,1409419,Decline,-0.144556
11,-14,-0.360129,-0.218419,1436316,Decline,-0.141711
11,-13.5,-0.364766,-0.226365,1824269,Decline,-0.138401
11,-13,-0.352068,-0.217866,1643740,Decline,-0.134202
11,-12.5,-0.363196,-0.232505,2231029,Decline,-0.130691
11,-12,-0.356808,-0.230526,2277845,Decline,-0.126282
11,-11.5,-0.356220,-0.233460,2494796,Decline,-0.122759
11,-11,-0.360200,-0.241555,3136120,Decline,-0.118644
11,-10.5,-0.353788,-0.238924,3035133,Decline,-0.114864
11,-10,-0.356244,-0.244800,4032948,Decline,-0.111445
11,-9.5,-0.354418,-0.247575,3756305,Decline,-0.106844
11,-9,-0.353926,-0.250956,4537377,Decline,-0.102970
11,-8.5,-0.355820,-0.256250,5077193,Decline,-0.099571
