File,Strategy,Rules,Action A,Action B,UserValue,DealerValue,TrueCount,Hands Played,Action A EV,Action A Variance,Action B EV,Action B Variance,Best Action
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,50.5,65448,0.032575,0.923520,-0.007334,3.718929,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,51,96938,0.125936,0.905554,0.181889,3.673203,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,53.5,78632,0.052282,0.920746,0.032964,3.714551,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,2,55.5,50960,0.153827,0.897275,0.238932,3.645423,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,49.5,128242,0.170514,0.867503,0.112912,3.703600,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,50.5,63685,0.154715,0.871863,0.039256,3.730327,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,51,92972,0.219389,0.849483,0.238717,3.641633,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,52,152998,0.188290,0.862023,0.153414,3.689402,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,53,71393,0.222921,0.851389,0.258849,3.638571,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,53.5,76917,0.157858,0.870799,0.077460,3.712658,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,54.5,120929,0.197976,0.859490,0.179047,3.677755,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,56,83838,0.174956,0.866382,0.123977,3.702323,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,57.5,56505,0.178214,0.866107,0.133475,3.699873,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,9,7,60,52000,0.195173,0.858927,0.192462,3.669728,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,50,80220,0.051384,0.803368,0.072825,3.264455,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,50.5,295656,0.013938,0.860864,-0.035108,3.507602,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,51,338015,0.041986,0.825159,0.049045,3.356960,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,52,613986,0.026704,0.841876,0.007694,3.426898,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,53,247916,0.045782,0.820150,0.058246,3.334222,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,53.5,339156,0.020451,0.854262,-0.016470,3.479484,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,54.5,472488,0.034854,0.836610,0.027704,3.405194,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,55.5,164185,0.045814,0.812848,0.067119,3.302740,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,56,353582,0.027829,0.846316,0.008332,3.446000,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,56.5,54597,0.055278,0.797574,0.082019,3.241437,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,57.5,233722,0.026707,0.845172,0.009789,3.441086,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,58,92765,0.044683,0.810562,0.064291,3.290902,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,59,175988,0.027701,0.839966,0.019331,3.419200,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,59.5,95263,0.053368,0.807813,0.078226,3.282461,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,60,201166,0.036989,0.831292,0.035215,3.379729,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,60.5,126281,0.036704,0.829253,0.036712,3.374615,Double
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,62,122518,0.038117,0.828613,0.035538,3.369442,Hit
MentorStrategy_Hit_vs_Double_S17.csv,MentorStrategy,S17,Hit,Double,10,10,62.5,97406,0.051865,0.816479,0.072480,3.319716,Double
