File,Strategy,Rules,Action A,Action B,UserValue,DealerValue,TrueCount,Hands Played,Action A EV,Action A Variance,Action B EV,Action B Variance,Best Action
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,18,209566,0.076563,0.916487,0.080691,3.703423,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,26.5,128837,0.070764,0.917204,0.069685,3.705600,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,27,155684,0.080663,0.915695,0.089219,3.703019,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,32,121472,0.069712,0.916670,0.069119,3.703468,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,32.5,121707,0.080702,0.914585,0.090562,3.697518,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,33.5,113291,0.073907,0.917338,0.073686,3.708122,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,34,96133,0.085018,0.913736,0.099862,3.693730,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,47,75027,0.070575,0.917794,0.069868,3.707115,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,47.5,74648,0.111590,0.909635,0.148376,3.687233,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,48,69435,0.047526,0.920302,0.026845,3.709224,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,48.5,94286,0.091891,0.913559,0.114906,3.695555,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,49.5,131562,0.075759,0.916799,0.075554,3.706245,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,50.5,65272,0.026949,0.923269,-0.013176,3.718664,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,51,96502,0.124308,0.905648,0.175458,3.674257,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,53.5,78619,0.048411,0.921886,0.028543,3.716251,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,2,55.5,50293,0.149723,0.896478,0.235580,3.640285,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,47.5,71329,0.200802,0.856018,0.205414,3.655488,Double
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,48,67209,0.170528,0.869148,0.086685,3.716808,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,49.5,127398,0.171635,0.866113,0.111336,3.702074,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,50.5,63645,0.141708,0.875810,0.017535,3.727621,Hit
MentorStrategy_Hit_vs_Double_H17.csv,MentorStrategy,H17,Hit,Double,9,7,51,92654,0.214281,0.851120,0.228657,3.649704,Double
