Strategy,Rules,Decision,Action A,Action B,Player Value,Dealer Upcard,Deviation TC,Total Hands,Notes
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,9,2,0.7,76831148,
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,9,7,3.0,74483425,
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,10,10,2.8,311802099,
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,10,11,2.6,58115715,
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,11,11,-0.1,67395651,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,12,2,3.8,182824803,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,12,3,2.2,192976068,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,13,2,-0.2,184750126,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,13,3,-1.6,170382975,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,15,10,3.2,524952872,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,16,10,0.9,473128500,
HiLoStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,2.5,1989209555,Consolidated across all player hands
HiLoStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,N/A,41880456,
HiLoStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,N/A,41863992,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,14,10,3.0,564162899,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,9,2.2,144128872,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.5,524952872,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,11,0.8,100924618,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,9,0.4,130033292,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,10,-2.5,473128502,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,11,-1.7,91278729,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,9,2,0.7,77105196,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,9,7,3.0,74757855,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,10,10,2.9,312959645,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,10,11,2.6,58313083,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,11,11,-0.1,67605588,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,12,2,3.8,183506376,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,12,3,2.2,193708518,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,13,2,-0.2,185471068,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,13,3,-1.5,171041601,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,15,10,3.2,527042296,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,16,10,0.9,474940381,
HiLoStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,2.5,1995738645,Consolidated across all player hands
HiLoStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,N/A,42056071,
HiLoStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,N/A,42022413,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,14,10,3.0,566380669,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,9,2.2,144699007,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.5,527042304,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,11,0.8,101252750,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,9,0.4,130521688,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,10,-2.5,474940381,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,11,-1.7,91574987,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,9,2,1.4,77408962,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,9,7,47.5,75004967,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,10,10,47.5,313858291,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,10,11,47.5,58539481,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,11,11,18.4,67809292,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,12,2,48.8,184098144,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,12,3,47.3,194283892,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,13,2,1.2,186040448,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,13,3,0.6,171589008,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,15,10,47.5,528281352,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,16,10,47.3,476134766,
MentorStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,47.5,2001746384,Consolidated across all player hands
MentorStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,N/A,42145338,
MentorStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,N/A,42117191,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,14,10,47.5,567791811,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,9,47.4,145079050,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,10,18.3,528281352,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,11,39.0,101546595,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,9,35.4,130893785,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,10,-1.4,476134766,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,11,-0.2,91805308,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,9,2,1.5,77672690,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,9,7,48.8,75292249,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,10,10,47.5,315086902,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,10,11,47.4,58717191,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,11,11,15.5,68062529,
