table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used,prob_end_below_0.9xB0,prob_end_below_0.75xB0,prob_end_below_0.5xB0,prob_end_below_0.25xB0
5.0,500.0,200.0,0.25,10000,179.012,145.0,-20.988,-2.5,600.0,0.5779,0.507,0.4494,0.1463,0.3957,55.24475,55.0,67.5,75.0,0.9966662740680741,6295.6585,80.2164,1100.1475,0.5491,0.507,0.4494,0.4102
5.0,500.0,200.0,0.5,10000,181.74525,152.5,-18.25475,-2.5,592.5,0.5662,0.4935,0.436,0.1476,0.386,55.2415,55.0,70.0,75.0,0.9971223761569323,6343.68875,80.7773,1108.084,0.5362,0.4935,0.436,0.3988
5.0,500.0,200.0,0.75,10000,183.4675,150.0,-16.5325,-2.5,607.5,0.5645,0.4992,0.4385,0.1537,0.3884,56.30375,55.0,70.0,80.0,0.9974031192256905,6366.2915,80.4779,1103.7457,0.5383,0.4992,0.4385,0.4014
5.0,500.0,200.0,1.0,10000,188.09375,152.5,-11.90625,-5.0,630.0,0.5628,0.4967,0.4404,0.1664,0.3943,59.801,60.0,80.0,95.0,0.9981625208184944,6479.66525,80.306,1101.5157,0.5339,0.4967,0.4404,0.4055
5.0,500.0,200.0,1.25,10000,197.62925,162.5,-2.37075,-5.0,657.5,0.5444,0.4842,0.4326,0.1835,0.3915,65.3055,62.5,90.0,110.0,0.9996399914764195,6585.26075,79.4574,1089.8575,0.5192,0.4842,0.4326,0.401
5.0,500.0,200.0,1.5,10000,202.293,155.0,2.293,-5.0,692.5,0.5431,0.4931,0.4514,0.2029,0.414,72.45025,70.0,105.0,130.0,1.0003444988081325,6656.04625,77.8044,1066.9265,0.5205,0.4931,0.4514,0.4232
5.0,500.0,200.0,2.0,10000,215.41325,150.0,15.41325,-12.5,750.0,0.5412,0.4978,0.4598,0.2438,0.4315,88.033,85.0,135.0,165.0,1.0022372214604307,6889.461,75.8039,1039.3519,0.5237,0.4978,0.4598,0.4388
5.0,500.0,200.0,2.5,10000,229.60125,120.0,29.60125,-17.5,847.5,0.5447,0.514,0.4913,0.2771,0.4709,107.0335,102.5,165.0,205.0,1.0041657882759967,7105.798,71.8833,985.2512,0.5322,0.514,0.4913,0.4765
5.0,500.0,200.0,3.0,10000,241.9915,2.5,41.9915,-22.5,962.5,0.5654,0.5402,0.5225,0.2981,0.5058,124.8495,120.0,195.0,235.0,1.0057948504401701,7246.3475,67.8691,929.9703,0.5543,0.5402,0.5225,0.5107
5.0,500.0,200.0,4.0,10000,268.821,2.5,68.821,-35.0,1145.0,0.5851,0.571,0.5591,0.3249,0.5508,155.328,150.0,245.0,300.0,1.0091001654554501,7562.60975,62.5158,856.1439,0.5793,0.571,0.5591,0.5534
5.0,500.0,200.0,5.0,10000,279.58275,0.0,79.58275,-47.5,1377.5,0.6353,0.6257,0.6194,0.3076,0.6136,185.24425,180.0,295.0,367.5,1.010454257455306,7612.47275,55.1819,754.9407,0.6313,0.6257,0.6194,0.6156
5.0,500.0,200.0,6.0,10000,293.1405,0.0,93.1405,-57.5,1535.062499999999,0.6583,0.653,0.6476,0.3013,0.6439,212.57675,205.0,345.0,445.0,1.0118988317291746,7827.70125,51.5075,704.3399,0.6553,0.653,0.6476,0.6447
5.0,500.0,200.0,7.0,10000,311.53825,0.0,111.53825,-70.0,1765.0,0.6844,0.6806,0.677,0.2891,0.6746,240.69375,230.0,405.0,497.52500000000055,1.0138607992422048,8047.02875,47.3935,647.5508,0.6827,0.6806,0.677,0.6756
5.0,500.0,500.0,0.25,10000,478.54575,480.0,-21.45425,2.5,905.0624999999991,0.5313,0.3176,0.1489,0.0078,0.0293,57.1825,55.0,70.0,77.5,0.9972641787569412,7841.978,99.4076,1366.7278,0.4424,0.3176,0.1489,0.0543
5.0,500.0,500.0,0.5,10000,499.90175,502.5,-0.09825,2.5,957.5,0.4945,0.2945,0.1453,0.0166,0.0359,67.63125,65.0,95.0,112.5,0.9999880791403125,8241.85525,99.1635,1363.2172,0.4109,0.2945,0.1453,0.0591
5.0,500.0,500.0,0.75,10000,523.59275,527.5,23.59275,0.0,1042.5,0.4584,0.2807,0.1532,0.0355,0.0507,88.55275,85.0,135.0,162.5,1.002653241338406,8892.04825,98.6658,1356.3336,0.3821,0.2807,0.1532,0.0754
5.0,500.0,500.0,1.0,10000,537.043,540.0,37.043,-5.0,1160.0,0.4461,0.3037,0.185,0.0713,0.0891,115.71025,110.0,175.0,215.02500000000055,1.0038419938914236,9641.60825,97.1506,1335.2158,0.3852,0.3037,0.185,0.1111
5.0,500.0,500.0,1.25,10000,563.829,565.0,63.829,-10.0,1280.062499999999,0.4228,0.3013,0.2063,0.1135,0.1248,139.168,132.5,215.0,260.0,1.0062176011864572,10265.85625,95.4113,1311.2035,0.3669,0.3013,0.2063,0.1426
5.0,500.0,500.0,1.5,10000,592.398,595.0,92.398,-17.5,1412.562499999999,0.4118,0.3041,0.2241,0.1597,0.1584,166.025,160.0,255.0,312.5,1.0083835223292215,11021.38175,93.5375,1285.1138,0.3671,0.3041,0.2241,0.1743
5.0,500.0,500.0,2.0,10000,629.6145,627.5,129.6145,-35.0,1690.0,0.4131,0.3489,0.2972,0.2511,0.251,216.773,205.0,332.5,415.0,1.010599216416284,12228.687,87.9039,1207.1839,0.3849,0.3489,0.2972,0.2635
5.0,500.0,500.0,2.5,10000,674.036,647.5,174.036,-47.5,1990.0,0.4308,0.3841,0.3481,0.3155,0.3204,266.67425,255.0,405.0,510.02500000000055,1.013062361412339,13323.4715,82.7532,1136.0303,0.4109,0.3841,0.3481,0.3277
5.0,500.0,500.0,3.0,10000,698.39425,615.0,198.39425,-65.0,2235.062499999999,0.4605,0.4273,0.4051,0.3463,0.384,311.30825,295.0,475.0,590.0,1.0143956603372482,13781.53175,77.0865,1057.6717,0.4471,0.4273,0.4051,0.3905
5.0,500.0,500.0,4.0,10000,738.167,382.5,238.167,-95.0,2740.062499999999,0.52,0.499,0.4859,0.3613,0.4736,395.57625,377.5,620.0,770.0,1.0160274010974604,14859.98875,69.0352,946.5029,0.5106,0.499,0.4859,0.4776
5.0,500.0,500.0,5.0,10000,786.21725,0.0,286.21725,-127.5,3422.562499999999,0.5769,0.5666,0.5598,0.3569,0.5531,473.092,450.0,745.0,930.0,1.0179127368092253,15978.421,60.3837,826.8896,0.573,0.5666,0.5598,0.5549
5.0,500.0,500.0,6.0,10000,808.3155,-5.0,308.3155,-152.5,3907.562499999999,0.6218,0.6159,0.6099,0.3323,0.6056,543.72125,520.0,875.0,1090.0,1.0184671054525027,16695.3885,54.939,751.8322,0.6196,0.6159,0.6099,0.6068
