Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
NoStrategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.996200,0.3800,999.91,23.29,-3.80,1613
HiLoStrategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.996419,0.3581,999.92,23.38,-3.58,1764
MentorStrategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.996047,0.3953,999.91,23.36,-3.95,1835
OmegaIIStrategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.996228,0.3772,999.91,23.29,-3.77,1970
RAPCStrategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.996390,0.3610,999.92,23.36,-3.61,1999
R14Strategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.995873,0.4127,999.90,23.62,-4.13,2030
RPCStrategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.996424,0.3576,999.92,23.36,-3.58,2038
ZenCountStrategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.996538,0.3462,999.92,23.37,-3.46,2040
WongHalvesStrategy,6,0.35,S17,DAS,NoRAS,NoSurrender,3to2,150000000,0.995106,0.4894,999.89,23.41,-4.89,2091
