table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used,prob_end_below_0.9xB0,prob_end_below_0.75xB0,prob_end_below_0.5xB0,prob_end_below_0.25xB0,prob_end_below_0.1xB0
5.0,500.0,200.0,5.0,10000,640.5525,0.0,440.5525,-50.0,4525.0,0.7719,0.7716,0.7716,0.2263,0.7716,227.55625,215.0,390.0,465.0,1.010696449771227,41186.7965,295.962,4064.9268,0.7717,0.7716,0.7716,0.7716,0.7716
5.0,500.0,200.0,6.0,10000,710.89475,-2.5,510.89475,-65.0,5330.124999999998,0.792,0.7917,0.7916,0.207,0.7914,257.50275,235.0,465.0,555.0,1.0123903169660087,41233.38825,268.6865,3689.8063,0.7918,0.7917,0.7916,0.7915,0.7915
5.0,500.0,200.0,7.0,10000,772.3,-5.0,572.3,-72.5,6145.124999999998,0.8054,0.8052,0.8052,0.1943,0.8052,287.439,257.5,530.0,627.5,1.0134366891697362,42592.3375,248.4508,3411.3646,0.8052,0.8052,0.8052,0.8052,0.8052
5.0,500.0,500.0,0.25,10000,338.53075,2.5,-161.46925,-5.0,1582.5,0.6987,0.6532,0.6179,0.1284,0.5837,66.77775,65.0,80.0,85.0,0.9969111695279059,52275.20625,662.8713,9110.9833,0.6792,0.6532,0.6179,0.5933,0.5852
5.0,500.0,500.0,0.5,10000,460.99475,2.5,-39.00525,-5.0,1860.1249999999982,0.616,0.573,0.5458,0.2057,0.5201,88.3505,85.0,120.0,135.0,0.999321139335837,57456.9305,691.576,9506.3151,0.5998,0.573,0.5458,0.528,0.5212
5.0,500.0,500.0,0.75,10000,613.57675,212.5,113.57675,-10.0,2305.062499999999,0.5513,0.5247,0.5035,0.3036,0.4892,121.89275,120.0,170.0,195.0,1.0018276117736742,62144.8995,689.8076,9482.5468,0.5396,0.5247,0.5035,0.4924,0.4896
5.0,500.0,500.0,1.0,10000,800.4785,450.0,300.4785,-17.5,2865.124999999998,0.5077,0.4914,0.4816,0.3853,0.4728,160.4525,155.0,222.5,257.5,1.0044570328992428,67416.71125,679.2411,9337.3007,0.4997,0.4914,0.4816,0.4748,0.4732
5.0,500.0,500.0,1.25,10000,939.7485,468.75,439.7485,-22.5,3337.562499999999,0.5025,0.4931,0.4873,0.4273,0.4815,192.892,190.0,270.0,312.5,1.0062122692531419,70787.096,657.6388,9040.0194,0.499,0.4931,0.4873,0.4828,0.4817
5.0,500.0,500.0,1.5,10000,1101.356,493.75,601.356,-30.0,3977.5,0.5006,0.4929,0.4874,0.4476,0.4828,228.52125,225.0,322.5,372.5,1.0080348164691397,74843.7755,634.9073,8727.2596,0.4968,0.4929,0.4874,0.484,0.483
5.0,500.0,500.0,2.0,10000,1331.785,2.5,831.785,-45.0,5187.562499999999,0.5452,0.5433,0.5414,0.4332,0.539,292.65,290.0,425.0,482.5,1.0105433124691217,78892.189,566.4307,7785.7445,0.5442,0.5433,0.5414,0.5399,0.5391
5.0,500.0,500.0,2.5,10000,1552.23475,2.5,1052.23475,-60.0,6442.8749999999945,0.5772,0.5755,0.575,0.4114,0.5744,354.4805,350.0,527.5,600.0,1.0126018056670167,83498.7285,516.9194,7104.6671,0.5766,0.5755,0.575,0.5744,0.5744
5.0,500.0,500.0,3.0,10000,1679.6765,0.0,1179.6765,-77.5,7507.5,0.6145,0.6138,0.6135,0.3796,0.6129,404.961,405.0,620.0,715.0,1.014030511362324,84079.366,469.0562,6446.2375,0.6144,0.6138,0.6135,0.6132,0.613
5.0,500.0,500.0,4.0,10000,1935.27,-5.0,1435.27,-107.5,9695.124999999998,0.6665,0.666,0.6656,0.33,0.6656,507.3595,502.5,802.5,925.0,1.0162585784470803,88277.7055,407.3485,5597.6825,0.6663,0.666,0.6656,0.6656,0.6656
5.0,500.0,500.0,5.0,10000,2104.5135,-10.0,1604.5135,-140.0,11935.62499999999,0.7131,0.713,0.7129,0.2857,0.7127,595.679,575.0,985.0,1165.0,1.017232291792989,93110.8595,349.0731,4795.766,0.7131,0.713,0.7129,0.7129,0.7127
5.0,500.0,500.0,6.0,10000,2257.527,-15.0,1757.527,-162.5,13980.749999999989,0.7423,0.7422,0.7421,0.2569,0.7421,674.3065,630.0,1177.6249999999982,1392.5,1.018319677930104,95936.5665,312.2477,4289.3474,0.7422,0.7422,0.7421,0.7421,0.7421
5.0,500.0,500.0,7.0,10000,2403.54475,-20.0,1903.54475,-192.5,16158.12499999999,0.767,0.7669,0.7669,0.2324,0.7669,743.95825,670.0,1355.0,1587.5250000000005,1.0195324852314194,97455.32775,282.2735,3876.9348,0.7669,0.7669,0.7669,0.7669,0.7669
5.0,500.0,1000.0,0.25,10000,947.199,930.0,-52.801,-2.5,2402.5,0.533,0.407,0.2971,0.0757,0.1962,93.39875,90.0,122.5,140.0,0.9993138233305668,76949.5705,926.0009,12731.934,0.4842,0.407,0.2971,0.2213,0.1999
5.0,500.0,1000.0,0.5,10000,1416.31075,1428.75,416.31075,-10.0,3355.062499999999,0.3421,0.2657,0.2179,0.2859,0.1772,171.018,165.0,227.5,260.0,1.0045808318122422,90881.038,915.2041,12583.9248,0.3107,0.2657,0.2179,0.1851,0.1785
5.0,500.0,1000.0,0.75,10000,1818.22125,1880.0,818.22125,-22.5,4480.124999999998,0.3038,0.2678,0.2434,0.4677,0.2261,247.927,242.5,330.0,390.0,1.0079968578891954,102317.843,867.6029,11929.4129,0.2873,0.2678,0.2434,0.2309,0.2271
5.0,500.0,1000.0,1.0,10000,2201.15325,2280.0,1201.15325,-35.0,5770.0,0.3181,0.3019,0.2884,0.5522,0.2784,322.346,315.0,435.0,495.0,1.0105408891030516,113951.7965,817.7111,11242.4249,0.3108,0.3019,0.2884,0.2811,0.2789
5.0,500.0,1000.0,1.25,10000,2562.87375,2638.75,1562.87375,-50.0,7020.124999999998,0.345,0.3346,0.3289,0.5775,0.3233,398.855,390.0,547.5,637.5,1.012560965336486,124423.0605,770.1581,10588.1599,0.3409,0.3346,0.3289,0.3247,0.3237
5.0,500.0,1000.0,1.5,10000,2843.96125,2818.75,1843.96125,-62.5,8150.062499999999,0.3811,0.374,0.3698,0.5727,0.3674,468.288,460.0,647.5,755.0,1.0142323279311187,129561.4645,721.8799,9924.7261,0.3775,0.374,0.3698,0.368,0.3674
5.0,500.0,1000.0,2.0,10000,3202.36425,2461.25,2202.36425,-92.5,10517.5625,0.4618,0.459,0.4573,0.5166,0.4561,595.4345,590.0,850.0,995.0,1.0160006512684634,137642.163,634.1137,8717.0935,0.4606,0.459,0.4573,0.4566,0.4561
5.0,500.0,1000.0,2.5,10000,3658.77325,2.5,2658.77325,-120.0,13247.749999999996,0.519,0.517,0.5157,0.4696,0.5152,719.6515,718.75,1050.0,1220.0,1.0175872062886577,151176.5545,566.1593,7782.3334,0.518,0.517,0.5157,0.5153,0.5152
5.0,500.0,1000.0,3.0,10000,4007.30775,0.0,3007.30775,-157.5,15465.249999999996,0.5604,0.5592,0.5588,0.4341,0.5584,834.47925,835.0,1260.0,1437.5,1.0188082572783594,159892.9505,519.3606,7138.404,0.56,0.5592,0.5588,0.5584,0.5584
5.0,500.0,1000.0,4.0,10000,4380.459,-12.5,3380.459,-215.06249999999994,20263.31249999999,0.6367,0.6361,0.636,0.3593,0.6358,1033.177,1022.5,1637.5,1905.0,1.019848224764446,170315.43325,429.2349,5898.6954,0.6366,0.6361,0.636,0.6358,0.6358
5.0,500.0,1000.0,5.0,10000,4649.985,-22.5,3649.985,-267.5,24535.187499999996,0.6918,0.6915,0.6913,0.3064,0.6912,1200.11325,1162.5,1985.0,2305.0,1.02079408087276,175529.99925,367.4467,5048.4119,0.6916,0.6915,0.6913,0.6912,0.6912
5.0,500.0,1000.0,6.0,10000,4859.44125,-35.0,3859.44125,-340.0,28838.937499999978,0.7312,0.731,0.731,0.2675,0.7309,1364.52,1280.0,2350.0,2787.5,1.0213122292831642,181090.45275,322.1275,4425.2959,0.7312,0.731,0.731,0.7309,0.7309
5.0,500.0,1000.0,7.0,10000,4846.71525,-47.5,3846.71525,-392.5,32695.0625,0.7683,0.7682,0.7681,0.2311,0.7679,1490.93175,1345.0,2680.0,3170.0,1.0213489477602151,180182.89675,280.279,3849.684,0.7682,0.7682,0.7681,0.768,0.7679
10.0,1000.0,500.0,0.25,10000,299.1265,5.0,-200.8735,-10.0,2530.0,0.8234,0.8155,0.8097,0.137,0.8045,124.068,125.0,150.0,160.0,0.9967712581628507,62214.172,395.7273,5435.6736,0.8205,0.8155,0.8097,0.8059,0.8048
10.0,1000.0,500.0,0.5,10000,313.1315,5.0,-186.8685,-10.0,2535.124999999998,0.8132,0.8052,0.7991,0.1441,0.7951,124.8815,125.0,150.0,170.0,0.9970365920544586,63058.6485,400.0644,5495.3328,0.8101,0.8052,0.7991,0.7964,0.7953
10.0,1000.0,500.0,0.75,10000,347.0625,5.0,-152.9375,-10.0,2700.124999999998,0.8017,0.7943,0.7886,0.1561,0.7849,134.5635,130.0,180.0,205.0,0.997633230128368,64618.661,403.4348,5542.1461,0.7983,0.7943,0.7886,0.7856,0.7849
10.0,1000.0,500.0,1.0,10000,435.9245,5.0,-64.0755,-10.0,3110.0,0.7748,0.7702,0.7646,0.1886,0.7619,158.8735,155.0,225.0,265.0,0.9990758679454084,69335.87,417.5427,5735.924,0.7731,0.7702,0.7646,0.7626,0.762
10.0,1000.0,500.0,1.25,10000,528.9065,5.0,28.9065,-20.0,3480.0,0.7477,0.7411,0.7364,0.2183,0.7325,184.927,180.0,270.0,310.0,1.0003898392594277,74149.792,432.0498,5936.0446,0.7449,0.7411,0.7364,0.7334,0.7327
10.0,1000.0,500.0,1.5,10000,634.774,5.0,134.774,-25.0,3940.0,0.7311,0.7268,0.7242,0.2412,0.7217,215.2485,210.0,320.0,370.0,1.0017319869959742,77814.672,432.1736,5937.8082,0.7292,0.7268,0.7242,0.7222,0.7219
10.0,1000.0,500.0,2.0,10000,847.0655,5.0,347.0655,-40.0,4900.124999999998,0.7109,0.7076,0.7058,0.2716,0.7048,278.9245,275.0,420.0,495.0,1.0041671028091514,83287.002,419.8018,5768.2222,0.7092,0.7076,0.7058,0.7051,0.7048
10.0,1000.0,500.0,2.5,10000,1046.785,0.0,546.785,-60.0,5940.249999999996,0.7015,0.7008,0.6998,0.2875,0.6992,332.487,330.0,515.0,605.0,1.0061965775945587,88239.8375,410.088,5634.9007,0.7012,0.7008,0.6998,0.6994,0.6993
10.0,1000.0,500.0,3.0,10000,1266.0575,0.0,766.0575,-75.0,7255.249999999996,0.7036,0.7023,0.7014,0.2897,0.7005,389.776,390.0,610.0,700.0,1.008289559906049,92412.3245,392.3248,5390.1311,0.703,0.7023,0.7014,0.7008,0.7007
10.0,1000.0,500.0,4.0,10000,1486.2785,0.0,986.2785,-100.0,9270.249999999996,0.7366,0.7364,0.7361,0.2606,0.7358,487.2975,470.0,790.0,940.0,1.0103473614023057,95316.9085,342.4934,4705.0367,0.7365,0.7364,0.7361,0.7359,0.7358
10.0,1000.0,500.0,5.0,10000,1794.3035,-5.0,1294.3035,-140.0,11710.124999999998,0.7514,0.7513,0.7511,0.2474,0.7511,580.2125,550.0,980.0,1150.0,1.0128049172569666,101078.6305,313.3787,4304.5692,0.7514,0.7513,0.7511,0.7511,0.7511
10.0,1000.0,500.0,6.0,10000,1920.613,-10.0,1420.613,-160.0,13690.749999999989,0.7747,0.7746,0.7746,0.2248,0.7745,658.6955,610.0,1160.0,1385.1500000000033,1.013974083564973,101660.5485,283.6093,3895.2484,0.7746,0.7746,0.7746,0.7746,0.7745
10.0,1000.0,500.0,7.0,10000,2049.4275,-15.0,1549.4275,-195.0,15340.124999999998,0.7938,0.7938,0.7937,0.2054,0.7937,728.445,650.0,1340.0,1595.0,1.0151153047592645,102507.1955,257.1875,3531.6969,0.7938,0.7938,0.7937,0.7937,0.7937
10.0,1000.0,1000.0,0.25,10000,693.6375,5.0,-306.3625,-10.0,3165.0,0.6869,0.6451,0.61,0.1325,0.5787,133.4365,130.0,160.0,170.0,0.9970870831843518,105173.7895,666.7938,9164.9395,0.6716,0.6451,0.61,0.5882,0.5797
10.0,1000.0,1000.0,0.5,10000,892.6425,5.0,-107.3575,-10.0,3700.0,0.623,0.5856,0.5562,0.1934,0.5304,176.635,170.0,240.0,270.0,0.9990573909463796,113893.9835,685.5912,9424.0205,0.6068,0.5856,0.5562,0.5362,0.5314
10.0,1000.0,1000.0,0.75,10000,1231.936,450.0,231.936,-20.0,4680.0,0.5476,0.5232,0.5044,0.3002,0.4866,244.5685,240.0,340.0,385.0,1.0018585112327882,124796.663,692.6145,9520.7272,0.5381,0.5232,0.5044,0.4912,0.4872
10.0,1000.0,1000.0,1.0,10000,1590.37,880.0,590.37,-35.0,5710.124999999998,0.5079,0.4929,0.4822,0.3832,0.4729,320.3105,310.0,440.0,510.0,1.0043911355679114,134445.8605,677.1478,9308.1717,0.5008,0.4929,0.4822,0.4745,0.4732
10.0,1000.0,1000.0,1.25,10000,1902.544,1105.0,902.544,-50.0,6750.0,0.4943,0.4833,0.4764,0.4292,0.4704,386.035,380.0,540.0,630.0,1.0063123734599115,142980.1335,663.8518,9125.3017,0.4892,0.4833,0.4764,0.4716,0.4706
10.0,1000.0,1000.0,1.5,10000,2142.175,317.5,1142.175,-65.0,7965.124999999998,0.5134,0.5067,0.502,0.4358,0.4989,454.789,450.0,645.0,740.0,1.007770029468254,146997.512,623.507,8570.7201,0.5112,0.5067,0.502,0.4997,0.499
10.0,1000.0,1000.0,2.0,10000,2573.7945,5.0,1573.7945,-90.0,10130.249999999996,0.5549,0.5515,0.5499,0.4241,0.5479,583.4195,580.0,840.0,965.0,1.0100735529716718,156230.3295,561.0841,7711.9606,0.5533,0.5515,0.5499,0.5486,0.548
10.0,1000.0,1000.0,2.5,10000,2985.8505,5.0,1985.8505,-120.0,12510.249999999996,0.5862,0.5845,0.5827,0.4033,0.5819,707.3295,700.0,1050.0,1240.050000000001,1.0120360266609818,164992.1985,511.1,7024.547,0.5855,0.5845,0.5827,0.5823,0.582
10.0,1000.0,1000.0,3.0,10000,3421.7625,0.0,2421.7625,-150.1249999999999,14735.124999999998,0.607,0.606,0.6057,0.3865,0.6052,819.098,820.0,1250.0,1470.0,1.0141953918323656,170602.0185,475.2084,6530.9861,0.6065,0.606,0.6057,0.6055,0.6053
10.0,1000.0,1000.0,4.0,10000,3863.2885,-10.0,2863.2885,-210.0,19395.0,0.665,0.6642,0.6638,0.333,0.6637,1011.4165,1005.0,1600.0,1845.050000000001,1.0161895568203396,176860.215,407.9032,5605.0121,0.6646,0.6642,0.6638,0.6637,0.6637
10.0,1000.0,1000.0,5.0,10000,4173.616,-20.0,3173.616,-280.0,24050.125,0.7192,0.7189,0.7188,0.2796,0.7188,1185.75,1150.0,1960.0,2290.0,1.0171821359517363,184704.3935,346.0086,4753.4599,0.7192,0.7189,0.7188,0.7188,0.7188
10.0,1000.0,1000.0,6.0,10000,4481.1065,-30.0,3481.1065,-325.0,28235.0,0.7459,0.7455,0.7453,0.2531,0.7452,1344.816,1260.0,2320.0,2750.0,1.0183278939342209,189934.889,309.1136,4246.2488,0.7458,0.7455,0.7453,0.7452,0.7452
10.0,1000.0,1000.0,7.0,10000,4815.8065,-40.0,3815.8065,-385.0,32340.499999999993,0.7657,0.7656,0.7654,0.2339,0.7654,1486.218,1340.0,2705.0,3190.0,1.019497594278012,195706.529,283.1966,3889.4409,0.7656,0.7656,0.7654,0.7654,0.7654
10.0,1000.0,2000.0,0.25,10000,1884.076,1850.0,-115.924,-5.0,4740.124999999998,0.537,0.408,0.2953,0.0729,0.1922,187.4235,180.0,245.0,280.0,0.9992476099133761,154074.332,926.8759,12744.5125,0.485,0.408,0.2953,0.2195,0.1964
10.0,1000.0,2000.0,0.5,10000,2798.6855,2847.5,798.6855,-20.0,6735.3749999999945,0.3537,0.2838,0.2263,0.2855,0.1857,343.242,330.0,450.0,530.0,1.0044099125757195,181111.4135,911.9267,12538.9413,0.3257,0.2838,0.2263,0.1956,0.1874
10.0,1000.0,2000.0,0.75,10000,3681.1135,3765.0,1681.1135,-45.0,9040.124999999998,0.2942,0.2607,0.237,0.4671,0.2184,495.071,480.0,660.0,770.0,1.008152078971233,206218.991,874.3613,12022.3245,0.2802,0.2607,0.237,0.223,0.2186
10.0,1000.0,2000.0,1.0,10000,4439.4335,4560.0,2439.4335,-70.0,11510.0,0.3165,0.298,0.2865,0.5514,0.2773,645.279,630.0,880.0,1000.0,1.0106730918024476,228559.2165,819.9535,11273.4866,0.3079,0.298,0.2865,0.2796,0.2775
10.0,1000.0,2000.0,1.25,10000,5068.7655,5140.0,3068.7655,-100.0,13980.124999999998,0.3476,0.3377,0.331,0.5708,0.3264,801.292,780.0,1095.0,1270.0,1.012365101678065,248179.5605,767.8737,10557.0716,0.3435,0.3377,0.331,0.3272,0.3266
10.0,1000.0,2000.0,1.5,10000,5694.875,5670.0,3694.875,-125.0,16295.124999999998,0.3835,0.3788,0.3758,0.5693,0.3727,937.0215,920.0,1300.0,1495.0,1.0142933091444966,258503.819,720.1816,9901.327,0.3813,0.3788,0.3758,0.3733,0.3729
10.0,1000.0,2000.0,2.0,10000,6580.07,5215.0,4580.07,-180.0,21505.249999999996,0.4497,0.4469,0.4448,0.526,0.4427,1195.5165,1180.0,1710.0,1980.0,1.0163863151716013,279505.792,644.187,8855.4847,0.4486,0.4469,0.4448,0.4433,0.4428
10.0,1000.0,2000.0,2.5,10000,7307.9265,5.0,5307.9265,-245.0,25875.499999999993,0.5131,0.5117,0.511,0.4753,0.5101,1445.593,1430.0,2120.0,2485.0,1.0174568358956035,304060.056,568.8035,7818.6532,0.5124,0.5117,0.511,0.5103,0.5101
10.0,1000.0,2000.0,3.0,10000,7685.583,0.0,5685.583,-315.0,30565.374999999993,0.5696,0.5687,0.5678,0.4229,0.5672,1661.9445,1660.0,2500.0,2875.600000000013,1.018060902564602,314800.602,511.7559,7033.5948,0.5692,0.5687,0.5678,0.5675,0.5673
10.0,1000.0,2000.0,4.0,10000,8907.7,-20.0,6907.7,-425.0,41275.49999999999,0.6313,0.6309,0.6307,0.3655,0.6307,2070.702,2055.0,3290.0,3850.0,1.0200303375072144,344861.8875,434.4656,5970.533,0.631,0.6309,0.6307,0.6307,0.6307
10.0,1000.0,2000.0,5.0,10000,9403.008,-45.0,7403.008,-555.0,49190.25,0.6893,0.6891,0.6891,0.3095,0.689,2408.194,2345.0,3965.2499999999964,4640.0,1.0209348608239273,353621.0755,370.3009,5087.9803,0.6891,0.6891,0.6891,0.689,0.689
10.0,1000.0,2000.0,6.0,10000,9868.9645,-65.0,7868.9645,-675.0,57525.125,0.7272,0.7272,0.7272,0.2721,0.7271,2720.582,2560.0,4690.0,5600.0,1.021599323096284,364315.329,324.1402,4453.0734,0.7272,0.7272,0.7272,0.7272,0.7272
10.0,1000.0,2000.0,7.0,10000,10154.836,-90.0,8154.836,-775.0,65415.125,0.7546,0.7546,0.7545,0.2446,0.7545,3011.4815,2735.0,5385.0,6430.0,1.0216219289575086,377155.804,293.3698,4029.7207,0.7546,0.7546,0.7545,0.7545,0.7545
25.0,2000.0,1000.0,0.25,10000,624.45,12.5,-375.55,-25.0,6037.812499999995,0.8515,0.847,0.844,0.1257,0.8426,300.845,300.0,375.0,400.0,0.9970741446740021,128355.62875,326.6726,4486.0491,0.8497,0.847,0.844,0.8431,0.8427
25.0,2000.0,1000.0,0.5,10000,587.72875,12.5,-412.27125,-25.0,5725.0,0.854,0.8507,0.8479,0.1246,0.8453,301.64375,300.0,375.0,400.0,0.996787768968968,128344.20875,326.4998,4483.4562,0.8526,0.8507,0.8479,0.8459,0.8453
25.0,2000.0,1000.0,0.75,10000,639.52875,12.5,-360.47125,-25.0,5962.5,0.8429,0.8406,0.8388,0.1322,0.8367,310.2925,300.0,400.0,450.0,0.9972826876370208,132657.27375,334.9822,4600.3652,0.8417,0.8406,0.8388,0.8374,0.837
25.0,2000.0,1000.0,1.0,10000,740.275,12.5,-259.725,-25.0,6600.312499999995,0.8313,0.8272,0.8248,0.1473,0.8223,336.075,325.0,450.0,525.0,0.9981166273569203,137904.20125,341.4124,4688.7836,0.8299,0.8272,0.8248,0.8229,0.8224
25.0,2000.0,1000.0,1.25,10000,883.84625,12.5,-116.15375,-25.0,7350.0,0.8134,0.8097,0.807,0.1679,0.805,380.25,375.0,550.0,650.0,0.9991974869543591,144737.5225,348.7175,4789.4634,0.8111,0.8097,0.807,0.8051,0.805
25.0,2000.0,1000.0,1.5,10000,1055.98,12.5,55.98,-50.0,8150.312499999995,0.7939,0.7911,0.7888,0.1873,0.7877,432.53625,425.0,650.0,750.0,1.0003662811385383,152833.4225,356.8111,4900.771,0.7924,0.7911,0.7888,0.7883,0.7878
25.0,2000.0,1000.0,2.0,10000,1393.1425,12.5,393.1425,-75.0,9825.62499999999,0.7674,0.7656,0.7637,0.2179,0.762,540.6325,525.0,837.5,962.6250000000027,1.0023562117604135,166853.63625,366.3825,5033.0823,0.7665,0.7656,0.7637,0.7625,0.762
25.0,2000.0,1000.0,2.5,10000,1728.3825,0.0,728.3825,-112.5,11887.812499999996,0.7604,0.7591,0.7584,0.2302,0.7575,657.04375,650.0,1025.0,1200.0,1.004167671829098,174769.63875,352.4796,4841.9182,0.7599,0.7591,0.7584,0.7578,0.7576
25.0,2000.0,1000.0,3.0,10000,2096.48,0.0,1096.48,-125.0,14125.312499999996,0.7579,0.7565,0.7558,0.2356,0.7551,761.36375,750.0,1200.0,1400.0,1.005958904870802,184006.965,343.2167,4714.6255,0.7574,0.7565,0.7558,0.7553,0.7551
25.0,2000.0,1000.0,4.0,10000,2673.96375,0.0,1673.96375,-200.0,18088.124999999993,0.7631,0.7629,0.7627,0.2347,0.7626,950.7625,925.0,1575.0,1850.0,1.0086761307386978,192938.9725,317.2597,4357.9412,0.763,0.7629,0.7627,0.7626,0.7626
25.0,2000.0,2000.0,0.25,10000,1287.34375,12.5,-712.65625,-25.0,7250.312499999995,0.7364,0.7129,0.693,0.1445,0.6753,325.37625,325.0,375.0,425.0,0.9968168207693913,223881.91125,569.0763,7820.73,0.7259,0.7129,0.693,0.6791,0.6757
25.0,2000.0,2000.0,0.5,10000,1509.8675,12.5,-490.1325,-25.0,7962.812499999995,0.7046,0.6812,0.6641,0.1733,0.648,370.755,362.5,475.0,562.5,0.9979286391446662,236623.425,585.4318,8045.8077,0.6944,0.6812,0.6641,0.6521,0.6485
25.0,2000.0,2000.0,0.75,10000,2029.05375,12.5,29.05375,-37.5,9525.0,0.6458,0.6274,0.6147,0.2458,0.6023,492.35125,475.0,675.0,775.0,1.0001132810590851,256474.915,598.4323,8224.7212,0.6374,0.6274,0.6147,0.6061,0.6029
25.0,2000.0,2000.0,1.0,10000,2599.625,12.5,599.625,-62.5,11287.812499999996,0.6069,0.5914,0.582,0.3089,0.5742,623.84625,625.0,875.0,1000.0,1.002213144132901,270938.07,594.6832,8173.5862,0.6,0.5914,0.582,0.576,0.5746
25.0,2000.0,2000.0,1.25,10000,3340.2425,12.5,1340.2425,-87.5,13487.5,0.5716,0.5636,0.5571,0.3673,0.5518,769.52875,750.0,1075.0,1250.0,1.0045508671373145,294502.665,593.5493,8158.3342,0.568,0.5636,0.5571,0.5531,0.552
25.0,2000.0,2000.0,1.5,10000,3878.99,12.5,1878.99,-125.0,16100.312499999996,0.5728,0.566,0.5616,0.3863,0.5579,897.6,887.5,1275.0,1487.5,1.006096513983639,308207.28125,574.3858,7895.144,0.5695,0.566,0.5616,0.559,0.558
