Strategy,Decks,Penetration,Slope,Slope_Pct,Intercept,Intercept_Pct,Breakeven_TC,R_Squared
HiLo,8deck,60pen,0.004692008014742878,0.4692008014742878,-0.003722299180555571,-0.3722299180555571,0.7933275409717204,0.998324385289895
Mentor,8deck,60pen,0.0025782098068063775,0.25782098068063775,-0.0036346284434883424,-0.36346284434883425,1.4097489016964637,0.9979192523394939
OmegaII,8deck,60pen,0.0025500605831544234,0.2550060583154423,-0.0036062473177865366,-0.3606247317786537,1.4141810361719371,0.9970801563838108
R14,8deck,60pen,0.0016490475200627436,0.16490475200627436,-0.003558627625709802,-0.3558627625709802,2.1579897379636472,0.9985613506476735
RAPC,8deck,60pen,0.0014941469075600033,0.14941469075600033,-0.0036302879612519945,-0.36302879612519945,2.4296727068025645,0.9988601664673117
RPC,8deck,60pen,0.0024492732131153297,0.24492732131153297,-0.003620245529232743,-0.3620245529232743,1.4780897083457694,0.998698994464718
WongHalves,8deck,60pen,0.004526913207549937,0.4526913207549937,-0.004656072777681307,-0.4656072777681307,1.028531488060332,0.9975119285461689
ZenCount,8deck,60pen,0.002653484385034994,0.26534843850349943,-0.0036379928968443644,-0.3637992896844364,1.3710247994530356,0.9983317820008978
