Strategy,Decks,Penetration,Slope,Slope_Pct,Intercept,Intercept_Pct,Breakeven_TC,R_Squared
HiLo,2deck,60pen,0.00489741147766151,0.489741147766151,-0.002587062414273273,-0.2587062414273273,0.5282509803543366,0.9967067465493684
HiLo,4deck,60pen,0.004811100492973533,0.4811100492973533,-0.00450175369445554,-0.450175369445554,0.935701447315477,0.9977078945967947
HiLo,6deck,60pen,0.004792005568175197,0.4792005568175197,-0.005153734650595362,-0.5153734650595363,1.0754859478508312,0.9985808436333037
HiLo,8deck,60pen,0.004732854809006714,0.4732854809006714,-0.005442362116092599,-0.54423621160926,1.149911065460043,0.9986955551029619
Mentor,2deck,60pen,0.002833852288072311,0.2833852288072311,-0.0023350176135253837,-0.23350176135253836,0.8239729443039344,0.9980928348705578
Mentor,4deck,60pen,0.002701235985417537,0.27012359854175366,-0.00440961741477426,-0.440961741477426,1.632444347172672,0.9977271070639062
Mentor,6deck,60pen,0.0026603294245110716,0.26603294245110715,-0.005069632362655866,-0.5069632362655866,1.9056408262625553,0.9977130864476658
Mentor,8deck,60pen,0.002626200960979119,0.2626200960979119,-0.0054299610442140435,-0.5429961044214043,2.067610637911581,0.9981827594284921
OmegaII,2deck,60pen,0.0026504968856662183,0.2650496885666218,-0.00234431304237458,-0.234431304237458,0.8844805874145832,0.9978366545273578
OmegaII,4deck,60pen,0.0026484368881416693,0.2648436888141669,-0.004418162330887936,-0.4418162330887936,1.6682150708103265,0.9976075433348599
OmegaII,6deck,60pen,0.0026380426793592253,0.26380426793592254,-0.00507950840327894,-0.507950840327894,1.9254837850131905,0.9977665020711035
OmegaII,8deck,60pen,0.0026133599886922695,0.261335998869227,-0.0054211483111524785,-0.5421148311152478,2.0743978382653787,0.9976680279353128
R14,2deck,60pen,0.0016809781258019863,0.16809781258019862,-0.002210331317396563,-0.22103313173965627,1.3149078405419612,0.9982425361355578
R14,4deck,60pen,0.0016830072772484703,0.16830072772484703,-0.004338823523883509,-0.4338823523883509,2.578018278671381,0.9989294298754613
R14,6deck,60pen,0.001693109894638238,0.1693109894638238,-0.005003121535646994,-0.5003121535646994,2.95498924877289,0.9988799793136488
R14,8deck,60pen,0.001694627291758607,0.1694627291758607,-0.0053418504307188005,-0.5341850430718801,3.152227310806066,0.998595678032382
RAPC,2deck,60pen,0.0014999316739883882,0.14999316739883883,-0.002558217407366274,-0.25582174073662745,1.705555960801771,0.9987997289410181
RAPC,4deck,60pen,0.001495963595516453,0.1495963595516453,-0.004478466892212431,-0.4478466892212431,2.993700452093104,0.9991520226585692
RAPC,6deck,60pen,0.0015085266410261066,0.15085266410261067,-0.0050990964841360915,-0.5099096484136092,3.3801832499740696,0.9994785429080932
RAPC,8deck,60pen,0.0015126117834106524,0.15126117834106523,-0.005420893635673095,-0.5420893635673095,3.5837970423911476,0.9987898124311559
RPC,2deck,60pen,0.0025275271059252103,0.252752710592521,-0.0024569620436615106,-0.24569620436615106,0.9720813825900122,0.998948683611462
RPC,4deck,60pen,0.002504506368374018,0.2504506368374018,-0.004494941850955963,-0.44949418509559635,1.7947416336074964,0.9986061284990992
RPC,6deck,60pen,0.002492308589206181,0.2492308589206181,-0.005103787026322729,-0.5103787026322729,2.0478150452261303,0.9987931733848645
RPC,8deck,60pen,0.002489202043485776,0.2489202043485776,-0.005404586590169252,-0.5404586590169252,2.1712124993280546,0.998385757738007
WongHalves,2deck,60pen,0.0045499148627484946,0.4549914862748495,-0.0030656734157642734,-0.30656734157642734,0.6737869846453288,0.9938494403538215
WongHalves,4deck,60pen,0.0045175638053866415,0.4517563805386642,-0.004811191855557408,-0.4811191855557408,1.0649969901522256,0.9954666221181497
WongHalves,6deck,60pen,0.004576769574385449,0.4576769574385449,-0.0061750585553884615,-0.6175058555388462,1.3492177080419487,0.9975212450976296
WongHalves,8deck,60pen,0.004570108218910724,0.45701082189107245,-0.00647734586840937,-0.647734586840937,1.417328771692245,0.9982995248876172
ZenCount,2deck,60pen,0.0027486334439592963,0.27486334439592963,-0.0023672485423144535,-0.23672485423144535,0.8612456300846456,0.9982266420002817
ZenCount,4deck,60pen,0.002736784169596404,0.2736784169596404,-0.004402191478480392,-0.4402191478480392,1.6085270908043827,0.9983186571193007
ZenCount,6deck,60pen,0.0027153080221241554,0.27153080221241555,-0.005033399934504994,-0.5033399934504994,1.8537123204782568,0.9986926593178849
ZenCount,8deck,60pen,0.002707726797824991,0.27077267978249914,-0.005399718492291671,-0.5399718492291672,1.9941888142589015,0.9983775899953956
