Strategy,Decks,Penetration,Slope,Slope_Pct,Intercept,Intercept_Pct,Breakeven_TC,R_Squared
HiLo,2deck,75pen,0.006697682837232065,0.6697682837232065,0.00040754893412146354,0.04075489341214635,-0.06084924354075421,0.9811178237859466
HiLo,6deck,70pen,0.006420022544294902,0.6420022544294902,-0.004592915169191946,-0.4592915169191946,0.715404835030276,0.9612437501958534
HiLo,6deck,75pen,0.006512979681547207,0.6512979681547207,-0.004345135809141859,-0.43451358091418596,0.6671502171966918,0.9635706650776983
HiLo,8deck,75pen,0.006398052600548598,0.6398052600548598,-0.005043843973055574,-0.5043843973055574,0.7883404979545012,0.9567801420377425
Mentor,2deck,75pen,0.0001324987870953776,0.013249878709537762,-0.007723074421016835,-0.7723074421016835,58.287887688039554,0.15737102046270612
Mentor,6deck,70pen,5.5104993791434697e-05,0.0055104993791434695,-0.007660514308747002,-0.7660514308747002,139.01669851812454,0.34484932861905215
Mentor,6deck,75pen,4.136157617931731e-05,0.004136157617931731,-0.00751018004386176,-0.7510180043861759,181.57383585437915,0.2651649605487014
Mentor,8deck,75pen,4.022840515113012e-05,0.004022840515113012,-0.007566432954724802,-0.7566432954724802,188.08682388225975,0.44713443065684755
OmegaII,2deck,75pen,0.00019664518060204023,0.01966451806020402,-0.008347220815733905,-0.8347220815733905,42.44813318169518,0.26050943933313087
OmegaII,6deck,70pen,7.130096565573467e-05,0.007130096565573466,-0.007657509705301715,-0.7657509705301715,107.3969985522325,0.49922918188891585
OmegaII,6deck,75pen,6.512422348223323e-05,0.006512422348223323,-0.007542077139287681,-0.7542077139287681,115.8106267684752,0.4753705474129807
OmegaII,8deck,75pen,5.628863354155038e-05,0.005628863354155038,-0.007581869234005312,-0.7581869234005312,134.69627448690207,0.5476966679409139
R14,2deck,75pen,0.00016212381636546285,0.016212381636546286,-0.008753716150441926,-0.8753716150441926,53.99401732999622,0.14483586649668256
R14,6deck,70pen,6.899471789275776e-05,0.006899471789275776,-0.008432952090851799,-0.8432952090851799,122.22605365181136,0.3645257609906417
R14,6deck,75pen,6.315118133838958e-05,0.006315118133838958,-0.008289281130070372,-0.8289281130070372,131.26090366628375,0.3369271386550481
R14,8deck,75pen,4.355908601070941e-05,0.004355908601070942,-0.008041791074510382,-0.8041791074510382,184.6179938792387,0.3139321589620121
RAPC,2deck,75pen,0.0020686304298584168,0.20686304298584168,-0.0008551352739737426,-0.08551352739737426,0.4133823333693639,0.9650484036478072
RAPC,6deck,70pen,0.001941262453445475,0.1941262453445475,-0.005005471819283228,-0.5005471819283228,2.5784621808345394,0.9581817574728593
RAPC,6deck,75pen,0.0019503188674316423,0.19503188674316424,-0.00483271745757207,-0.483271745757207,2.4779114524673767,0.958166139274952
RAPC,8deck,75pen,0.0019316589310825996,0.19316589310825996,-0.005386837083737236,-0.5386837083737236,2.788710261970616,0.9557242142078136
RPC,2deck,75pen,0.003532096300454366,0.3532096300454366,0.0004097348461777278,0.04097348461777278,-0.11600330549453587,0.970735779157545
RPC,6deck,70pen,0.0033465579908651525,0.33465579908651527,-0.004623476219247922,-0.46234762192479223,1.3815616618233653,0.9576755741504149
RPC,6deck,75pen,0.003369659401195252,0.3369659401195252,-0.004378428024188568,-0.4378428024188568,1.2993681268307105,0.9593463209741222
RPC,8deck,75pen,0.0033181971282990204,0.331819712829902,-0.00506140405692044,-0.506140405692044,1.5253476093251352,0.9545258794374054
WongHalves,2deck,75pen,0.00044380348721738405,0.044380348721738405,-0.009605727560333736,-0.9605727560333736,21.64410113260028,0.45334089710548464
WongHalves,6deck,70pen,0.00016214170235808936,0.016214170235808935,-0.009380871428794096,-0.9380871428794096,57.85600676670136,0.725301916205852
WongHalves,6deck,75pen,0.0001555910734530716,0.01555910734530716,-0.00933362020424821,-0.933362020424821,59.98814711605777,0.7400049795643958
WongHalves,8deck,75pen,0.00011457377997838109,0.011457377997838109,-0.009122661831194173,-0.9122661831194173,79.62259631231096,0.7633637845847406
ZenCount,2deck,75pen,0.0038556319525860448,0.3855631952586045,0.0010533374503800272,0.10533374503800272,-0.27319450179199134,0.973968117598744
ZenCount,6deck,70pen,0.003712980455933686,0.3712980455933686,-0.004276877969342608,-0.4276877969342608,1.1518719314850585,0.9574403960089537
ZenCount,6deck,75pen,0.0037420481941779307,0.37420481941779304,-0.004057093948629497,-0.4057093948629497,1.0841907260686088,0.9594467977246519
ZenCount,8deck,75pen,0.003702601762445939,0.3702601762445939,-0.004761708302055521,-0.4761708302055521,1.2860438706510895,0.9551554509288542
