DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,32,-0.392330,-0.350731,11458057,Decline,-0.041599
11,32.5,-0.393729,-0.356305,11598967,Decline,-0.037424
11,33,-0.393606,-0.355204,10969109,Decline,-0.038402
11,33.5,-0.391008,-0.349579,10359555,Decline,-0.041429
11,34,-0.395296,-0.359006,10153887,Decline,-0.036290
11,34.5,-0.391456,-0.349845,13378010,Decline,-0.041611
11,35,-0.395007,-0.357994,7848670,Decline,-0.037013
11,35.5,-0.391684,-0.353345,10870184,Decline,-0.038338
11,36,-0.393521,-0.355938,10895622,Decline,-0.037584
11,36.5,-0.391997,-0.351766,9797369,Decline,-0.040230
11,37,-0.392286,-0.354013,9513473,Decline,-0.038273
11,37.5,-0.393576,-0.355910,10970716,Decline,-0.037666
11,38,-0.392700,-0.353389,9058222,Decline,-0.039311
11,38.5,-0.390586,-0.347954,10276832,Decline,-0.042631
11,39,-0.398421,-0.372146,9002822,Decline,-0.026274
11,39.5,-0.389316,-0.345349,8997167,Decline,-0.043967
11,40,-0.393654,-0.355072,9668469,Decline,-0.038583
11,40.5,-0.391705,-0.355828,8878874,Decline,-0.035877
11,41,-0.392940,-0.355767,9495485,Decline,-0.037173
11,41.5,-0.390683,-0.351375,7598526,Decline,-0.039307
11,42,-0.393973,-0.358534,8808623,Decline,-0.035439
11,42.5,-0.392754,-0.356188,8890225,Decline,-0.036566
11,43,-0.392282,-0.355389,8762406,Decline,-0.036892
11,43.5,-0.391924,-0.354816,8761173,Decline,-0.037109
11,44,-0.392606,-0.355345,7481050,Decline,-0.037261
11,44.5,-0.393248,-0.358113,9392417,Decline,-0.035135
11,45,-0.391761,-0.354518,7294845,Decline,-0.037243
11,45.5,-0.393471,-0.358718,7490919,Decline,-0.034753
11,46,-0.393465,-0.361130,8571220,Decline,-0.032335
11,46.5,-0.392710,-0.356598,7242752,Decline,-0.036112
11,47,-0.392662,-0.355502,7403354,Decline,-0.037160
11,47.5,-0.393313,-0.365713,7021070,Decline,-0.027600
11,48,-0.392400,-0.353508,7909485,Decline,-0.038892
