DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,-18,0.000000,-1.000000,2,Accept,1.000000
11,-17.5,0.250000,0.000000,2,Accept,0.250000
11,-17,-0.500000,0.000000,2,Decline,-0.500000
11,-16.5,-0.083333,0.166667,12,Decline,-0.250000
11,-16,-0.375000,0.000000,12,Decline,-0.375000
11,-15.5,-0.407408,-0.351852,27,Decline,-0.055556
11,-15,-0.159091,-0.034091,44,Decline,-0.125000
11,-14.5,-0.078125,0.023438,64,Decline,-0.101562
11,-14,-0.220721,-0.085586,111,Decline,-0.135135
11,-13.5,-0.203125,-0.101562,192,Decline,-0.101563
11,-13,-0.150485,0.000000,309,Decline,-0.150486
11,-12.5,-0.226240,-0.098140,484,Decline,-0.128099
11,-12,-0.142241,-0.039871,928,Decline,-0.102371
11,-11.5,-0.189261,-0.045637,1490,Decline,-0.143624
11,-11,-0.190495,-0.084340,2567,Decline,-0.106155
11,-10.5,-0.165952,-0.061585,3962,Decline,-0.104367
11,-10,-0.179262,-0.054330,5531,Decline,-0.124932
11,-9.5,-0.193608,-0.085543,8902,Decline,-0.108066
11,-9,-0.192110,-0.083949,17326,Decline,-0.108161
11,-8.5,-0.189893,-0.077009,23400,Decline,-0.112885
11,-8,-0.194908,-0.089332,40909,Decline,-0.105576
11,-7.5,-0.188759,-0.088366,66977,Decline,-0.100393
11,-7,-0.190558,-0.099053,103929,Decline,-0.091505
11,-6.5,-0.200197,-0.108424,154745,Decline,-0.091774
11,-6,-0.190467,-0.102602,245181,Decline,-0.087866
11,-5.5,-0.184227,-0.100411,389503,Decline,-0.083816
11,-5,-0.212279,-0.132135,577438,Decline,-0.080145
11,-4.5,-0.204069,-0.125877,907725,Decline,-0.078192
11,-4,-0.198783,-0.125413,1472889,Decline,-0.073370
11,-3.5,-0.230251,-0.159170,2151184,Decline,-0.071081
11,-3,-0.139331,-0.073046,3372519,Decline,-0.066285
11,-2.5,-0.203441,-0.144572,5855777,Decline,-0.058869
11,-2,-0.279795,-0.220995,6118531,Decline,-0.058801
11,-1.5,-0.024118,0.030836,16142368,Decline,-0.054954
11,-1,-0.282436,-0.236432,20370119,Decline,-0.046004
11,-0.5,-0.432381,-0.381863,20324890,Decline,-0.050518
11,0,-0.153843,-0.097039,46382585,Decline,-0.056804
11,0.5,-0.452125,-0.405460,31951374,Decline,-0.046666
11,1,-0.473194,-0.432438,50642979,Decline,-0.040757
11,1.5,-0.435393,-0.392785,35759513,Decline,-0.042608
11,2,-0.442610,-0.401073,43772043,Decline,-0.041538
11,2.5,-0.408999,-0.365216,30594712,Decline,-0.043784
11,3,-0.390099,-0.346433,33250689,Decline,-0.043666
11,3.5,-0.388582,-0.342087,30156364,Decline,-0.046495
11,4,-0.386141,-0.340605,30455517,Decline,-0.045536
11,4.5,-0.387325,-0.338993,26175716,Decline,-0.048332
11,5,-0.386037,-0.340280,24731320,Decline,-0.045756
11,5.5,-0.394108,-0.349616,30520140,Decline,-0.044493
11,6,-0.400112,-0.355718,29218426,Decline,-0.044394
11,6.5,-0.399623,-0.355321,27376489,Decline,-0.044302
11,7,-0.393931,-0.348409,26116724,Decline,-0.045522
11,7.5,-0.398729,-0.355349,26962764,Decline,-0.043380
11,8,-0.393113,-0.349043,25416696,Decline,-0.044070
11,8.5,-0.397310,-0.353938,23765128,Decline,-0.043373
11,9,-0.396163,-0.353593,26342653,Decline,-0.042570
11,9.5,-0.394343,-0.351856,24461869,Decline,-0.042487
11,10,-0.398346,-0.353222,23853260,Decline,-0.045123
11,10.5,-0.397598,-0.352928,23105333,Decline,-0.044669
11,11,-0.391823,-0.349327,22431257,Decline,-0.042496
11,11.5,-0.390687,-0.347564,22274939,Decline,-0.043123
11,12,-0.397360,-0.354490,23046265,Decline,-0.042870
11,12.5,-0.399519,-0.358080,21130472,Decline,-0.041439
11,13,-0.392483,-0.346907,21301512,Decline,-0.045577
11,13.5,-0.395529,-0.354697,20759572,Decline,-0.040832
11,14,-0.395008,-0.351687,20709071,Decline,-0.043321
11,14.5,-0.392989,-0.348907,19007934,Decline,-0.044081
11,15,-0.396643,-0.355251,19748077,Decline,-0.041392
11,15.5,-0.395314,-0.354017,19769961,Decline,-0.041298
11,16,-0.394022,-0.351036,17966973,Decline,-0.042986
11,16.5,-0.395627,-0.354262,19344570,Decline,-0.041365
11,17,-0.394303,-0.352373,16891226,Decline,-0.041930
11,17.5,-0.392332,-0.348222,18069575,Decline,-0.044110
11,18,-0.395876,-0.355374,19224677,Decline,-0.040502
11,18.5,-0.394706,-0.354266,16758994,Decline,-0.040439
11,19,-0.393552,-0.351571,17370846,Decline,-0.041981
11,19.5,-0.394035,-0.352689,16784552,Decline,-0.041346
11,20,-0.393665,-0.352179,16490391,Decline,-0.041486
11,20.5,-0.395723,-0.354203,15302637,Decline,-0.041520
11,21,-0.394375,-0.354088,17150806,Decline,-0.040287
11,21.5,-0.392937,-0.350696,15980195,Decline,-0.042241
11,22,-0.394401,-0.354474,14294318,Decline,-0.039927
11,22.5,-0.393684,-0.352404,15152554,Decline,-0.041280
11,23,-0.392535,-0.350667,15538588,Decline,-0.041868
11,23.5,-0.394034,-0.352998,14769672,Decline,-0.041036
11,24,-0.394740,-0.354929,14233836,Decline,-0.039810
11,24.5,-0.392417,-0.350638,14281952,Decline,-0.041779
11,25,-0.393000,-0.352855,15548207,Decline,-0.040145
11,25.5,-0.396059,-0.358161,13687465,Decline,-0.037898
11,26,-0.391021,-0.347060,11557985,Decline,-0.043961
11,26.5,-0.395347,-0.356170,13082176,Decline,-0.039177
11,27,-0.393524,-0.354697,14671913,Decline,-0.038826
11,27.5,-0.392030,-0.350860,13250863,Decline,-0.041170
11,28,-0.394065,-0.355594,12329942,Decline,-0.038471
11,28.5,-0.393514,-0.353314,12529393,Decline,-0.040200
11,29,-0.393084,-0.354144,12921909,Decline,-0.038940
11,29.5,-0.392008,-0.349874,12721835,Decline,-0.042134
11,30,-0.394051,-0.354670,10845999,Decline,-0.039381
11,30.5,-0.393632,-0.355033,12452717,Decline,-0.038599
11,31,-0.391791,-0.351205,12810801,Decline,-0.040587
11,31.5,-0.393604,-0.355677,10643002,Decline,-0.037927
11,32,-0.391695,-0.350287,11412194,Decline,-0.041408
11,32.5,-0.393779,-0.356086,11545127,Decline,-0.037693
11,33,-0.394034,-0.355529,10919575,Decline,-0.038505
11,33.5,-0.391109,-0.349744,10332948,Decline,-0.041365
11,34,-0.394979,-0.359299,10123653,Decline,-0.035680
11,34.5,-0.391220,-0.349641,13335238,Decline,-0.041580
11,35,-0.395498,-0.358495,7813977,Decline,-0.037003
11,35.5,-0.391868,-0.353462,10832154,Decline,-0.038405
11,36,-0.394190,-0.356475,10860618,Decline,-0.037714
11,36.5,-0.391859,-0.351280,9763870,Decline,-0.040580
11,37,-0.392899,-0.354580,9488694,Decline,-0.038319
11,37.5,-0.393101,-0.355927,10937768,Decline,-0.037174
11,38,-0.392541,-0.352670,9022994,Decline,-0.039871
