Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
MentorStrategy,2,0.8,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.028966,-2.8966,50097.03,3349.74,1448.28,379
RAPCStrategy,2,0.80,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.030303,-3.0303,50101.38,3345.38,1515.15,391
HiLoStrategy,2,0.80,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.029053,-2.9053,50101.10,3479.87,1452.65,397
RPCStrategy,2,0.80,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.029987,-2.9987,50104.44,3482.78,1499.35,412
WongHalvesStrategy,2,0.80,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.027606,-2.7606,50081.64,2957.49,1380.29,385
R14Strategy,2,0.80,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.027607,-2.7607,50096.18,3483.99,1380.36,390
ZenCountStrategy,2,0.80,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.030029,-3.0029,50103.16,3435.33,1501.47,410
OmegaIIStrategy,2,0.80,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.028216,-2.8216,50093.70,3320.84,1410.80,415
