table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used,prob_end_below_0.9xB0,prob_end_below_0.75xB0,prob_end_below_0.5xB0,prob_end_below_0.25xB0,prob_end_below_0.1xB0
5.0,500.0,200.0,0.25,100000,197.58985,197.5,-2.41015,65.0,332.5,0.50759,0.2377,0.07341,0.00179,0.00357,40.916875,40.0,57.5,65.0,0.996935608263133,786.501925,9.99641,137.4385,0.3923,0.2377,0.07341,0.01433,0.00491
5.0,500.0,200.0,0.5,100000,197.521325,197.5,-2.478675,65.0,332.5,0.50657,0.23769,0.07353,0.0015,0.00359,40.835775,40.0,57.5,65.0,0.9968501172783046,786.91025,9.99598,137.44909,0.39285,0.23769,0.07353,0.014,0.00481
5.0,500.0,200.0,0.75,100000,197.90065,197.5,-2.09935,62.5,332.5,0.50471,0.23688,0.07404,0.00174,0.00389,41.41135,40.0,60.0,70.0,0.9973516851934748,792.71165,9.99569,137.43065,0.39164,0.23688,0.07404,0.01487,0.00516
5.0,500.0,200.0,1.0,100000,198.436125,197.5,-1.563875,60.0,337.5,0.50231,0.24141,0.07768,0.00228,0.00476,42.8199,40.0,62.5,75.0,0.9980651612731614,808.2715,9.99419,137.41077,0.39124,0.24141,0.07768,0.01692,0.00651
5.0,500.0,200.0,1.25,100000,199.5689,200.0,-0.4311,55.0,342.5,0.49534,0.24257,0.08575,0.00366,0.00683,45.034975,45.0,67.5,87.5,0.9994805814608004,829.966525,9.98942,137.32806,0.38681,0.24257,0.08575,0.02066,0.00897
5.0,500.0,200.0,1.5,100000,200.139425,200.0,0.139425,47.5,352.5,0.49299,0.25174,0.09466,0.00556,0.01045,47.982975,45.0,75.0,100.0,1.0001628530047664,856.140175,9.98376,137.21811,0.38949,0.25174,0.09466,0.02655,0.01292
5.0,500.0,200.0,2.0,100000,201.867425,202.5,1.867425,22.5,370.0,0.48586,0.264,0.1137,0.01218,0.02011,54.463425,50.0,95.0,127.5,1.0020580892147248,907.358625,9.96158,136.8549,0.39213,0.264,0.1137,0.0398,0.02357
5.0,500.0,200.0,2.5,100000,204.3545,202.5,4.3545,0.0,400.0,0.47922,0.2792,0.13697,0.02532,0.03811,63.977875,57.5,117.5,155.0,1.0044380971066247,981.16375,9.90549,135.95977,0.39457,0.2792,0.13697,0.06215,0.04282
5.0,500.0,200.0,3.0,100000,205.88055,205.0,5.88055,-5.0,427.5,0.47275,0.29671,0.16307,0.04288,0.06188,73.59585,65.0,137.5,185.0,1.005601141535419,1049.8842,9.82393,134.69803,0.40005,0.29671,0.16307,0.08833,0.06745
5.0,500.0,200.0,4.0,100000,209.934625,210.0,9.934625,-15.0,485.0,0.46559,0.32097,0.20881,0.08089,0.11302,91.207725,80.0,175.0,227.5,1.008550036567094,1161.939475,9.62299,131.62887,0.40559,0.32097,0.20881,0.13945,0.11975
5.0,500.0,200.0,5.0,100000,213.55625,212.5,13.55625,-30.0,552.5,0.46864,0.35079,0.25751,0.12564,0.17337,111.0558,100.0,210.0,270.0,1.0105782121992293,1281.525625,9.34304,127.40187,0.41978,0.35079,0.25751,0.19844,0.18025
5.0,500.0,200.0,6.0,100000,216.1873,210.0,16.1873,-40.0,610.0,0.47364,0.37536,0.29708,0.16035,0.22385,127.93415,117.5,240.0,307.5,1.011870223470763,1363.689575,9.07937,123.49876,0.43174,0.37536,0.29708,0.2466,0.23118
5.0,500.0,200.0,7.0,100000,219.139375,207.5,19.139375,-52.5,675.0,0.48389,0.4037,0.34006,0.19497,0.27757,146.11095,135.0,270.0,350.0,1.0130898187344575,1462.157375,8.7773,119.01724,0.45016,0.4037,0.34006,0.29733,0.2843
5.0,500.0,500.0,0.25,100000,497.858475,497.5,-2.141525,365.0,632.5,0.50498,0.03385,0.0001,0.0,0.0,41.043975,40.0,60.0,67.5,0.9972857702064698,788.99915,10.0,137.50878,0.23683,0.03385,0.0001,0.0,0.0
5.0,500.0,500.0,0.5,100000,499.95985,500.0,-0.04015,355.0,645.0,0.49382,0.04264,0.00037,0.0,0.0,44.997775,45.0,70.0,85.0,0.9999517021677787,831.30025,10.0,137.49828,0.2427,0.04264,0.00037,0.0,0.0
5.0,500.0,500.0,0.75,100000,502.381775,502.5,2.381775,337.5,667.5,0.48238,0.06186,0.00178,0.0,0.0,52.756,50.0,90.0,120.0,1.0026419385075092,901.525525,10.0,137.50231,0.25895,0.06186,0.00178,5e-05,1e-05
5.0,500.0,500.0,1.0,100000,503.75295,502.5,3.75295,307.5,697.5,0.48014,0.09038,0.00643,1e-05,1e-05,64.168175,57.5,120.0,160.0,1.0037790351681517,993.0974,9.99998,137.49715,0.28311,0.09038,0.00643,0.00026,5e-05
5.0,500.0,500.0,1.25,100000,506.63375,507.5,6.63375,280.0,732.5,0.47005,0.11453,0.01395,9e-05,0.00013,74.753975,65.0,142.5,195.0,1.0061592650143372,1077.035975,9.99993,137.51386,0.29513,0.11453,0.01395,0.00096,0.00028
5.0,500.0,500.0,1.5,100000,509.89525,510.0,9.89525,247.5,770.0,0.4635,0.13809,0.02528,0.0005,0.0005,87.618925,77.5,170.0,232.5,1.008388962142681,1179.555925,9.99927,137.48781,0.30807,0.13809,0.02528,0.00316,0.00083
5.0,500.0,500.0,2.0,100000,514.7908,515.0,14.7908,177.5,852.5,0.45754,0.18445,0.05437,0.00424,0.00483,114.63105,100.0,225.0,305.0,1.010621969767193,1392.472425,9.98982,137.34799,0.33421,0.18445,0.05437,0.01351,0.00645
5.0,500.0,500.0,2.5,100000,520.5279,520.0,20.5279,97.5,935.0,0.45435,0.22078,0.08539,0.01386,0.01533,141.477725,125.0,280.0,382.5,1.0127677384645901,1607.794525,9.96019,136.87887,0.35196,0.22078,0.08539,0.03049,0.01866
5.0,500.0,500.0,3.0,100000,525.06385,525.0,25.06385,-2.5,1012.5,0.45252,0.24639,0.11532,0.02792,0.03178,166.9378,150.0,335.0,450.0,1.014125408839874,1774.3805,9.90949,136.07158,0.36251,0.24639,0.11532,0.05213,0.03652
5.0,500.0,500.0,4.0,100000,533.7232,532.5,33.7232,-40.0,1167.5,0.45087,0.28467,0.16929,0.06574,0.07742,215.1509,192.5,435.0,565.0,1.0161080870447718,2093.5571,9.73977,133.478,0.38092,0.28467,0.16929,0.10331,0.08412
5.0,500.0,500.0,5.0,100000,544.267725,540.0,44.267725,-75.0,1352.5,0.45353,0.32558,0.22771,0.11658,0.14036,269.071575,245.0,530.0,670.0,1.01777145197906,2490.945875,9.47031,129.39273,0.39967,0.32558,0.22771,0.16807,0.14884
5.0,500.0,500.0,6.0,100000,550.693175,542.5,50.693175,-107.5,1512.5,0.46078,0.3565,0.2744,0.15507,0.19535,315.4472,290.0,605.0,770.0,1.0183654835815967,2760.241775,9.19703,125.31359,0.41655,0.3565,0.2744,0.22067,0.20354
5.0,500.0,500.0,7.0,100000,556.5781,537.5,56.5781,-135.0,1675.0,0.47169,0.38477,0.31594,0.19024,0.24977,359.598075,330.0,680.0,875.0,1.0189794157416008,2981.024325,8.90752,121.03034,0.4348,0.38477,0.31594,0.27235,0.25776
5.0,500.0,1000.0,0.25,100000,999.320475,1000.0,-0.679525,855.0,1145.0,0.49743,0.00034,0.0,0.0,0.0,45.01635,45.0,70.0,85.0,0.9991823521383517,831.072925,10.0,137.51083,0.08433,0.00034,0.0,0.0,0.0
5.0,500.0,1000.0,0.5,100000,1004.800125,1005.0,4.800125,810.0,1200.0,0.47504,0.00609,1e-05,0.0,0.0,64.1623,57.5,117.5,160.0,1.0048355346531581,992.6772,10.0,137.5123,0.13518,0.00609,1e-05,0.0,0.0
5.0,500.0,1000.0,0.75,100000,1009.99895,1010.0,9.99895,750.0,1272.5,0.46374,0.02474,0.0003,0.0,0.0,87.541,77.5,170.0,232.5,1.0084810753979345,1178.97195,10.0,137.51215,0.18473,0.02474,0.0003,1e-05,0.0
5.0,500.0,1000.0,1.0,100000,1015.07915,1015.0,15.07915,682.5,1352.5,0.46003,0.05311,0.00247,0.0,0.0,114.5957,100.0,225.0,305.0,1.0108156567680195,1394.196425,10.0,137.49987,0.22996,0.05311,0.00247,6e-05,0.0
5.0,500.0,1000.0,1.25,100000,1020.6112,1020.0,20.6112,610.0,1432.5,0.45317,0.0846,0.00881,6e-05,7e-05,141.4033,125.0,285.0,385.0,1.012751143383394,1616.41975,9.99986,137.50751,0.25843,0.0846,0.00881,0.00064,8e-05
5.0,500.0,1000.0,1.5,100000,1025.335575,1022.5,25.335575,540.0,1512.5,0.45378,0.11416,0.01804,0.0004,0.00025,167.56625,150.0,340.0,460.0,1.0141066886054522,1795.997325,9.99966,137.50594,0.28092,0.11416,0.01804,0.00203,0.00054
5.0,500.0,1000.0,2.0,100000,1034.899675,1032.5,34.899675,404.9375000000009,1670.0,0.44986,0.1609,0.04384,0.0031,0.00307,217.8478,195.0,445.0,607.5249999999869,1.01611778776546,2165.2894,9.993,137.40435,0.31363,0.1609,0.04384,0.00977,0.00445
5.0,500.0,1000.0,2.5,100000,1046.7695,1045.0,46.7695,235.0,1857.5,0.44701,0.2056,0.07732,0.01251,0.01267,276.59645,245.0,560.0,760.0,1.017576276575759,2660.9447,9.96706,136.98927,0.33765,0.2056,0.07732,0.02638,0.01542
5.0,500.0,1000.0,3.0,100000,1055.8276,1055.0,55.8276,-2.5,2007.5,0.44595,0.23454,0.10769,0.0259,0.02772,328.377875,292.5,665.0,892.5,1.0183378416619924,3044.393175,9.92131,136.27342,0.35325,0.23454,0.10769,0.04755,0.03243
