TrueCount,Hit EV,Stand EV,Double EV,Hands Played
-3.5,-0.250000,0.000000,-0.500000,4
-3,-0.400000,0.000000,-0.800000,10
-2.5,-0.150000,0.000000,-0.300000,20
-2,0.009009,0.000000,0.018018,111
-1.5,-0.259690,0.000000,-0.519380,258
-1,-0.281136,0.000000,-0.562271,1092
-0.5,-0.251994,0.000000,-0.503987,1881
0,-0.243167,0.000000,-0.486334,11013
0.5,-0.225035,0.000000,-0.450070,25005
1,-0.228815,0.000000,-0.457629,29242
1.5,-0.234275,0.000000,-0.468550,15819
2,-0.233620,0.000000,-0.467240,25473
2.5,-0.229680,0.000000,-0.459360,17655
3,-0.223276,0.000000,-0.446552,26250
3.5,-0.233498,0.000000,-0.466997,17559
4,-0.217242,0.000000,-0.434483,25833
4.5,-0.239946,0.000000,-0.479892,16983
5,-0.228430,0.000000,-0.456859,24594
5.5,-0.218044,0.000000,-0.436088,16382
6,-0.228992,0.000000,-0.457983,22717
6.5,-0.230257,0.000000,-0.460513,15309
7,-0.221474,0.000000,-0.442947,20183
7.5,-0.221907,0.000000,-0.443813,14087
8,-0.218243,0.000000,-0.436485,17366
8.5,-0.222385,0.000000,-0.444770,12955
9,-0.211614,0.000000,-0.423229,15429
9.5,-0.224839,0.000000,-0.449678,12907
10,-0.235213,0.000000,-0.470426,14540
10.5,-0.238621,0.000000,-0.477241,12962
11,-0.226713,0.000000,-0.453425,13956
11.5,-0.237924,0.000000,-0.475848,13891
12,-0.237120,0.000000,-0.474240,14305
12.5,-0.213506,0.000000,-0.427012,14379
13,-0.212439,0.000000,-0.424878,14776
13.5,-0.230110,0.000000,-0.460220,15058
14,-0.229727,0.000000,-0.459454,15057
14.5,-0.213033,0.000000,-0.426065,15162
15,-0.241995,0.000000,-0.483989,14740
15.5,-0.234655,0.000000,-0.469310,14907
16,-0.218301,0.000000,-0.436603,13999
16.5,-0.217439,0.000000,-0.434877,13751
17,-0.225584,0.000000,-0.451167,12891
17.5,-0.233190,0.000000,-0.466381,12582
18,-0.226974,0.000000,-0.453947,11248
18.5,-0.224184,0.000000,-0.448367,11727
19,-0.221268,0.000000,-0.442535,9893
19.5,-0.203864,0.000000,-0.407729,10610
20,-0.232550,0.000000,-0.465100,8381
20.5,-0.228328,0.000000,-0.456655,9609
21,-0.217750,0.000000,-0.435499,7403
21.5,-0.214325,0.000000,-0.428650,9131
22,-0.232800,0.000000,-0.465600,6250
22.5,-0.229570,0.000000,-0.459141,8982
23,-0.229734,0.000000,-0.459469,5872
23.5,-0.229483,0.000000,-0.458966,9151
24,-0.209197,0.000000,-0.418393,5502
24.5,-0.253141,0.000000,-0.506283,9789
25,-0.235792,0.000000,-0.471584,5437
25.5,-0.228986,0.000000,-0.457971,10350
26,-0.227001,0.000000,-0.454003,5696
26.5,-0.215158,0.000000,-0.430316,11136
27,-0.244080,0.000000,-0.488160,6039
27.5,-0.231057,0.000000,-0.462113,12049
28,-0.212858,0.000000,-0.425716,6253
28.5,-0.223451,0.000000,-0.446903,12656
29,-0.205152,0.000000,-0.410303,6600
29.5,-0.219451,0.000000,-0.438902,13192
30,-0.220149,0.000000,-0.440297,6591
30.5,-0.230758,0.000000,-0.461516,13590
31,-0.222973,0.000000,-0.445946,6956
31.5,-0.218297,0.000000,-0.436594,13587
32,-0.236490,0.000000,-0.472979,6643
32.5,-0.222056,0.000000,-0.444111,13330
33,-0.235239,0.000000,-0.470477,6351
33.5,-0.217353,0.000000,-0.434707,12597
34,-0.216046,0.000000,-0.432093,6207
34.5,-0.218607,0.000000,-0.437215,11834
35,-0.231936,0.000000,-0.463872,5868
35.5,-0.215257,0.000000,-0.430515,10880
36,-0.238451,0.000000,-0.476902,5217
36.5,-0.233067,0.000000,-0.466134,9641
37,-0.233070,0.000000,-0.466140,4681
37.5,-0.237053,0.000000,-0.474105,8496
38,-0.198507,0.000000,-0.397015,4020
38.5,-0.221134,0.000000,-0.442268,7353
39,-0.209830,0.000000,-0.419661,3479
39.5,-0.224500,0.000000,-0.448999,6196
40,-0.245513,0.000000,-0.491026,2953
40.5,-0.225788,0.000000,-0.451576,5204
41,-0.243265,0.000000,-0.486531,2450
41.5,-0.242635,0.000000,-0.485270,4311
42,-0.237864,0.000000,-0.475728,2060
42.5,-0.253404,0.000000,-0.506809,3378
43,-0.216874,0.000000,-0.433749,1766
43.5,-0.242816,0.000000,-0.485632,2784
44,-0.230674,0.000000,-0.461348,1617
44.5,-0.201073,0.000000,-0.402147,2422
45,-0.213291,0.000000,-0.426582,1580
45.5,-0.221818,0.000000,-0.443636,2200
46,-0.219849,0.000000,-0.439698,1592
46.5,-0.199079,0.000000,-0.398158,1954
47,-0.228049,0.000000,-0.456098,1640
47.5,-0.260913,0.000000,-0.521826,1993
48,-0.240111,0.000000,-0.480223,1795
48.5,-0.244752,0.000000,-0.489504,2096
49,-0.242439,0.000000,-0.484879,2017
49.5,-0.223602,0.000000,-0.447205,2254
50,-0.243302,0.000000,-0.486603,2314
50.5,-0.243620,0.000000,-0.487241,2508
51,-0.240133,0.000000,-0.480266,2711
51.5,-0.256374,0.000000,-0.512748,2824
52,-0.213417,0.000000,-0.426834,2877
52.5,-0.227921,0.000000,-0.455842,3295
53,-0.267560,0.000000,-0.535119,3360
53.5,-0.212612,0.000000,-0.425223,3584
54,-0.237552,0.000000,-0.475104,3856
54.5,-0.236373,0.000000,-0.472746,3871
55,-0.246759,0.000000,-0.493519,4243
55.5,-0.233957,0.000000,-0.467914,4488
56,-0.240156,0.000000,-0.480312,4622
56.5,-0.238632,0.000000,-0.477263,4794
57,-0.212013,0.000000,-0.424025,5028
57.5,-0.245294,0.000000,-0.490588,5153
58,-0.244118,0.000000,-0.488235,5440
58.5,-0.198389,0.000000,-0.396777,5585
59,-0.219465,0.000000,-0.438929,5641
59.5,-0.219389,0.000000,-0.438777,5921
60,-0.236224,0.000000,-0.472449,6134
60.5,-0.225528,0.000000,-0.451056,6252
61,-0.231001,0.000000,-0.462001,6316
61.5,-0.232891,0.000000,-0.465783,6561
62,-0.219073,0.000000,-0.438145,6491
62.5,-0.211790,0.000000,-0.423579,6582
63,-0.211031,0.000000,-0.422062,6781
63.5,-0.234380,0.000000,-0.468759,6754
64,-0.252422,0.000000,-0.504843,6917
64.5,-0.209649,0.000000,-0.419298,6840
65,-0.238267,0.000000,-0.476533,6946
65.5,-0.212446,0.000000,-0.424891,6910
66,-0.223719,0.000000,-0.447439,6754
66.5,-0.219196,0.000000,-0.438393,6720
67,-0.217253,0.000000,-0.434507,6932
67.5,-0.214429,0.000000,-0.428858,6487
68,-0.226294,0.000000,-0.452588,6549
68.5,-0.203781,0.000000,-0.407562,6242
69,-0.208706,0.000000,-0.417411,6157
69.5,-0.215767,0.000000,-0.431534,6076
70,-0.231806,0.000000,-0.463612,5936
70.5,-0.203735,0.000000,-0.407470,5890
71,-0.248055,0.000000,-0.496110,5656
71.5,-0.226721,0.000000,-0.453443,5359
72,-0.221968,0.000000,-0.443936,5244
72.5,-0.196967,0.000000,-0.393933,5077
73,-0.220218,0.000000,-0.440436,4768
73.5,-0.221218,0.000000,-0.442436,4647
74,-0.233069,0.000000,-0.466138,4415
74.5,-0.263805,0.000000,-0.527610,4147
75,-0.211486,0.000000,-0.422973,4057
75.5,-0.255759,0.000000,-0.511517,3777
76,-0.210378,0.000000,-0.420756,3546
76.5,-0.208421,0.000000,-0.416842,3325
77,-0.227852,0.000000,-0.455704,3059
77.5,-0.240594,0.000000,-0.481187,2897
78,-0.200075,0.000000,-0.400149,2684
78.5,-0.242460,0.000000,-0.484921,2520
79,-0.228340,0.000000,-0.456679,2343
79.5,-0.200853,0.000000,-0.401705,2111
80,-0.185610,0.000000,-0.371220,1918
80.5,-0.226732,0.000000,-0.453463,1848
81,-0.215492,0.000000,-0.430984,1717
