TrueCount,Hit EV,Stand EV,Double EV,Hands Played
-2,-0.280000,0.000000,-0.560000,25
-1.5,-0.455598,0.000000,-0.849421,259
-1,-0.469326,0.000000,-0.940158,2657
-0.5,-0.478958,0.000000,-0.953303,26447
0,-0.497650,0.000000,-0.995341,191472
0.5,-0.499295,0.000000,-0.998589,194240
1,-0.497221,0.000000,-0.994442,184226
1.5,-0.499023,0.000000,-0.998046,171928
2,-0.504608,0.000000,-1.009216,155059
2.5,-0.498397,0.000000,-0.996794,138179
3,-0.498747,0.000000,-0.997494,125276
3.5,-0.495202,0.000000,-0.990404,121609
4,-0.496748,0.000000,-0.993496,121301
4.5,-0.498796,0.000000,-0.997593,122120
5,-0.500380,0.000000,-1.000760,118376
5.5,-0.507412,0.000000,-1.014824,110362
6,-0.502853,0.000000,-1.005707,98828
6.5,-0.507160,0.000000,-1.014320,88270
7,-0.501707,0.000000,-1.003415,79070
7.5,-0.500598,0.000000,-1.001196,73592
8,-0.496663,0.000000,-0.993325,72363
8.5,-0.491639,0.000000,-0.983278,72836
9,-0.495835,0.000000,-0.991670,75509
9.5,-0.493540,0.000000,-0.987080,78405
10,-0.503264,0.000000,-1.006527,79209
10.5,-0.507516,0.000000,-1.015031,78171
11,-0.513170,0.000000,-1.026340,74716
11.5,-0.516429,0.000000,-1.032858,68567
12,-0.511994,0.000000,-1.023988,60905
12.5,-0.518353,0.000000,-1.036707,52742
13,-0.522683,0.000000,-1.045367,44438
13.5,-0.523764,0.000000,-1.047529,36904
14,-0.514700,0.000000,-1.029399,30579
14.5,-0.508687,0.000000,-1.017375,26130
15,-0.502810,0.000000,-1.005620,23130
15.5,-0.483039,0.000000,-0.966079,22346
16,-0.472713,0.000000,-0.945426,22923
16.5,-0.463782,0.000000,-0.927563,24656
17,-0.466600,0.000000,-0.933200,26991
17.5,-0.470512,0.000000,-0.941024,30860
18,-0.475079,0.000000,-0.950158,34529
18.5,-0.470326,0.000000,-0.940652,38384
19,-0.477970,0.000000,-0.955940,41580
19.5,-0.475136,0.000000,-0.950271,45547
20,-0.484215,0.000000,-0.968429,48431
20.5,-0.491503,0.000000,-0.983006,49959
21,-0.493247,0.000000,-0.986493,51974
21.5,-0.503197,0.000000,-1.006394,52240
22,-0.501580,0.000000,-1.003161,51571
22.5,-0.512223,0.000000,-1.024445,50644
23,-0.514048,0.000000,-1.028095,48264
23.5,-0.523198,0.000000,-1.046395,45285
24,-0.528982,0.000000,-1.057963,41716
24.5,-0.524356,0.000000,-1.048711,37938
25,-0.535276,0.000000,-1.070553,33691
25.5,-0.545495,0.000000,-1.090990,29201
26,-0.550627,0.000000,-1.101254,24957
26.5,-0.563836,0.000000,-1.127672,20678
27,-0.572377,0.000000,-1.144753,17029
27.5,-0.560860,0.000000,-1.121721,13342
28,-0.569931,0.000000,-1.139862,10875
28.5,-0.590397,0.000000,-1.180793,8247
29,-0.583483,0.000000,-1.166966,6115
29.5,-0.595166,0.000000,-1.190331,4592
30,-0.582430,0.000000,-1.164861,3415
30.5,-0.605367,0.000000,-1.210735,2273
31,-0.603738,0.000000,-1.207477,1605
31.5,-0.593777,0.000000,-1.187554,1157
32,-0.586375,0.000000,-1.172749,822
32.5,-0.531987,0.000000,-1.063973,594
33,-0.506329,0.000000,-1.012658,474
33.5,-0.518692,0.000000,-1.037383,428
34,-0.426630,0.000000,-0.853261,368
34.5,-0.349282,0.000000,-0.698565,418
35,-0.430804,0.000000,-0.861607,448
35.5,-0.402044,0.000000,-0.804089,587
36,-0.350877,0.000000,-0.701754,627
36.5,-0.337107,0.000000,-0.674214,795
37,-0.331203,0.000000,-0.662407,939
37.5,-0.400328,0.000000,-0.800656,1219
38,-0.408504,0.000000,-0.817008,1317
38.5,-0.451295,0.000000,-0.902589,1622
39,-0.411704,0.000000,-0.823408,1931
39.5,-0.387083,0.000000,-0.774165,2276
40,-0.413491,0.000000,-0.826982,2624
40.5,-0.429434,0.000000,-0.858868,3146
41,-0.439079,0.000000,-0.878157,3603
41.5,-0.399847,0.000000,-0.799695,3934
42,-0.433868,0.000000,-0.867736,4612
42.5,-0.413056,0.000000,-0.826112,5147
43,-0.439945,0.000000,-0.879890,5828
43.5,-0.432369,0.000000,-0.864739,6432
44,-0.425892,0.000000,-0.851783,7037
44.5,-0.432100,0.000000,-0.864201,7894
45,-0.430638,0.000000,-0.861276,8571
45.5,-0.450436,0.000000,-0.900872,9291
46,-0.451033,0.000000,-0.902065,10119
46.5,-0.482810,0.000000,-0.965620,10733
47,-0.456324,0.000000,-0.912648,11448
47.5,-0.469098,0.000000,-0.938196,12119
48,-0.471016,0.000000,-0.942031,12938
48.5,-0.488230,0.000000,-0.976461,13127
49,-0.474265,0.000000,-0.948530,13775
49.5,-0.481643,0.000000,-0.963286,14218
50,-0.499590,0.000000,-0.999180,14636
50.5,-0.486063,0.000000,-0.972125,14924
51,-0.500864,0.000000,-1.001728,15048
51.5,-0.478215,0.000000,-0.956429,15033
52,-0.501114,0.000000,-1.002228,14813
52.5,-0.503631,0.000000,-1.007262,15148
53,-0.501387,0.000000,-1.002773,14783
53.5,-0.523996,0.000000,-1.047993,14273
54,-0.535555,0.000000,-1.071111,14161
54.5,-0.545839,0.000000,-1.091678,13482
55,-0.534577,0.000000,-1.069153,13029
55.5,-0.545660,0.000000,-1.091321,12374
56,-0.533859,0.000000,-1.067719,11533
56.5,-0.552954,0.000000,-1.105908,11019
57,-0.544448,0.000000,-1.088895,10473
57.5,-0.555099,0.000000,-1.110199,9501
58,-0.547433,0.000000,-1.094866,8823
58.5,-0.568385,0.000000,-1.136769,8072
59,-0.574667,0.000000,-1.149335,7366
59.5,-0.565040,0.000000,-1.130080,6619
60,-0.564662,0.000000,-1.129324,5869
60.5,-0.580994,0.000000,-1.161988,5272
61,-0.587559,0.000000,-1.175117,4694
61.5,-0.581740,0.000000,-1.163480,4184
62,-0.604375,0.000000,-1.208750,3703
62.5,-0.595410,0.000000,-1.190820,3181
63,-0.591762,0.000000,-1.183523,2719
63.5,-0.613766,0.000000,-1.227532,2281
64,-0.632368,0.000000,-1.264736,1934
64.5,-0.619692,0.000000,-1.239385,1625
65,-0.623461,0.000000,-1.246923,1381
65.5,-0.664407,0.000000,-1.328814,1180
66,-0.618182,0.000000,-1.236364,935
66.5,-0.655673,0.000000,-1.311346,758
67,-0.616613,0.000000,-1.233227,626
67.5,-0.640535,0.000000,-1.281071,523
68,-0.534177,0.000000,-1.068354,395
68.5,-0.662116,0.000000,-1.324232,293
69,-0.551181,0.000000,-1.102362,254
69.5,-0.716895,0.000000,-1.433790,219
70,-0.639344,0.000000,-1.278689,122
70.5,-0.780702,0.000000,-1.561404,114
71,-0.563107,0.000000,-1.126214,103
71.5,-0.410959,0.000000,-0.821918,73
72,-0.719298,0.000000,-1.438596,57
72.5,-0.611111,0.000000,-1.222222,36
73,-0.575758,0.000000,-1.151515,33
73.5,-0.892857,0.000000,-1.785714,28
74,-0.733333,0.000000,-1.466667,15
74.5,-0.692308,0.000000,-1.384615,13
75,-1.000000,0.000000,-2.000000,3
75.5,-0.750000,0.000000,-1.500000,8
76,-1.000000,0.000000,-2.000000,3
76.5,-1.000000,0.000000,-2.000000,2
77,-1.000000,0.000000,-2.000000,1
77.5,-1.000000,0.000000,-2.000000,3
78,-1.000000,0.000000,-2.000000,1
78.5,-1.000000,0.000000,-2.000000,1
