TrueCount,Hit EV,Stand EV,Double EV,Split EV,Hands Played
-17,-25.000000,0.000000,-50.000000,0.000000,1
-16.5,-18.750000,0.000000,-37.500000,0.000000,4
-16,0.000000,-18.750000,0.000000,-18.750000,4
-15.5,-15.909091,9.090909,-31.818182,6.250000,11
-15,0.000000,6.250000,0.000000,-10.714286,4
-14.5,-4.166667,0.000000,-8.333333,-5.769231,12
-14,-25.000000,-2.500000,-50.000000,-6.818182,10
-13.5,-14.705882,4.411765,-29.411765,2.976190,34
-13,-14.062500,0.000000,-28.125000,0.000000,16
-12.5,-14.361702,3.723404,-28.723404,4.166667,47
-12,-11.274510,1.470588,-22.549020,4.824561,51
-11.5,-15.250000,3.000000,-30.500000,0.211864,100
-11,-15.000000,2.692308,-30.000000,3.246753,65
-10.5,-16.944444,2.222222,-33.888889,1.856436,180
-10,-15.476190,4.523810,-30.952381,5.084746,105
-9.5,-14.419476,1.966292,-28.838951,2.910959,267
-9,-12.787356,3.017241,-25.574713,1.719577,174
-8.5,-14.269142,3.016241,-28.538283,2.806653,431
-8,-14.501511,3.096677,-29.003021,2.688172,331
-7.5,-15.974212,4.906877,-31.948424,4.619921,698
-7,-13.137083,6.985940,-26.274165,6.721698,569
-6.5,-16.869037,5.052038,-33.738075,4.867601,1153
-6,-15.326340,4.953380,-30.652681,4.848008,858
-5.5,-15.877139,5.424817,-31.754279,4.684066,1636
-5,-14.935530,4.638252,-29.871060,4.285714,1396
-4.5,-14.905063,5.274262,-29.810127,5.247263,2370
-4,-15.943878,5.264378,-31.887755,4.738898,2156
-3.5,-15.284006,4.185351,-30.568012,4.218162,3345
-3,-15.096514,5.877269,-30.193028,5.211875,3471
-2.5,-14.815763,4.923234,-29.631525,4.958075,4885
-2,-14.918256,5.299728,-29.836512,5.880686,5505
-1.5,-14.880865,5.277006,-29.761731,5.651404,6841
-1,-15.285114,5.261104,-30.570228,5.410146,8330
-0.5,-15.039211,5.571289,-30.078423,5.617923,9181
0,-14.861022,5.623198,-29.722044,5.870075,12484
0.5,-16.534207,6.744711,-33.068414,6.517133,9311
1,-54.053890,22.426872,-108.107780,20.161120,8239
1.5,-61.040324,23.856993,-122.080648,23.189214,6671
2,-154.816211,56.102733,-309.632422,53.421481,5305
2.5,-182.404442,64.445868,-364.808883,64.065708,4683
3,-268.098385,107.246696,-536.196769,109.497956,3405
3.5,-301.080607,114.544393,-602.161215,122.180071,3424
4,-565.934066,189.377289,-1131.868132,194.309590,2184
4.5,-561.973055,223.728814,-1123.946110,237.533006,2301
5,-912.950699,358.204562,-1825.901398,350.355527,1359
5.5,-919.865113,408.951563,-1839.730227,399.242424,1631
6,-1131.513083,477.133106,-2263.026166,495.774648,879
6.5,-1237.606838,491.927825,-2475.213675,507.189542,1053
7,-1227.932961,524.767225,-2455.865922,615.898251,537
7.5,-1245.667125,508.940853,-2491.334250,558.956109,727
8,-1283.387622,410.423453,-2566.775244,507.182320,307
8.5,-1261.616162,410.101010,-2523.232323,490.949227,396
9,-1248.730964,761.421320,-2497.461929,647.302905,197
9.5,-1174.242424,287.878788,-2348.484848,397.435897,264
10,-1370.786517,719.101124,-2741.573034,653.846154,89
10.5,-1202.453988,588.957055,-2404.907975,518.518519,163
11,-1270.270270,567.567568,-2540.540541,395.604396,74
11.5,-1300.000000,700.000000,-2600.000000,631.578947,80
12,-1542.857143,342.857143,-3085.714286,465.116279,35
12.5,-1000.000000,818.181818,-2000.000000,913.043478,44
13,-1130.434783,-173.913043,-2260.869565,-230.769231,23
13.5,-956.521739,173.913043,-1913.043478,0.000000,23
14,-1200.000000,600.000000,-2400.000000,600.000000,10
14.5,-2000.000000,857.142857,-4000.000000,-222.222222,7
15,-2000.000000,666.666667,-4000.000000,666.666667,3
15.5,-2000.000000,857.142857,-4000.000000,857.142857,7
16,-2000.000000,1333.333333,-4000.000000,1333.333333,3
16.5,-2000.000000,1000.000000,-4000.000000,1600.000000,4
17.5,-2000.000000,-2000.000000,-4000.000000,-2000.000000,1
18.5,-2000.000000,0.000000,-4000.000000,0.000000,2
19.5,-2000.000000,2000.000000,-4000.000000,2000.000000,1
