Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
NoStrategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,0.997697,0.2303,49999.97,12.49,-115.14,275
HiLoStrategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.027440,-2.7440,50047.62,1735.33,1371.98,316
RPCStrategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.026733,-2.6733,50054.97,2056.22,1336.64,324
MentorStrategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,0.997976,0.2024,49999.37,313.26,-101.18,325
OmegaIIStrategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,0.997953,0.2047,49999.36,313.72,-102.35,325
WongHalvesStrategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.000891,-0.0891,50000.31,343.51,44.56,326
R14Strategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.000652,-0.0652,50000.22,338.23,32.61,326
ZenCountStrategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.027282,-2.7282,50056.82,2082.73,1364.12,327
RAPCStrategy,2,0.55,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.026138,-2.6138,50046.06,1762.13,1306.92,333
