Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
NoStrategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,0.997784,0.2216,49999.97,14.56,-110.81,346
HiLoStrategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.017992,-1.7992,50011.37,631.92,899.61,370
MentorStrategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,0.998882,0.1118,49999.59,366.59,-55.92,383
WongHalvesStrategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,0.999290,0.0710,49999.74,369.92,-35.49,384
R14Strategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,0.999323,0.0677,49999.75,370.84,-33.85,391
ZenCountStrategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.019686,-1.9686,50013.54,687.71,984.30,391
RPCStrategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.019204,-1.9204,50013.05,679.39,960.19,395
OmegaIIStrategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,0.998425,0.1575,49999.42,365.76,-78.77,400
RAPCStrategy,2,0.65,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.017293,-1.7293,50010.70,618.82,864.67,401
