Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
NoStrategy,8,0.5,H17,DAS,NoRAS,NoSurrender,3to2,17000000,0.994225,0.5775,49999.75,43.45,-288.75,323
HiLoStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,17000000,1.003889,-0.3889,50009.13,2348.11,194.44,349
ZenCountStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,17000000,1.004700,-0.4700,50014.64,3115.81,234.98,354
RAPCStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,17000000,1.003046,-0.3046,50008.12,2665.24,152.28,362
R14Strategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,17000000,0.993910,0.6090,49993.29,1102.26,-304.49,367
RPCStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,17000000,1.003971,-0.3971,50012.44,3133.11,198.53,367
MentorStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,17000000,0.993987,0.6013,49993.45,1089.37,-300.67,369
OmegaIIStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,17000000,0.994147,0.5853,49993.64,1086.21,-292.63,372
WongHalvesStrategy,8,0.50,H17,DAS,NoRAS,NoSurrender,3to2,17000000,0.993053,0.6947,49992.40,1093.43,-347.37,379
