DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,-6,-1.500000,-1.000000,1,Decline,-0.500000
11,-5.5,-0.166667,-0.666667,3,Accept,0.500000
11,-5,-0.166667,0.333333,3,Decline,-0.500000
11,-4.5,-0.043478,-0.065217,23,Accept,0.021739
11,-4,-0.158730,-0.087302,126,Decline,-0.071428
11,-3.5,-0.182134,-0.124130,431,Decline,-0.058004
11,-3,-0.188524,-0.123463,976,Decline,-0.065061
11,-2.5,-0.216440,-0.173831,3978,Decline,-0.042609
11,-2,-0.201773,-0.151572,14950,Decline,-0.050201
11,-1.5,-0.203125,-0.148827,50149,Decline,-0.054298
11,-1,-0.191858,-0.139835,160525,Decline,-0.052023
11,-0.5,-0.190888,-0.145476,602960,Decline,-0.045413
11,0,-0.298333,-0.248893,1313004,Decline,-0.049440
11,0.5,-0.434282,-0.393055,1828904,Decline,-0.041227
11,1,-0.390223,-0.347411,1300149,Decline,-0.042812
11,1.5,-0.382132,-0.337912,1356672,Decline,-0.044219
11,2,-0.384293,-0.339994,1404592,Decline,-0.044299
11,2.5,-0.386684,-0.343564,1350589,Decline,-0.043120
11,3,-0.382956,-0.338870,1045669,Decline,-0.044087
11,3.5,-0.386298,-0.342032,1278515,Decline,-0.044266
11,4,-0.384898,-0.340327,1369970,Decline,-0.044570
11,4.5,-0.390433,-0.346178,1175925,Decline,-0.044255
11,5,-0.379926,-0.335562,1074682,Decline,-0.044365
11,5.5,-0.390267,-0.347037,1075783,Decline,-0.043230
11,6,-0.385600,-0.340256,1290105,Decline,-0.045344
11,6.5,-0.387015,-0.343953,950006,Decline,-0.043062
11,7,-0.384509,-0.340619,1110532,Decline,-0.043890
11,7.5,-0.388669,-0.344354,885791,Decline,-0.044314
11,8,-0.383294,-0.340651,1231559,Decline,-0.042643
11,8.5,-0.384642,-0.340861,839120,Decline,-0.043781
11,9,-0.386627,-0.344683,1040090,Decline,-0.041944
11,9.5,-0.385189,-0.342051,801369,Decline,-0.043138
11,10,-0.384920,-0.341913,1156454,Decline,-0.043008
11,10.5,-0.384795,-0.341507,785681,Decline,-0.043288
11,11,-0.386100,-0.344585,884936,Decline,-0.041514
11,11.5,-0.383131,-0.338103,758972,Decline,-0.045029
11,12,-0.385296,-0.343314,1058159,Decline,-0.041982
11,12.5,-0.384531,-0.339573,744860,Decline,-0.044957
11,13,-0.387189,-0.344913,775279,Decline,-0.042276
11,13.5,-0.382972,-0.340794,734113,Decline,-0.042178
11,14,-0.386517,-0.344963,942890,Decline,-0.041554
11,14.5,-0.384760,-0.341177,712213,Decline,-0.043582
11,15,-0.386925,-0.341103,716522,Decline,-0.045823
11,15.5,-0.383960,-0.339681,709148,Decline,-0.044279
11,16,-0.388052,-0.347349,809348,Decline,-0.040702
11,16.5,-0.382226,-0.339036,684658,Decline,-0.043189
11,17,-0.383647,-0.339678,685967,Decline,-0.043969
11,17.5,-0.383208,-0.339402,685941,Decline,-0.043806
11,18,-0.386985,-0.347643,683916,Decline,-0.039343
11,18.5,-0.382567,-0.338731,668325,Decline,-0.043836
11,19,-0.382690,-0.339132,666709,Decline,-0.043558
11,19.5,-0.382442,-0.338416,670305,Decline,-0.044026
11,20,-0.386738,-0.347472,580201,Decline,-0.039267
11,20.5,-0.383966,-0.340190,651986,Decline,-0.043776
11,21,-0.384791,-0.341482,645541,Decline,-0.043309
11,21.5,-0.384890,-0.340726,649858,Decline,-0.044164
11,22,-0.388570,-0.351621,486633,Decline,-0.036949
11,22.5,-0.384422,-0.340530,631380,Decline,-0.043892
11,23,-0.383737,-0.340177,614824,Decline,-0.043560
11,23.5,-0.382725,-0.339134,624897,Decline,-0.043591
11,24,-0.385419,-0.347229,402838,Decline,-0.038190
11,24.5,-0.384335,-0.341007,609274,Decline,-0.043328
11,25,-0.386198,-0.345918,578937,Decline,-0.040279
11,25.5,-0.382851,-0.339630,605288,Decline,-0.043221
11,26,-0.386321,-0.346261,342749,Decline,-0.040060
11,26.5,-0.385011,-0.340654,594667,Decline,-0.044357
11,27,-0.385139,-0.344749,536114,Decline,-0.040390
11,27.5,-0.383804,-0.340712,581529,Decline,-0.043092
11,28,-0.388285,-0.345274,304606,Decline,-0.043011
11,28.5,-0.385430,-0.341061,575159,Decline,-0.044369
11,29,-0.387459,-0.348126,477905,Decline,-0.039333
11,29.5,-0.382489,-0.340908,555857,Decline,-0.041581
11,30,-0.385823,-0.342095,281980,Decline,-0.043728
11,30.5,-0.385453,-0.341124,550977,Decline,-0.044329
11,31,-0.385372,-0.347315,410174,Decline,-0.038057
11,31.5,-0.382312,-0.339316,532679,Decline,-0.042996
11,32,-0.383418,-0.341929,269012,Decline,-0.041489
11,32.5,-0.383302,-0.340652,530980,Decline,-0.042649
11,33,-0.386590,-0.346541,355137,Decline,-0.040049
11,33.5,-0.383048,-0.340745,518776,Decline,-0.042303
11,34,-0.383028,-0.339505,263606,Decline,-0.043523
11,34.5,-0.382681,-0.339221,518002,Decline,-0.043460
11,35,-0.386512,-0.344369,318083,Decline,-0.042143
11,35.5,-0.384578,-0.340006,505480,Decline,-0.044573
11,36,-0.386196,-0.339903,260514,Decline,-0.046293
11,36.5,-0.381787,-0.342068,498071,Decline,-0.039719
11,37,-0.382197,-0.339832,301609,Decline,-0.042364
11,37.5,-0.383637,-0.343271,482967,Decline,-0.040366
11,38,-0.382009,-0.340056,253520,Decline,-0.041953
11,38.5,-0.384652,-0.348871,462913,Decline,-0.035781
11,39,-0.380685,-0.333402,298584,Decline,-0.047283
11,39.5,-0.387719,-0.349598,439566,Decline,-0.038120
11,40,-0.384541,-0.344546,241168,Decline,-0.039995
11,40.5,-0.387280,-0.352109,410070,Decline,-0.035171
11,41,-0.381471,-0.332354,306848,Decline,-0.049117
11,41.5,-0.386693,-0.352593,383539,Decline,-0.034101
11,42,-0.382762,-0.342554,227418,Decline,-0.040208
11,42.5,-0.387864,-0.353752,352060,Decline,-0.034112
11,43,-0.384097,-0.333935,328455,Decline,-0.050162
11,43.5,-0.385940,-0.351671,327849,Decline,-0.034269
11,44,-0.383166,-0.336588,219911,Decline,-0.046578
11,44.5,-0.386362,-0.347113,300732,Decline,-0.039249
11,45,-0.380047,-0.325637,362687,Decline,-0.054409
11,45.5,-0.384441,-0.347326,286837,Decline,-0.037115
11,46,-0.379373,-0.332878,220899,Decline,-0.046494
11,46.5,-0.383359,-0.344753,268911,Decline,-0.038606
