TrueCount,Hit EV,Stand EV,Double EV,Hands Played
-16.5,-1.000000,0.000000,-2.000000,2
-15.5,-0.200000,0.000000,-0.400000,5
-14.5,-0.375000,0.000000,-1.250000,8
-14,-0.142857,0.000000,-0.285714,7
-13.5,0.142857,0.000000,-0.142857,14
-13,0.000000,0.000000,0.000000,2
-12.5,-0.135135,0.000000,-0.486486,37
-12,0.000000,0.000000,-0.276923,65
-11.5,-0.171717,0.000000,-0.525253,99
-11,0.000000,0.000000,0.000000,29
-10.5,-0.074830,0.000000,-0.136054,147
-10,-0.138249,0.000000,-0.267281,217
-9.5,0.010274,0.000000,-0.123288,292
-9,-0.059140,0.000000,-0.118280,186
-8.5,0.016771,0.000000,-0.150943,477
-8,0.007246,0.000000,-0.089855,690
-7.5,0.003236,0.000000,-0.075512,927
-7,-0.036598,0.000000,-0.189451,929
-6.5,0.008666,0.000000,-0.113229,1731
-6,0.032035,0.000000,-0.005914,2029
-5.5,0.027305,0.000000,-0.043045,3113
-5,0.012672,0.000000,-0.068713,3551
-4.5,0.017714,0.000000,-0.047845,5476
-4,0.034610,0.000000,-0.031586,5952
-3.5,0.051840,0.000000,0.002524,9510
-3,0.050497,0.000000,0.007345,11981
-2.5,0.055096,0.000000,0.008339,16789
-2,0.063208,0.000000,0.046220,19602
-1.5,0.068544,0.000000,0.042328,29295
-1,0.065724,0.000000,0.041672,38251
-0.5,0.080879,0.000000,0.084869,51373
-0,0.077264,0.000000,0.078991,68337
0.5,0.093189,0.000000,0.099117,90923
1,0.096132,0.000000,0.107714,60958
1.5,0.098407,0.000000,0.117540,47405
2,0.106158,0.000000,0.135569,33695
2.5,0.105427,0.000000,0.143432,26075
3,0.123256,0.000000,0.164445,19277
3.5,0.128378,0.000000,0.189852,15096
4,0.153879,0.000000,0.236062,9345
4.5,0.115733,0.000000,0.164318,8727
5,0.145753,0.000000,0.239077,5722
5.5,0.148494,0.000000,0.218498,4714
6,0.152384,0.000000,0.239691,3104
6.5,0.162755,0.000000,0.267026,2599
7,0.177846,0.000000,0.295385,1625
7.5,0.121543,0.000000,0.183923,1555
8,0.188609,0.000000,0.332400,1071
8.5,0.174745,0.000000,0.311224,784
9,0.205556,0.000000,0.333333,360
9.5,0.140127,0.000000,0.246285,471
10,0.140762,0.000000,0.246334,341
10.5,0.111607,0.000000,0.133929,224
11,0.220779,0.000000,0.467532,77
11.5,0.189394,0.000000,0.303030,132
12,0.093023,0.000000,0.069767,86
12.5,0.237288,0.000000,0.474576,59
13,0.000000,0.000000,0.000000,9
13.5,0.285714,0.000000,0.714286,28
14,0.379310,0.000000,0.827586,29
14.5,0.400000,0.000000,0.800000,20
15,0.000000,0.000000,0.000000,2
15.5,0.750000,0.000000,1.500000,8
16,0.000000,0.000000,0.000000,5
16.5,-1.000000,0.000000,-2.000000,1
17.5,0.000000,0.000000,0.000000,2
20,1.000000,0.000000,2.000000,1
