TrueCount,Hit EV,Stand EV,Double EV,Hands Played
25,0.291545,0.000000,0.431487,343
25.5,0.000000,0.000000,0.000000,2
26,0.327801,0.000000,0.331950,241
26.5,0.500000,0.000000,0.000000,4
27,0.280488,0.000000,0.520325,246
27.5,1.000000,0.000000,2.000000,2
28,0.311111,0.000000,0.322222,180
28.5,-1.000000,0.000000,-2.000000,1
29,0.186207,0.000000,0.110345,145
29.5,1.000000,0.000000,-2.000000,1
30,0.362903,0.000000,0.548387,124
31,0.404040,0.000000,0.666667,99
32,0.320000,0.000000,0.600000,100
33,0.365079,0.000000,0.253968,63
34,0.447761,0.000000,0.447761,67
35,0.480769,0.000000,0.884615,52
36,0.216216,0.000000,0.432432,37
37,0.208333,0.000000,0.000000,24
38,0.500000,0.000000,1.090909,22
39,0.500000,0.000000,1.000000,24
40,0.466667,0.000000,0.266667,15
41,0.333333,0.000000,0.666667,9
42,0.818182,0.000000,1.272727,11
43,0.000000,0.000000,-0.500000,8
44,0.600000,0.000000,2.000000,5
45,0.000000,0.000000,0.000000,2
46,1.000000,0.000000,1.000000,4
47,0.428571,0.000000,0.285714,7
48,-1.000000,0.000000,2.000000,1
49,1.000000,0.000000,2.000000,1
51,1.000000,0.000000,2.000000,1
52,1.000000,0.000000,2.000000,2
57,1.000000,0.000000,2.000000,1
