Game Config,Strategy,Decision Type,Player Hand,Dealer Upcard,Basic Strategy,Deviation Action,Crossover TC,Crossover TC CI Low,Crossover TC CI High,EV Advantage at Crossover,EV Advantage CI Low,EV Advantage CI High,Total Hands,TC Range Low,TC Range High,Confidence,EV Diff @ TC=0,EV Diff @ TC=-5,EV Diff @ TC=+5,Deviation
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,10,10,Hit,Double,3.660543,3.160543,4.160543,-0.002910,-0.002910,-0.002910,5581403,-15.000000,15.000000,high,-0.030257,-0.101064,0.017592,10 vs 10: Double @ TC>=3.7
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,10,11,Hit,Double,3.789620,3.289620,4.289620,0.008326,0.008326,0.008326,932039,-12.500000,12.000000,high,-0.099422,-0.224951,0.024445,10 vs 11: Double @ TC>=3.8
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,11,11,Hit,Double,1.332350,0.832350,1.832350,0.004545,0.004545,0.004545,1067068,-13.000000,12.000000,high,-0.030883,-0.131898,0.085655,11 vs 11: Double @ TC>=1.3
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,9,2,Double,Hit,-0.038931,-0.538931,0.461069,0.000785,0.000785,0.000785,1294094,-13.000000,13.000000,high,0.000785,-0.107772,0.061814,9 vs 2: Hit @ TC>=-0.0
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,9,7,Hit,Double,1.460513,0.960513,1.960513,0.000841,0.000841,0.000841,1256560,-13.000000,13.000000,high,-0.025479,-0.170862,0.072318,9 vs 7: Double @ TC>=1.5
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,12,2,Hit,Stand,3.795012,3.795012,3.795012,-0.005219,-0.005219,-0.005219,3345021,-14.000000,14.000000,high,0.054328,0.116516,-0.012342,12 vs 2: Stand @ TC>=3.8
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,12,3,Hit,Stand,1.926912,1.426912,2.426912,-0.002240,-0.002240,-0.002240,3402264,-14.000000,14.500000,high,0.032420,0.110781,-0.034946,12 vs 3: Stand @ TC>=1.9
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,13,2,Hit,Stand,1.252569,0.752569,1.752569,-0.002504,-0.002504,-0.002504,3423689,-14.000000,14.500000,high,0.028495,0.087931,-0.053554,13 vs 2: Stand @ TC>=1.3
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,13,3,Hit,Stand,0.341753,-0.158247,0.841753,-0.005914,-0.005914,-0.005914,3362776,-14.500000,15.000000,high,0.012772,0.078954,-0.072507,13 vs 3: Stand @ TC>=0.3
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,15,10,Hit,Stand,9.833673,9.333673,10.333673,-0.009310,-0.009310,-0.009310,11013872,-16.500000,15.500000,high,0.081754,0.139670,0.032426,15 vs 10: Stand @ TC>=9.8
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,16,10,Hit,Stand,7.152202,7.152202,7.152202,0.004991,0.004991,0.004991,10180004,-16.500000,15.500000,high,0.052674,0.102181,0.004736,16 vs 10: Stand @ TC>=7.2
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,10,11,Decline,Accept,2.726163,2.226163,3.226163,-0.003966,-0.003966,-0.003966,1477101,-13.000000,13.000000,high,-0.034168,-0.092570,0.022809,10 vs 11: Accept @ TC>=2.7
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,11,11,Decline,Accept,3.218061,2.718061,3.718061,-0.005636,-0.005636,-0.005636,1695756,-13.500000,13.000000,high,-0.034806,-0.095318,0.027646,11 vs 11: Accept @ TC>=3.2
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,12,11,Decline,Accept,4.764994,4.264994,5.264994,0.004804,0.004804,0.004804,3508001,-14.500000,14.000000,high,-0.050993,-0.115334,0.004804,12 vs 11: Accept @ TC>=4.8
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,13,11,Decline,Accept,2.929799,2.429799,3.429799,0.000474,0.000474,0.000474,3378552,-14.500000,14.000000,high,-0.034424,-0.091191,0.020001,13 vs 11: Accept @ TC>=2.9
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,14,11,Decline,Accept,3.217437,2.717437,3.717437,-0.004357,-0.004357,-0.004357,3156325,-14.000000,14.000000,high,-0.034007,-0.094716,0.028949,14 vs 11: Accept @ TC>=3.2
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,15,11,Decline,Accept,2.860202,2.360202,3.360202,0.001299,0.001299,0.001299,2949761,-14.000000,14.000000,high,-0.036368,-0.095694,0.026424,15 vs 11: Accept @ TC>=2.9
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,16,11,Decline,Accept,5.255006,4.755006,5.755006,0.005432,0.005432,0.005432,2890672,-14.000000,14.000000,high,-0.061399,-0.119847,-0.005654,16 vs 11: Accept @ TC>=5.3
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,17,11,Decline,Accept,3.416921,2.916921,3.916921,0.000109,0.000109,0.000109,2524128,-14.500000,13.500000,high,-0.032364,-0.099913,0.025226,17 vs 11: Accept @ TC>=3.4
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,18,11,Decline,Accept,3.080416,3.080416,3.080416,-0.001585,-0.001585,-0.001585,2308588,-14.500000,14.000000,high,-0.033643,-0.087062,0.005227,18 vs 11: Accept @ TC>=3.1
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,19,11,Decline,Accept,3.046101,2.546101,3.546101,-0.000609,-0.000609,-0.000609,2095736,-14.000000,13.000000,high,-0.032478,-0.090450,0.024254,19 vs 11: Accept @ TC>=3.0
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,20,11,Decline,Accept,2.906993,2.406993,3.406993,0.001689,0.001689,0.001689,3757352,-15.000000,14.000000,high,-0.035286,-0.093192,0.021080,20 vs 11: Accept @ TC>=2.9
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,21,11,Decline,Accept,2.469807,2.469807,2.469807,0.000821,0.000821,0.000821,1621776,-14.000000,13.000000,high,-0.033941,-0.093090,0.036503,21 vs 11: Accept @ TC>=2.5
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,4,11,Decline,Accept,3.229860,2.729860,3.729860,-0.008868,-0.008868,-0.008868,203211,-10.000000,10.500000,high,-0.035262,-0.075538,0.012966,4 vs 11: Accept @ TC>=3.2
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,5,11,Decline,Accept,3.304889,2.804889,3.804889,0.004342,0.004342,0.004342,425745,-11.000000,11.500000,high,-0.041891,-0.107002,0.031941,5 vs 11: Accept @ TC>=3.3
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,6,11,Decline,Accept,2.942026,2.942026,2.942026,0.001369,0.001369,0.001369,630098,-12.000000,12.500000,high,-0.034420,-0.112216,0.016857,6 vs 11: Accept @ TC>=2.9
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,7,11,Decline,Accept,3.396934,2.896934,3.896934,0.002145,0.002145,0.002145,851132,-12.000000,12.500000,high,-0.035318,-0.085380,0.024463,7 vs 11: Accept @ TC>=3.4
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,8,11,Decline,Accept,2.910685,2.910685,2.910685,0.001436,0.001436,0.001436,1051425,-12.500000,13.000000,high,-0.038463,-0.099445,0.015770,8 vs 11: Accept @ TC>=2.9
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,9,11,Decline,Accept,3.106633,2.606633,3.606633,-0.000881,-0.000881,-0.000881,1275672,-13.000000,13.000000,high,-0.035979,-0.086140,0.030362,9 vs 11: Accept @ TC>=3.1
6deck_80pen_s17,HiLoStrategy,Split_vs_Stand_Pair10s,20,5,Split,Stand,-9.869689,-9.869689,-9.869689,-0.081502,-0.081502,-0.081502,747697,-12.000000,11.500000,high,5.951107,3.637451,545.413365,20 vs 5: Stand @ TC>=-9.9
6deck_80pen_s17,HiLoStrategy,Split_vs_Stand_Pair10s,20,6,Split,Stand,-12.238528,-12.238528,-12.238528,3.149253,3.149253,3.149253,748989,-12.500000,12.000000,high,6.685158,4.375017,601.592528,20 vs 6: Stand @ TC>=-12.2
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,14,10,Hit,Surrender,6.321018,6.321018,6.321018,0.003643,0.003643,0.003643,11761420,-16.500000,15.500000,high,-0.077420,-0.140083,-0.016237,14 vs 10: Surrender @ TC>=6.3
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,15,9,Hit,Surrender,7.254451,6.754451,7.754451,0.006317,0.006317,0.006317,2786517,-14.500000,14.000000,high,-0.105133,-0.183692,-0.041499,15 vs 9: Surrender @ TC>=7.3
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,15,10,Hit,Surrender,2.870704,2.370704,3.370704,0.001926,0.001926,0.001926,11012633,-16.000000,15.500000,high,-0.040948,-0.112632,0.028657,15 vs 10: Surrender @ TC>=2.9
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,15,11,Hit,Surrender,5.335684,5.335684,5.335684,0.003844,0.003844,0.003844,1845490,-14.000000,13.000000,high,-0.063835,-0.121832,-0.007853,15 vs 11: Surrender @ TC>=5.3
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,16,9,Hit,Surrender,6.215502,6.215502,6.215502,-0.011413,-0.011413,-0.011413,2576786,-14.000000,14.000000,high,-0.072219,-0.127247,-0.014447,16 vs 9: Surrender @ TC>=6.2
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,16,10,Hit,Surrender,0.973428,0.973428,0.973428,0.000442,0.000442,0.000442,10181690,-16.000000,15.500000,high,-0.014161,-0.076825,0.050081,16 vs 10: Surrender @ TC>=1.0
6deck_80pen_s17,HiLoStrategy,Surrender_vs_Hit,16,11,Hit,Surrender,2.637502,2.137502,3.137502,-0.002175,-0.002175,-0.002175,1706628,-14.000000,13.000000,high,-0.035928,-0.089814,0.023124,16 vs 11: Surrender @ TC>=2.6
