Game Config,Strategy,Rules,Decision,Action A,Action B,Player Value,Dealer Upcard,Deviation TC,Total Hands,Notes
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Double,Double,Hit,9,2,1.5,83617177,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Double,Double,Hit,9,7,6.0,81236977,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Double,Double,Hit,10,10,5.5,332715852,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Double,Double,Hit,10,11,6.0,62266532,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Double,Double,Hit,11,11,1.5,71337066,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,12,2,5.5,204212496,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,12,3,2.5,207777604,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,13,2,-1.5,195026718,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,13,3,-3.5,189893891,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,15,10,5.5,562896118,
6deck_80pen_flatbet,MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,16,10,0.5,513545982,
6deck_80pen_flatbet,MentorStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,6.0,2134335523,Consolidated across all player hands
6deck_80pen_flatbet,MentorStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,8.5,48366815,
6deck_80pen_flatbet,MentorStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,7.5,48378690,
6deck_80pen_flatbet,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,14,10,4.0,607740705,
6deck_80pen_flatbet,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,9,3.5,154659524,
6deck_80pen_flatbet,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,10,-1.0,562896118,
6deck_80pen_flatbet,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,11,2.5,106404009,
6deck_80pen_flatbet,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,9,-1.0,141261099,
6deck_80pen_flatbet,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,10,-6.0,513545982,
6deck_80pen_flatbet,MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,11,-3.5,97173036,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Double,Double,Hit,9,2,1.5,83948019,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Double,Double,Hit,9,7,6.0,81552475,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Double,Double,Hit,10,10,5.5,334000741,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Double,Double,Hit,10,11,6.0,62497272,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Double,Double,Hit,11,11,1.5,71609548,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,12,2,5.5,205004095,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,12,3,2.5,208608497,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,13,2,-1.5,195752927,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,13,3,-3.5,190624568,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,15,10,5.5,565091436,
6deck_80pen_flatbet,MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,16,10,0.5,515551071,
6deck_80pen_flatbet,MentorStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,6.0,2142252902,Consolidated across all player hands
6deck_80pen_flatbet,MentorStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,8.5,48572502,
6deck_80pen_flatbet,MentorStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,7.5,48535528,
6deck_80pen_flatbet,MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,14,10,4.0,610145780,
6deck_80pen_flatbet,MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,9,3.5,155283452,
6deck_80pen_flatbet,MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,10,-1.0,565091442,
6deck_80pen_flatbet,MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,11,2.5,106815099,
6deck_80pen_flatbet,MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,9,-1.0,141804887,
6deck_80pen_flatbet,MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,10,-6.0,515551075,
6deck_80pen_flatbet,MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,11,-3.5,97521908,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Double,Double,Hit,9,2,1.0,83601187,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Double,Double,Hit,9,7,5.5,81228653,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Double,Double,Hit,10,10,5.5,332680293,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Double,Double,Hit,10,11,6.0,62268161,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Double,Double,Hit,11,11,1.5,71339110,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Stand,Hit,Stand,12,2,5.0,204206266,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Stand,Hit,Stand,12,3,2.0,207778626,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Stand,Hit,Stand,13,2,-1.5,194976391,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Stand,Hit,Stand,13,3,-3.5,189869545,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Stand,Hit,Stand,15,10,4.5,562801891,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Hit_vs_Stand,Hit,Stand,16,10,0.5,513488118,
6deck_80pen_flatbet,OmegaIIStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,5.5,2134072474,Consolidated across all player hands
6deck_80pen_flatbet,OmegaIIStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,8.0,48373449,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,7.0,48340196,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Surrender_vs_Hit,Surrender,Hit,14,10,3.5,607662139,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,9,3.5,154639451,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,10,-1.0,562801891,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,11,2.5,106381276,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,9,-1.0,141242149,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,10,-5.5,513488120,
6deck_80pen_flatbet,OmegaIIStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,11,-3.0,97160606,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Double,Double,Hit,9,2,1.0,83926982,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Double,Double,Hit,9,7,5.5,81547302,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Double,Double,Hit,10,10,6.0,333951748,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Double,Double,Hit,10,11,6.0,62494339,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Double,Double,Hit,11,11,1.5,71621193,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Stand,Hit,Stand,12,2,5.0,205007409,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Stand,Hit,Stand,12,3,2.0,208563135,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Stand,Hit,Stand,13,2,-1.5,195736730,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Stand,Hit,Stand,13,3,-3.5,190595915,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Stand,Hit,Stand,15,10,5.0,565049263,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Hit_vs_Stand,Hit,Stand,16,10,0.0,515454344,
6deck_80pen_flatbet,OmegaIIStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,5.5,2141902805,Consolidated across all player hands
6deck_80pen_flatbet,OmegaIIStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,8.0,48560026,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,7.0,48533893,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Surrender_vs_Hit,Surrender,Hit,14,10,3.5,610006739,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,9,3.5,155236251,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,10,-1.0,565049265,
6deck_80pen_flatbet,OmegaIIStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,11,2.5,106776545,
