Decision,Player,Dealer,HiLoStrategy_H17,HiLoStrategy_S17,MentorStrategy_H17,MentorStrategy_S17,OmegaIIStrategy_H17,OmegaIIStrategy_S17,R14Strategy_H17,R14Strategy_S17,RAPCStrategy_H17,RAPCStrategy_S17,RPCStrategy_H17,RPCStrategy_S17,WongHalvesStrategy_H17,WongHalvesStrategy_S17,ZenCountStrategy_H17,ZenCountStrategy_S17
Hit vs Double,9,2,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.5,1.0,1.0,3.5,4.0,1.0,1.0
Hit vs Double,9,7,2.5,3.0,47.0,48.5,39.5,38.5,48.5,48.5,10.5,11.0,6.0,6.0,19.5,19.5,5.5,5.5
Hit vs Double,10,10,2.5,2.5,47.0,47.0,42.5,42.5,49.5,53.5,8.0,8.5,5.0,5.0,21.0,21.0,4.5,4.5
Hit vs Double,10,11,2.5,2.5,47.0,47.0,40.0,42.5,49.5,49.5,8.0,8.0,5.0,4.5,21.0,21.0,4.5,4.5
Hit vs Double,11,11,-0.5,-0.5,18.0,15.0,16.5,16.5,25.0,25.0,-1.0,-0.5,-0.5,-0.5,10.5,11.0,0.0,0.0
Hit vs Stand,12,2,3.5,3.5,48.5,48.5,44.0,44.0,53.5,53.5,11.0,11.5,6.0,6.0,21.0,21.0,5.0,5.0
Hit vs Stand,12,3,2.0,2.0,47.0,38.5,38.5,38.5,48.5,48.5,6.5,6.5,4.0,3.5,19.0,19.0,2.5,2.5
Hit vs Stand,13,2,-0.5,-0.5,1.0,1.0,0.5,0.5,1.0,1.0,-1.0,-1.5,-1.0,-1.0,0.5,0.5,-1.0,-1.0
Hit vs Stand,13,3,-2.0,-2.0,0.5,0.5,0.0,-0.5,0.0,0.0,-4.5,-4.5,-3.0,-3.0,0.0,0.0,-3.0,-3.0
Hit vs Stand,15,10,3.0,3.0,47.0,47.0,40.0,42.5,49.5,49.5,9.5,9.5,5.5,5.5,21.0,21.0,4.5,4.5
Hit vs Stand,16,10,0.5,0.5,47.0,47.0,35.5,34.0,-10.5,38.5,3.0,3.0,1.5,1.5,12.5,12.5,1.0,1.0
InsuranceAccept vs Decline,ALL,11,2.5,2.5,47.0,47.0,42.5,42.5,53.5,53.5,8.0,8.0,4.5,4.5,21.0,21.0,4.0,4.0
Split vs Stand 10s,20,5,4.5,4.0,49.5,49.5,44.0,44.0,53.5,53.5,14.5,14.0,8.5,8.5,23.0,24.5,8.0,7.5
Split vs Stand 10s,20,6,4.0,4.0,49.5,49.5,44.0,44.0,53.5,53.5,14.0,14.0,8.0,8.5,23.0,22.5,7.5,7.5
Surrender vs Hit,14,10,3.0,2.5,47.0,47.0,39.5,39.5,48.5,48.5,8.0,8.0,4.5,4.5,19.5,19.5,4.0,4.0
Surrender vs Hit,15,9,2.0,2.0,47.0,47.0,38.5,38.5,48.5,48.5,7.0,7.0,4.0,4.0,19.0,19.0,3.5,3.5
Surrender vs Hit,15,10,-0.5,-0.5,18.0,18.0,16.5,16.5,25.0,25.0,-0.5,-0.5,-0.5,-0.5,11.0,11.0,-0.5,-0.5
Surrender vs Hit,15,11,0.5,0.5,38.5,47.0,34.0,34.0,38.5,38.5,2.5,3.0,1.5,1.5,12.5,12.5,1.5,1.5
Surrender vs Hit,16,9,0.0,0.0,35.0,35.0,27.0,27.0,38.5,38.5,1.0,1.5,0.5,1.0,12.5,12.5,0.5,1.0
Surrender vs Hit,16,10,-3.0,-3.0,-1.5,-1.5,-0.5,-0.5,-1.0,-2.5,-8.0,-8.0,-5.5,-5.5,-1.0,-1.0,-4.5,-4.5
Surrender vs Hit,16,11,-2.0,-2.0,-0.5,-0.5,0.0,0.0,-0.5,-0.5,-6.0,-6.0,-4.0,-3.5,-0.5,-0.5,-3.0,-3.0
