Decision,Player,Dealer,HiLoStrategy_H17,HiLoStrategy_S17,MentorStrategy_H17,MentorStrategy_S17,OmegaIIStrategy_H17,OmegaIIStrategy_S17,R14Strategy_H17,R14Strategy_S17,RAPCStrategy_H17,RAPCStrategy_S17,RPCStrategy_H17,RPCStrategy_S17,WongHalvesStrategy_H17,WongHalvesStrategy_S17,ZenCountStrategy_H17,ZenCountStrategy_S17
Hit vs Double,9,2,0.9,1.0,48.9,30.9,39.5,37.9,77.8,39.0,2.7,2.7,1.6,1.6,25.7,25.6,1.4,1.4
Hit vs Double,9,7,3.2,3.3,127.1,-0.9,94.3,93.0,103.0,102.9,11.1,10.4,6.8,6.6,47.3,47.0,6.3,6.2
Hit vs Double,10,10,3.4,3.4,127.3,125.8,96.9,96.8,142.5,-3.0,9.4,9.5,6.1,5.9,48.7,47.9,5.8,5.8
Hit vs Double,10,11,3.3,3.3,127.1,127.3,96.6,95.4,144.0,142.4,10.3,10.0,6.3,6.0,47.8,48.3,5.8,5.7
Hit vs Double,11,11,0.9,0.9,99.7,100.0,87.3,79.5,77.9,77.8,2.8,2.6,1.7,1.7,25.8,25.8,1.5,1.5
Hit vs Stand,12,2,3.3,3.4,125.0,125.9,96.8,96.8,148.8,144.9,10.3,10.4,5.9,5.9,48.8,47.9,5.1,4.8
Hit vs Stand,12,3,1.7,1.7,101.4,101.4,90.3,90.3,102.8,102.8,5.4,5.1,3.0,3.0,44.6,44.7,2.4,2.5
Hit vs Stand,13,2,-0.7,-0.8,-0.6,-0.2,-0.2,-0.2,-0.3,-0.3,-2.3,-2.4,-1.3,-1.4,-0.1,-0.1,-1.2,-1.2
Hit vs Stand,13,3,-2.2,-2.1,-0.6,102.7,-0.7,-1.5,-1.9,-1.6,-6.1,-6.2,-3.7,-3.6,-0.8,-0.7,-3.2,-3.2
Hit vs Stand,15,10,3.7,3.7,125.9,127.2,95.4,95.4,104.9,105.0,11.3,11.4,6.8,6.8,47.3,-1.9,5.7,5.6
Hit vs Stand,16,10,0.4,0.4,79.4,64.9,76.4,76.5,-3.0,-3.9,1.0,1.2,0.7,0.7,25.7,25.7,0.5,0.6
InsuranceAccept vs Decline,ALL,11,3.3,3.3,126.0,126.0,96.8,96.8,147.7,144.9,11.2,11.2,6.2,6.2,48.8,48.8,5.4,5.4
Split vs Stand 10s,20,5,4.7,4.6,130.0,132.2,98.3,97.0,147.7,147.7,15.5,15.6,9.2,8.9,49.5,49.4,8.3,8.2
Split vs Stand 10s,20,6,4.3,4.3,129.9,131.1,96.9,97.9,145.0,145.0,14.1,13.9,8.3,8.6,49.1,49.1,7.7,7.8
Surrender vs Hit,14,10,3.0,3.0,125.0,125.0,92.7,90.5,102.9,102.9,8.2,8.3,4.8,4.8,46.4,46.4,4.3,4.3
Surrender vs Hit,15,9,2.1,2.2,101.5,101.5,90.3,90.3,102.8,102.8,7.0,7.1,4.2,4.3,45.0,45.2,3.8,3.8
Surrender vs Hit,15,10,-0.4,-0.4,-0.1,-0.1,5.0,5.2,9.0,7.1,-1.1,-1.1,-0.7,-0.8,4.3,-1.8,-0.7,-0.7
Surrender vs Hit,15,11,1.4,1.5,101.4,-1.4,89.4,87.5,78.0,78.0,4.8,4.7,3.0,2.8,26.0,43.0,2.7,2.7
Surrender vs Hit,16,9,-0.4,-0.4,-0.1,-0.1,-0.2,-0.2,0.1,0.1,-1.5,-1.5,-0.8,-0.8,-0.0,-0.0,-0.7,-0.8
Surrender vs Hit,16,10,-3.2,-3.2,-1.6,102.7,,-1.6,,-2.9,-10.3,-10.5,-6.3,-6.3,-1.3,-1.4,-5.7,-5.7
Surrender vs Hit,16,11,-1.8,-1.8,-0.9,102.6,,-0.7,-1.3,-1.4,-6.0,-6.0,-3.9,-3.9,-0.6,-0.6,-3.5,-3.3
