Strategy,Decks,Penetration,DealerRule,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
NoStrategy,2,0.65,S17,10000000,0.998279,0.1721,999.87,72.82,-1.72,99
HiLoStrategy,2,0.65,S17,10000000,1.034245,-3.4245,1118.59,3463.10,34.24,107
MentorStrategy,2,0.65,S17,10000000,1.000557,-0.0557,1012.43,22329.92,0.56,112
RPCStrategy,2,0.65,S17,10000000,1.028438,-2.8438,1183.34,6447.04,28.44,112
RAPCStrategy,2,0.65,S17,10000000,1.023090,-2.3090,1197.45,8551.21,23.09,112
WongHalvesStrategy,2,0.65,S17,10000000,1.002972,-0.2972,1049.11,16525.13,2.97,112
OmegaIIStrategy,2,0.65,S17,10000000,1.000141,-0.0141,1002.96,21011.20,0.14,112
R14Strategy,2,0.65,S17,10000000,1.000607,-0.0607,1013.72,22614.28,0.61,113
ZenCountStrategy,2,0.65,S17,10000000,1.029475,-2.9475,1178.50,6055.90,29.48,114
