Game Config,Strategy,Decision Type,Player Hand,Dealer Upcard,Basic Strategy,Deviation Action,Crossover TC,Crossover TC CI Low,Crossover TC CI High,EV Advantage at Crossover,EV Advantage CI Low,EV Advantage CI High,Total Hands,TC Range Low,TC Range High,Confidence,EV Diff @ TC=0,EV Diff @ TC=-5,EV Diff @ TC=+5
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,13,11,Decline,Accept,2.392459,1.892459,2.892459,0.002219,0.002219,0.002219,2379021,-17.000000,15.500000,high,-0.029018,-0.097576,0.035144
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,14,11,Decline,Accept,2.271004,1.771004,2.771004,0.003298,0.003298,0.003298,2207459,-17.000000,15.500000,high,-0.027031,-0.089463,0.037372
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,15,11,Decline,Accept,2.578499,2.078499,3.078499,-0.001548,-0.001548,-0.001548,2074666,-17.000000,15.500000,high,-0.027278,-0.097071,0.039968
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,16,11,Decline,Accept,4.269257,4.269257,4.269257,0.009460,0.009460,0.009460,2003596,-17.000000,15.500000,high,-0.049238,-0.116274,0.005072
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,17,11,Decline,Accept,1.901985,1.401985,2.401985,0.001363,0.001363,0.001363,1767706,-18.000000,15.500000,high,-0.024631,-0.086657,0.043103
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,18,11,Decline,Accept,1.842651,1.342651,2.342651,0.003569,0.003569,0.003569,1602761,-17.000000,15.000000,high,-0.023441,-0.090841,0.018731
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,19,11,Decline,Accept,1.884999,1.884999,1.884999,0.002953,0.002953,0.002953,1463016,-17.000000,15.000000,high,-0.025693,-0.088498,0.041578
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,20,11,Decline,Accept,3.140246,3.140246,3.140246,-0.005248,-0.005248,-0.005248,2588303,-18.500000,15.500000,high,-0.035326,-0.098677,0.029895
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,21,11,Decline,Accept,1.562002,1.062002,2.062002,-0.001151,-0.001151,-0.001151,1051796,-17.000000,14.000000,high,-0.016672,-0.089411,0.045715
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,4,11,Decline,Accept,2.139752,2.139752,2.139752,-0.002115,-0.002115,-0.002115,133839,-11.000000,12.500000,high,-0.039098,-0.110057,0.033241
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,5,11,Decline,Accept,2.758773,2.258773,3.258773,0.006077,0.006077,0.006077,303700,-12.500000,13.500000,high,-0.032605,-0.080702,0.026372
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,6,11,Decline,Accept,,,,,,,437148,-13.500000,14.000000,high,-0.034913,-0.082434,0.024031
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,7,11,Decline,Accept,2.598979,2.098979,3.098979,-0.002889,-0.002889,-0.002889,608722,-14.500000,14.500000,high,-0.033516,-0.089420,0.032421
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,8,11,Decline,Accept,2.302389,1.802389,2.802389,0.004615,0.004615,0.004615,739618,-14.500000,15.000000,high,-0.032379,-0.093314,0.034869
2deck_65pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,9,11,Decline,Accept,2.329902,1.829902,2.829902,0.002280,0.002280,0.002280,910632,-15.500000,15.500000,high,-0.026552,-0.082466,0.035465
2deck_65pen_s17,HiLoStrategy,Split_vs_Stand_Pair10s,20,5,Split,Stand,-10.483235,-10.983235,-9.983235,-0.060155,-0.060155,-0.060155,483005,-15.000000,13.500000,high,10.264829,3.786545,654.291397
2deck_65pen_s17,HiLoStrategy,Split_vs_Stand_Pair10s,20,6,Split,Stand,-13.298245,-13.798245,-12.798245,-1.164609,-1.164609,-1.164609,483493,-14.500000,13.500000,high,11.458929,4.311273,740.512650
2deck_65pen_s17,HiLoStrategy,Surrender_vs_Hit,14,10,Hit,Surrender,5.931626,5.431626,6.431626,0.002302,0.002302,0.002302,8205235,-19.500000,18.500000,high,-0.070545,-0.146379,-0.019328
2deck_65pen_s17,HiLoStrategy,Surrender_vs_Hit,15,9,Hit,Surrender,7.685473,7.185473,8.185473,-0.004004,-0.004004,-0.004004,1946112,-16.500000,17.000000,high,-0.111325,-0.176353,-0.028706
2deck_65pen_s17,HiLoStrategy,Surrender_vs_Hit,15,10,Hit,Surrender,2.611079,2.111079,3.111079,-0.001149,-0.001149,-0.001149,7707665,-19.000000,18.500000,high,-0.034386,-0.112895,0.037049
2deck_65pen_s17,HiLoStrategy,Surrender_vs_Hit,15,11,Hit,Surrender,4.346088,3.846088,4.846088,0.001806,0.001806,0.001806,1304122,-17.000000,15.000000,high,-0.046935,-0.113233,0.011869
2deck_65pen_s17,HiLoStrategy,Surrender_vs_Hit,16,9,Hit,Surrender,5.998307,5.998307,5.998307,0.000064,0.000064,0.000064,1782138,-16.500000,15.500000,high,-0.081101,-0.142338,-0.020039
2deck_65pen_s17,HiLoStrategy,Surrender_vs_Hit,16,10,Hit,Surrender,1.583698,1.083698,2.083698,-0.001299,-0.001299,-0.001299,7059537,-19.000000,18.000000,high,-0.017834,-0.086942,0.044810
2deck_65pen_s17,HiLoStrategy,Surrender_vs_Hit,16,11,Hit,Surrender,2.321139,1.821139,2.821139,0.004806,0.004806,0.004806,1193613,-16.500000,14.500000,high,-0.026878,-0.078450,0.026720
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,10,10,Hit,Double,3.660543,3.160543,4.160543,-0.002910,-0.002910,-0.002910,5581403,-15.000000,15.000000,high,-0.030257,-0.101064,0.017592
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,10,11,Hit,Double,3.789620,3.289620,4.289620,0.008326,0.008326,0.008326,932039,-12.500000,12.000000,high,-0.099422,-0.224951,0.024445
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,11,11,Hit,Double,1.332350,0.832350,1.832350,0.004545,0.004545,0.004545,1067068,-13.000000,12.000000,high,-0.030883,-0.131898,0.085655
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,9,2,Double,Hit,-0.038931,-0.538931,0.461069,0.000785,0.000785,0.000785,1294094,-13.000000,13.000000,high,0.000785,-0.107772,0.061814
6deck_80pen_s17,HiLoStrategy,Hit_vs_Double,9,7,Hit,Double,1.460513,0.960513,1.960513,0.000841,0.000841,0.000841,1256560,-13.000000,13.000000,high,-0.025479,-0.170862,0.072318
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,12,2,Hit,Stand,3.795012,3.795012,3.795012,-0.005219,-0.005219,-0.005219,3345021,-14.000000,14.000000,high,0.054328,0.116516,-0.012342
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,12,3,Hit,Stand,1.926912,1.426912,2.426912,-0.002240,-0.002240,-0.002240,3402264,-14.000000,14.500000,high,0.032420,0.110781,-0.034946
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,13,2,Hit,Stand,1.252569,0.752569,1.752569,-0.002504,-0.002504,-0.002504,3423689,-14.000000,14.500000,high,0.028495,0.087931,-0.053554
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,13,3,Hit,Stand,0.341753,-0.158247,0.841753,-0.005914,-0.005914,-0.005914,3362776,-14.500000,15.000000,high,0.012772,0.078954,-0.072507
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,15,10,Hit,Stand,9.833673,9.333673,10.333673,-0.009310,-0.009310,-0.009310,11013872,-16.500000,15.500000,high,0.081754,0.139670,0.032426
6deck_80pen_s17,HiLoStrategy,Hit_vs_Stand,16,10,Hit,Stand,7.152202,7.152202,7.152202,0.004991,0.004991,0.004991,10180004,-16.500000,15.500000,high,0.052674,0.102181,0.004736
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,10,11,Decline,Accept,2.726163,2.226163,3.226163,-0.003966,-0.003966,-0.003966,1477101,-13.000000,13.000000,high,-0.034168,-0.092570,0.022809
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,11,11,Decline,Accept,3.218061,2.718061,3.718061,-0.005636,-0.005636,-0.005636,1695756,-13.500000,13.000000,high,-0.034806,-0.095318,0.027646
6deck_80pen_s17,HiLoStrategy,InsuranceAccept_vs_Decline,12,11,Decline,Accept,4.764994,4.264994,5.264994,0.004804,0.004804,0.004804,3508001,-14.500000,14.000000,high,-0.050993,-0.115334,0.004804
