Game Config,Strategy,Total Hands Analyzed,Hand Configurations,Valid Crossover Points,High Confidence Results,Coverage (%)
2deck_65pen_s17,HiLoStrategy,86220198,38,37,38,97.37
6deck_80pen_s17,HiLoStrategy,124027671,38,38,38,100.00
