DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,-inf,-0.364510,-0.108392,572,Decline,-0.256119
11,-10.5,0.250000,0.000000,2,Accept,0.250000
11,-10,0.750000,1.250000,4,Decline,-0.500000
11,-9.5,-0.285714,0.000000,7,Decline,-0.285714
11,-9,-0.312500,-0.093750,16,Decline,-0.218750
11,-8.5,-0.062500,-0.078125,32,Accept,0.015625
11,-8,-0.054688,0.093750,64,Decline,-0.148438
11,-7.5,-0.212329,-0.000000,146,Decline,-0.212329
11,-7,-0.114919,0.125000,248,Decline,-0.239919
11,-6.5,-0.101724,-0.018104,580,Decline,-0.083621
11,-6,-0.177566,-0.042689,1101,Decline,-0.134877
11,-5.5,-0.199121,-0.066836,2162,Decline,-0.132285
11,-5,-0.178528,-0.076341,4159,Decline,-0.102188
11,-4.5,-0.173732,-0.067360,7690,Decline,-0.106372
11,-4,-0.173341,-0.081885,14209,Decline,-0.091456
11,-3.5,-0.192964,-0.095344,25256,Decline,-0.097620
11,-3,-0.198145,-0.115223,42474,Decline,-0.082921
11,-2.5,-0.222545,-0.142723,68321,Decline,-0.079822
11,-2,-0.238676,-0.163756,104952,Decline,-0.074920
11,-1.5,-0.270083,-0.198352,151846,Decline,-0.071731
11,-1,-0.208549,-0.146653,300956,Decline,-0.061896
11,-0.5,-0.210553,-0.159821,654461,Decline,-0.050732
11,0,-0.306790,-0.248838,719548,Decline,-0.057952
11,0.5,-0.481005,-0.437321,1059054,Decline,-0.043685
11,1,-0.428791,-0.384020,870620,Decline,-0.044771
11,1.5,-0.372672,-0.321361,629958,Decline,-0.051311
11,2,-0.380374,-0.326275,598243,Decline,-0.054099
11,2.5,-0.385026,-0.332264,635634,Decline,-0.052761
11,3,-0.391283,-0.339030,660162,Decline,-0.052253
11,3.5,-0.395064,-0.345166,675440,Decline,-0.049898
11,4,-0.394188,-0.344413,683745,Decline,-0.049775
11,4.5,-0.394330,-0.346294,685846,Decline,-0.048035
11,5,-0.396489,-0.348696,684885,Decline,-0.047794
11,5.5,-0.394962,-0.349058,679442,Decline,-0.045904
11,6,-0.397793,-0.352290,673132,Decline,-0.045502
11,6.5,-0.400344,-0.353563,663816,Decline,-0.046782
11,7,-0.397736,-0.353132,652338,Decline,-0.044604
11,7.5,-0.398246,-0.356897,638027,Decline,-0.041349
11,8,-0.396910,-0.356770,621776,Decline,-0.040140
11,8.5,-0.398854,-0.360676,604600,Decline,-0.038178
11,9,-0.400114,-0.363431,581071,Decline,-0.036683
11,9.5,-0.400676,-0.365534,556408,Decline,-0.035142
11,10,-0.400088,-0.368599,528961,Decline,-0.031489
11,10.5,-0.401781,-0.373749,499413,Decline,-0.028032
11,11,-0.402962,-0.377884,468943,Decline,-0.025079
11,11.5,-0.403618,-0.381620,433482,Decline,-0.021997
11,12,-0.405541,-0.387387,397851,Decline,-0.018154
11,12.5,-0.404678,-0.391075,362608,Decline,-0.013603
11,13,-0.407446,-0.397148,325934,Decline,-0.010298
11,13.5,-0.409608,-0.401161,290904,Decline,-0.008446
11,14,-0.408755,-0.404608,254749,Decline,-0.004147
11,14.5,-0.408277,-0.410323,221373,Accept,0.002046
11,15,-0.410571,-0.415758,190486,Accept,0.005187
11,15.5,-0.411847,-0.422668,161208,Accept,0.010821
11,16,-0.413226,-0.429809,135109,Accept,0.016583
11,16.5,-0.413743,-0.435871,111283,Accept,0.022128
11,17,-0.409339,-0.441265,90678,Accept,0.031926
11,17.5,-0.417972,-0.447159,72652,Accept,0.029187
11,18,-0.411521,-0.448609,57471,Accept,0.037088
11,18.5,-0.415894,-0.459743,44949,Accept,0.043850
11,19,-0.407264,-0.456485,34609,Accept,0.049221
11,19.5,-0.418957,-0.470923,26344,Accept,0.051966
11,20,-0.410977,-0.480731,19332,Accept,0.069755
11,20.5,-0.425056,-0.485718,14284,Accept,0.060662
11,21,-0.426263,-0.489558,10151,Accept,0.063294
11,21.5,-0.409314,-0.487230,7322,Accept,0.077916
11,22,-0.426204,-0.508481,5129,Accept,0.082277
11,22.5,-0.414365,-0.510614,3439,Accept,0.096249
11,23,-0.428297,-0.532010,2343,Accept,0.103713
11,23.5,-0.414390,-0.504997,1501,Accept,0.090606
11,24,-0.440953,-0.543810,1050,Accept,0.102857
11,24.5,-0.370031,-0.470948,654,Accept,0.100917
11,25,-0.451823,-0.533854,384,Accept,0.082031
11,25.5,-0.370370,-0.506173,243,Accept,0.135802
11,26,-0.438202,-0.629213,178,Accept,0.191011
11,26.5,-0.423529,-0.541176,85,Accept,0.117647
11,27,-0.448276,-0.491379,58,Accept,0.043103
11,27.5,-0.256757,-0.324324,37,Accept,0.067568
11,28,-0.684210,-0.736842,19,Accept,0.052632
11,28.5,-0.545455,-0.181818,11,Decline,-0.363636
11,29,-1.500000,-1.000000,1,Decline,-0.500000
11,29.5,0.000000,-0.250000,4,Accept,0.250000
11,30,0.000000,-1.000000,1,Accept,1.000000
11,inf,-0.387425,-0.348312,5362175,Decline,-0.039113
