table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used,prob_end_below_0.9xB0,prob_end_below_0.75xB0,prob_end_below_0.5xB0,prob_end_below_0.25xB0
5.0,500.0,200.0,0.25,50000,197.51815,197.5,-2.48185,65.0,332.5,0.50806,0.23664,0.07264,0.00178,0.00334,40.9346,40.0,57.5,65.0,0.9968448507795641,786.60305,9.99676,137.44032,0.39324,0.23664,0.07264,0.01398
5.0,500.0,200.0,0.5,50000,197.69145,197.5,-2.30855,65.0,332.5,0.5051,0.23628,0.07348,0.00152,0.00352,40.87075,40.0,57.5,65.0,0.997066352124412,786.9213,9.99616,137.45644,0.39064,0.23628,0.07348,0.01374
5.0,500.0,200.0,0.75,50000,197.8166,197.5,-2.1834,62.5,332.5,0.50542,0.23562,0.07396,0.00156,0.00392,41.46055,40.0,60.0,70.0,0.9972458485114507,792.76685,9.99554,137.43098,0.38946,0.23562,0.07396,0.0152
5.0,500.0,200.0,1.0,50000,198.4475,197.5,-1.5525,60.0,337.5,0.50298,0.23988,0.07672,0.00234,0.00484,42.8542,40.0,62.5,75.0,0.9980789653511549,808.15825,9.9937,137.40178,0.39126,0.23988,0.07672,0.01708
5.0,500.0,200.0,1.25,50000,199.1575,200.0,-0.8425,55.0,342.5,0.4993,0.24482,0.08632,0.00356,0.0066,45.147,45.0,70.0,87.5,0.9989845598253659,829.68945,9.9892,137.3257,0.38942,0.24482,0.08632,0.02088
5.0,500.0,200.0,1.5,50000,200.23415,200.0,0.23415,47.5,352.5,0.49338,0.25234,0.09462,0.00598,0.00998,47.93265,45.0,75.0,100.0,1.0002735670763339,855.9144,9.98472,137.2464,0.39074,0.25234,0.09462,0.02582
5.0,500.0,200.0,2.0,50000,201.9523,202.5,1.9523,25.0,372.5,0.48628,0.26328,0.11524,0.0125,0.02002,54.468,50.0,95.0,125.0,1.0021518548408963,907.2638,9.96108,136.84852,0.39328,0.26328,0.11524,0.03992
5.0,500.0,200.0,2.5,50000,204.58725,205.0,4.58725,0.0,397.5,0.47702,0.27734,0.13492,0.02456,0.0381,63.94845,57.5,115.0,155.0,1.0046751879477023,981.1905,9.90402,135.93964,0.39204,0.27734,0.13492,0.0615
5.0,500.0,200.0,3.0,50000,205.99905,207.5,5.99905,-5.0,427.5,0.47142,0.29662,0.16438,0.04264,0.0618,73.58155,65.0,140.0,185.0,1.0057194681005737,1048.8825,9.82112,134.66494,0.39904,0.29662,0.16438,0.0885
5.0,500.0,200.0,4.0,50000,209.1806,210.0,9.1806,-15.0,482.5,0.46624,0.32094,0.20844,0.07954,0.1135,91.2528,80.0,175.0,230.0,1.007898549674135,1162.31465,9.62716,131.68388,0.40636,0.32094,0.20844,0.14022
5.0,500.0,200.0,5.0,50000,213.2823,210.0,13.2823,-30.0,552.5,0.46932,0.35194,0.25848,0.12658,0.17494,111.29785,100.0,212.5,275.0,1.0103562732495792,1282.53665,9.3397,127.3449,0.42026,0.35194,0.25848,0.1996
5.0,500.0,200.0,6.0,50000,216.27605,212.5,16.27605,-40.0,607.5,0.47208,0.37428,0.29558,0.1605,0.22366,127.6956,117.5,240.0,305.0,1.0119423874759401,1362.88075,9.07862,123.48908,0.42986,0.37428,0.29558,0.2463
5.0,500.0,200.0,7.0,50000,218.3883,207.5,18.3883,-52.5,677.5,0.48498,0.40566,0.34236,0.19404,0.27938,146.2674,135.0,272.5,350.0,1.012589332446955,1460.6255,8.76938,118.9062,0.45156,0.40566,0.34236,0.29896
5.0,500.0,500.0,0.25,50000,498.0193,497.5,-1.9807,365.0,632.5,0.50552,0.03454,0.00012,0.0,0.0,41.01935,40.0,60.0,65.0,0.997489351100502,788.91955,10.0,137.5182,0.23788,0.03454,0.00012,0.0
5.0,500.0,500.0,0.5,50000,499.5706,500.0,-0.4294,355.0,642.5,0.49534,0.0428,0.00036,0.0,0.0,44.957,45.0,67.5,85.0,0.9994833339088773,831.0977,10.0,137.50308,0.24432,0.0428,0.00036,0.0
5.0,500.0,500.0,0.75,50000,502.429,502.5,2.429,337.5,667.5625000000036,0.48238,0.06106,0.00172,0.0,0.0,52.7213,50.0,90.0,120.0,1.0026942904834477,901.53605,10.0,137.50094,0.25912,0.06106,0.00172,4e-05
5.0,500.0,500.0,1.0,50000,503.40965,502.5,3.40965,307.43750000000034,697.5,0.47916,0.0914,0.00654,0.0,2e-05,64.23695,57.5,117.5,160.0,1.003432222871772,993.42325,9.99996,137.50906,0.28414,0.0914,0.00654,0.00026
5.0,500.0,500.0,1.25,50000,506.49555,507.5,6.49555,282.5,732.5,0.47124,0.11432,0.01364,0.0001,0.00016,74.7041,65.0,142.5,195.0,1.0060310544686701,1077.0173,9.99988,137.50096,0.29648,0.11432,0.01364,0.00104
5.0,500.0,500.0,1.5,50000,510.1199,510.0,10.1199,247.5,772.5,0.4633,0.13734,0.02504,0.00058,0.00042,87.5391,77.5,170.0,235.0,1.0085837874572152,1178.9551,9.99934,137.4835,0.30752,0.13734,0.02504,0.00276
5.0,500.0,500.0,2.0,50000,514.1635,515.0,14.1635,177.5,850.0,0.4596,0.18686,0.05482,0.00412,0.0051,114.7324,100.0,227.5,305.0,1.0101655655436026,1393.28205,9.98958,137.33792,0.33476,0.18686,0.05482,0.01372
5.0,500.0,500.0,2.5,50000,521.091,520.0,21.091,97.5,940.0,0.45386,0.21964,0.0848,0.0142,0.01538,141.29145,125.0,280.0,382.5,1.0131189079316212,1607.67955,9.95866,136.85838,0.35124,0.21964,0.0848,0.0302
5.0,500.0,500.0,3.0,50000,525.09985,525.0,25.09985,-2.5,1012.5,0.45272,0.24704,0.11604,0.0279,0.032,167.05275,150.0,335.0,450.0,1.0141484764649116,1774.032,9.90922,136.0659,0.3633,0.24704,0.11604,0.05234
5.0,500.0,500.0,4.0,50000,533.79825,532.5,33.79825,-40.0,1167.5,0.45098,0.2845,0.16986,0.06574,0.07724,215.6931,195.0,435.0,570.0,1.0161343014319957,2094.80715,9.74134,133.50988,0.38086,0.2845,0.16986,0.10304
5.0,500.0,500.0,5.0,50000,543.5999,540.0,43.5999,-75.0,1357.5,0.45414,0.32658,0.22916,0.11576,0.1415,268.23865,245.0,527.5,667.5250000000051,1.0175461574159135,2484.86885,9.46882,129.36702,0.40012,0.32658,0.22916,0.16924
5.0,500.0,500.0,6.0,50000,551.5235,542.5,51.5235,-105.0,1517.5,0.46046,0.3565,0.27504,0.15704,0.19562,315.02945,290.0,605.0,770.0,1.0186766928658484,2758.70575,9.19054,125.22558,0.41628,0.3565,0.27504,0.22112
5.0,500.0,500.0,7.0,50000,553.07795,535.0,53.07795,-137.5,1667.5,0.47312,0.38742,0.3189,0.18726,0.25176,359.7116,330.0,680.0,875.0,1.0178393480131944,2975.33015,8.89936,120.90186,0.43672,0.38742,0.3189,0.2745
