table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used,prob_end_below_0.9xB0,prob_end_below_0.75xB0,prob_end_below_0.5xB0,prob_end_below_0.25xB0
5.0,500.0,500.0,4.0,10000,606.458,2.5,106.458,-70.0,2550.062499999999,0.5834,0.5648,0.5486,0.2974,0.5357,417.48675,400.0,655.0,825.0250000000005,1.0040119382088104,26535.304,64.9087,2787.037,0.5747,0.5648,0.5486,0.5389
5.0,500.0,500.0,5.0,10000,640.58975,0.0,140.58975,-92.5,3072.562499999999,0.6282,0.6143,0.6051,0.2973,0.5984,494.11775,470.0,800.0,997.5250000000005,1.0052263106380108,26900.3815,57.8992,2484.4942,0.6225,0.6143,0.6051,0.6006
5.0,500.0,500.0,6.0,10000,654.24175,-2.5,154.24175,-110.0,3442.624999999998,0.663,0.654,0.6472,0.2862,0.6407,563.58025,535.0,930.0,1180.0,1.0055645567802254,27718.60475,53.2148,2282.5396,0.6592,0.654,0.6472,0.6426
5.0,500.0,500.0,7.0,10000,690.964,-5.0,190.964,-125.0,3970.062499999999,0.688,0.6816,0.678,0.2779,0.6742,621.4155,590.0,1047.5,1327.550000000001,1.0069046051035753,27657.48325,48.5481,2081.1741,0.685,0.6816,0.678,0.6753
5.0,500.0,1000.0,0.25,10000,885.688,882.5,-114.312,107.43750000000006,1642.562499999999,0.6132,0.3603,0.1582,0.0021,0.0201,109.983,107.5,137.5,155.0,0.9953794577665637,24739.9535,99.6675,4291.2305,0.5136,0.3603,0.1582,0.0488
5.0,500.0,1000.0,0.5,10000,915.69075,917.5,-84.30925,2.5,1727.5,0.5788,0.3431,0.159,0.0051,0.0271,134.6425,127.5,197.5,242.5,0.9967416575827309,25874.8895,99.5139,4284.6362,0.4832,0.3431,0.159,0.0575
5.0,500.0,1000.0,0.75,10000,955.1035,950.0,-44.8965,0.0,1950.0,0.541,0.3431,0.1786,0.0199,0.0518,192.301,182.5,295.0,365.0,0.9984166681485845,28355.71075,98.6809,4248.4039,0.4598,0.3431,0.1786,0.0847
5.0,500.0,1000.0,1.0,10000,994.10225,987.5,-5.89775,-2.5,2105.062499999999,0.5077,0.3319,0.1958,0.038,0.076,237.76075,225.0,377.5,475.0,0.9998037057894011,30045.46075,97.7566,4208.2428,0.4348,0.3319,0.1958,0.1057
5.0,500.0,1000.0,1.25,10000,1035.55725,1033.75,35.55725,-17.5,2347.562499999999,0.4805,0.3387,0.2244,0.0808,0.1281,304.492,287.5,477.5,590.0,1.0011082087899987,32085.33475,95.5144,4111.004,0.4218,0.3387,0.2244,0.1536
5.0,500.0,1000.0,1.5,10000,1070.32675,1060.0,70.32675,-25.0,2562.562499999999,0.4662,0.3482,0.2463,0.1122,0.1593,351.2315,332.5,550.0,700.0,1.0020737980070449,33912.054,93.7214,4033.3894,0.417,0.3482,0.2463,0.181
5.0,500.0,1000.0,2.0,10000,1142.209,1110.0,142.209,-50.0,3105.0,0.4574,0.3696,0.3013,0.194,0.2434,464.753,440.0,725.0,892.5250000000005,1.003885378798204,36601.0645,88.7509,3818.2125,0.4218,0.3696,0.3013,0.2589
5.0,500.0,1000.0,2.5,10000,1211.24675,1130.0,211.24675,-75.0,3645.0,0.4647,0.4053,0.3636,0.2589,0.325,564.77975,537.5,877.5,1092.5,1.0054226658611563,38956.25425,83.2067,3578.2835,0.439,0.4053,0.3636,0.3352
5.0,500.0,1000.0,3.0,10000,1246.93025,1077.5,246.93025,-97.5,4065.0,0.4842,0.4375,0.4062,0.2909,0.3802,660.2595,627.5,1045.0,1297.5250000000005,1.0059943923127221,41193.54175,78.4258,3371.6884,0.4631,0.4375,0.4062,0.386
5.0,500.0,1000.0,4.0,10000,1329.65825,600.0,329.65825,-142.5,5112.624999999998,0.5358,0.5114,0.4937,0.3275,0.4801,837.89925,800.0,1310.0,1655.0,1.00762343570491,43242.74025,69.136,2970.3675,0.5256,0.5114,0.4937,0.4839
5.0,500.0,1000.0,5.0,10000,1392.65825,0.0,392.65825,-182.5,5937.5,0.5828,0.5698,0.56,0.3297,0.5514,998.1485,952.5,1590.2499999999964,1952.5250000000005,1.0085604730126077,45868.75625,61.9928,2662.0518,0.5768,0.5698,0.56,0.5537
5.0,500.0,1000.0,6.0,10000,1455.78275,-7.5,455.78275,-230.0,7172.687499999997,0.6268,0.618,0.6119,0.3175,0.6068,1150.61675,1097.5,1887.5,2340.0,1.0096745833494034,47111.357,56.037,2404.8891,0.6227,0.618,0.6119,0.6081
5.0,500.0,1000.0,7.0,10000,1487.35875,-17.5,487.35875,-260.06249999999994,7957.562499999999,0.6671,0.6617,0.6581,0.2995,0.6545,1270.97025,1202.5,2127.5,2667.5750000000016,1.0100957331135063,48273.7355,50.551,2168.1901,0.6652,0.6617,0.6581,0.6552
25.0,2000.0,1000.0,0.25,10000,698.93,12.5,-301.07,-25.0,4112.5,0.7376,0.7165,0.701,0.1648,0.6877,487.0925,487.5,625.0,687.5,0.9954659404320173,66401.8625,54.3392,2324.733,0.7294,0.7165,0.701,0.6912
25.0,2000.0,1000.0,0.5,10000,665.58625,12.5,-334.41375,-25.0,4025.0,0.749,0.7319,0.7159,0.155,0.7037,487.215,487.5,625.0,687.5,0.9948441995505665,64861.655,53.0966,2271.153,0.7425,0.7319,0.7159,0.7061
25.0,2000.0,1000.0,0.75,10000,663.6775,12.5,-336.3225,-25.0,4000.0,0.7489,0.729,0.716,0.1557,0.7025,488.55625,487.5,625.0,700.0,0.9948225854487092,64959.54625,53.1576,2273.6853,0.7406,0.729,0.716,0.7063
25.0,2000.0,1000.0,1.0,10000,689.39125,12.5,-310.60875,-25.0,4175.0,0.7424,0.7233,0.7094,0.1593,0.6971,490.175,487.5,625.0,700.0,0.9952604044286275,65534.86375,53.5223,2289.403,0.7341,0.7233,0.7094,0.7
25.0,2000.0,1000.0,1.25,10000,687.91625,12.5,-312.08375,-25.0,4187.812499999995,0.746,0.728,0.7147,0.1618,0.7036,497.6075,487.5,650.0,725.0,0.9952006339614465,65026.03625,52.7566,2256.7333,0.7383,0.728,0.7147,0.706
25.0,2000.0,1000.0,1.5,10000,693.53,12.5,-306.47,-25.0,4150.312499999995,0.7416,0.7239,0.709,0.1629,0.6987,504.5225,500.0,662.5,762.5,0.9953456129550725,65845.405,53.1964,2275.3764,0.7344,0.7239,0.709,0.7004
25.0,2000.0,1000.0,2.0,10000,764.24375,12.5,-235.75625,-25.0,4437.5,0.7265,0.7113,0.6974,0.1842,0.6876,541.42125,525.0,762.5,925.0,0.9965050453595469,67456.16875,53.2305,2277.5075,0.7196,0.7113,0.6974,0.6911
25.0,2000.0,1000.0,2.5,10000,778.31125,12.5,-221.68875,-50.0,4575.312499999995,0.7276,0.7137,0.7032,0.1904,0.6931,581.95,550.0,863.1249999999909,1087.5,0.9967179114360738,67545.02375,52.3164,2238.1744,0.7205,0.7137,0.7032,0.6951
25.0,2000.0,1000.0,3.0,10000,808.60875,12.5,-191.39125,-62.5,4925.312499999995,0.7323,0.7175,0.7082,0.1917,0.7009,652.6975,612.5,1025.624999999991,1275.1250000000027,0.9971789889182922,67844.9125,51.0061,2182.5042,0.7256,0.7175,0.7082,0.7026
25.0,2000.0,1000.0,4.0,10000,915.34,12.5,-84.66,-100.0,5675.0,0.734,0.7239,0.7159,0.2104,0.71,792.865,750.0,1275.0,1600.0,0.9987831542758361,69573.3225,48.5897,2079.263,0.7297,0.7239,0.7159,0.7112
25.0,2000.0,2000.0,0.25,10000,1509.22875,1212.5,-490.77125,-12.5,5150.0,0.6374,0.5484,0.4687,0.0826,0.3975,523.26875,512.5,650.0,712.5,0.9951110957258557,100384.7125,81.8253,3514.9009,0.6031,0.5484,0.4687,0.4169
25.0,2000.0,2000.0,0.5,10000,1536.4575,1200.0,-463.5425,-12.5,5275.0,0.6349,0.5486,0.4693,0.0911,0.394,525.75,525.0,650.0,725.0,0.995405388303937,100888.28625,82.0397,3524.3372,0.6007,0.5486,0.4693,0.4154
25.0,2000.0,2000.0,0.75,10000,1556.8775,1212.5,-443.1225,-12.5,5237.812499999995,0.6304,0.5442,0.4694,0.0979,0.3988,542.18375,525.0,687.5,800.0,0.9956353556849363,101525.455,81.6669,3508.0816,0.5949,0.5442,0.4694,0.4189
25.0,2000.0,2000.0,1.0,10000,1601.09,1237.5,-398.91,-25.0,5450.0,0.6108,0.5374,0.4672,0.1051,0.4051,590.86625,575.0,812.5,975.0,0.9961224219086807,102876.07125,80.8352,3472.5338,0.5802,0.5374,0.4672,0.4223
25.0,2000.0,2000.0,1.25,10000,1660.99875,1262.5,-339.00125,-25.0,5775.0,0.6095,0.5288,0.4679,0.1228,0.4068,646.9075,612.5,950.0,1162.6250000000027,0.9967558780951524,104497.075,80.5724,3461.0443,0.5775,0.5288,0.4679,0.4231
25.0,2000.0,2000.0,1.5,10000,1728.19125,1275.0,-271.80875,-50.0,5975.0,0.5938,0.5278,0.4708,0.1458,0.4214,736.83625,700.0,1113.124999999991,1387.5,0.9974135150526342,105088.085,78.6405,3378.0479,0.5659,0.5278,0.4708,0.4325
25.0,2000.0,2000.0,2.0,10000,1828.98,1075.0,-171.02,-87.5,6725.0,0.5833,0.5349,0.494,0.1811,0.461,927.15625,875.0,1437.5,1825.0,0.9984195300506984,108208.32125,75.0872,3224.8467,0.5629,0.5349,0.494,0.4688
25.0,2000.0,2000.0,2.5,10000,1960.01875,787.5,-39.98125,-125.0,7425.0,0.5839,0.5418,0.5103,0.2188,0.4825,1095.6625,1025.0,1750.0,2200.0,0.9996390212223808,110757.89625,72.2947,3104.5462,0.5671,0.5418,0.5103,0.4891
25.0,2000.0,2000.0,3.0,10000,2077.65,12.5,77.65,-175.0,8475.312499999996,0.5885,0.5538,0.5294,0.2435,0.5102,1289.125,1237.5,2050.0,2562.5,1.0006963590488238,111508.5675,69.1877,2970.6602,0.5748,0.5538,0.5294,0.5149
25.0,2000.0,2000.0,4.0,10000,2361.6875,12.5,361.6875,-262.5,10600.312499999996,0.6051,0.5875,0.5735,0.2844,0.5619,1651.8875,1575.0,2625.0,3287.6250000000027,1.003134892693712,115374.7625,62.486,2681.9561,0.5974,0.5875,0.5735,0.5648
25.0,2000.0,5000.0,0.25,10000,4445.9525,4437.5,-554.0475,425.0,8262.5,0.6061,0.359,0.1566,0.0018,0.0199,548.8225,537.5,687.5,775.0,0.9955191292716213,123647.285,99.6401,4290.2316,0.5123,0.359,0.1566,0.0517
