table_min,table_max,bankroll,kelly,num_replays,mean_end_bankroll,median_end_bankroll,mean_end_profit,p025_bankroll,p975_bankroll,prob_finish_down,prob_lose_25pct,prob_lose_50pct,prob_double,prob_ruin,mean_max_drawdown,median_max_drawdown,p95_max_drawdown,p99_max_drawdown,rtp,mean_total_wagered,mean_shoes_used,mean_hands_used
5.0,500.0,500.0,5.0,1000,1617.6975,1535.0,1117.6975,-4147.6875,7503.124999999999,0.346,0.328,0.315,0.584,0.287,722.6975,702.5,972.6249999999999,1172.9249999999997,1.003128515699949,357261.2725,1000.0,37408.435
5.0,500.0,500.0,6.0,1000,2018.7875,1978.75,1518.7875,-4613.6875,8588.812499999998,0.312,0.304,0.295,0.63,0.269,881.825,850.0,1227.8749999999995,1615.0,1.0038986604340978,389566.5,1000.0,37409.408
5.0,500.0,500.0,7.0,1000,2514.065,2523.75,2014.065,-5197.0,10182.999999999996,0.289,0.281,0.273,0.666,0.257,1037.9875,995.0,1480.6249999999995,1872.5,1.0046300026049246,435002.995,1000.0,37411.121
5.0,500.0,1000.0,0.25,1000,-113.55,-142.5,-1113.55,-2315.625,2115.125,0.832,0.772,0.699,0.028,0.543,122.8775,120.0,145.0,157.5,0.9947950975432515,213942.53,1000.0,37409.596
5.0,500.0,1000.0,0.5,1000,28.47,26.25,-971.53,-2267.8125,2515.25,0.805,0.746,0.663,0.054,0.49,160.905,155.0,215.1249999999999,270.025,0.9956000668008345,220805.625,1000.0,37410.074
5.0,500.0,1000.0,0.75,1000,354.375,346.25,-645.625,-2337.9375,3069.374999999998,0.676,0.614,0.543,0.109,0.385,232.0225,222.5,327.5,402.525,0.9972821142850263,237546.78,1000.0,37407.706
5.0,500.0,1000.0,1.0,1000,545.365,562.5,-454.635,-2302.5625,3450.4999999999995,0.622,0.561,0.48,0.155,0.349,303.56,295.0,420.0,542.5,0.9981914383410696,251379.32,1000.0,37410.978
5.0,500.0,1000.0,1.25,1000,758.755,727.5,-241.245,-2691.1875,4222.6875,0.566,0.509,0.439,0.247,0.343,368.9875,360.0,500.0,655.05,0.9990987878772597,267689.475,1000.0,37410.057
5.0,500.0,1000.0,1.5,1000,1036.11,991.25,36.11,-2580.6875,4700.374999999997,0.501,0.433,0.385,0.311,0.301,456.1425,435.0,655.0,812.525,1.0001252471852138,288309.8725,1000.0,37409.882
5.0,500.0,1000.0,2.0,1000,1405.99,1462.5,405.99,-3269.25,5993.062499999999,0.415,0.385,0.346,0.421,0.271,595.77,580.0,830.0,1077.5,1.0012678885801414,320209.525,1000.0,37410.257
5.0,500.0,1000.0,2.5,1000,1935.2925,2028.75,935.2925,-3770.6875,7200.1875,0.368,0.331,0.299,0.503,0.245,733.3325,705.0,1010.2499999999998,1250.3249999999998,1.0026174758422715,357326.125,1000.0,37410.066
5.0,500.0,1000.0,3.0,1000,2391.28,2392.5,1391.28,-3885.5625,8809.374999999998,0.344,0.317,0.286,0.547,0.225,888.04,852.5,1240.0,1557.5,1.003572368344022,389455.92,1000.0,37410.163
5.0,500.0,1000.0,4.0,1000,3306.4275,3303.75,2306.4275,-5849.625,12495.9375,0.297,0.28,0.269,0.618,0.237,1187.9975,1143.75,1687.5,2105.4249999999997,1.0049172550164773,469047.77,1000.0,37408.784
5.0,500.0,1000.0,5.0,1000,4361.4475,4145.0,3361.4475,-5785.5,14781.812499999998,0.26,0.248,0.226,0.665,0.197,1470.6275,1403.75,2105.125,2470.1,1.0062602212943175,536953.4625,1000.0,37410.458
5.0,500.0,1000.0,6.0,1000,5005.645,4950.0,4005.645,-8067.125,18079.437499999996,0.248,0.237,0.226,0.691,0.204,1736.2875,1677.5,2397.5,2982.5,1.0065547968111295,611101.3225,1000.0,37408.235
5.0,500.0,1000.0,7.0,1000,6053.2325,6262.5,5053.2325,-9669.625,20759.937499999996,0.264,0.253,0.244,0.69,0.217,2048.91,1982.5,2910.3749999999995,3451.424999999999,1.0073286146869247,689520.8325,1000.0,37409.662
10.0,1000.0,500.0,0.25,1000,-1845.8,-1795.0,-2345.8,-6490.25,2665.4999999999995,0.851,0.837,0.823,0.106,0.8,242.575,240.0,280.0,310.0,0.9945054181874968,426929.67,1000.0,37409.889
10.0,1000.0,500.0,0.5,1000,-1906.8,-1782.5,-2406.8,-6316.0,2460.125,0.859,0.849,0.836,0.099,0.801,242.465,240.0,280.0,310.0,0.9943626934539131,426941.48,1000.0,37411.882
10.0,1000.0,500.0,0.75,1000,-1717.32,-1720.0,-2217.32,-6270.875,2636.124999999999,0.836,0.825,0.807,0.117,0.783,244.64,240.0,285.0,310.0,0.9948082428335232,427084.69,1000.0,37409.24
10.0,1000.0,500.0,1.0,1000,-1648.72,-1620.0,-2148.72,-6026.125,2676.874999999998,0.824,0.811,0.792,0.115,0.767,246.99,240.0,290.0,310.04999999999995,0.9949778940697035,427852.385,1000.0,37408.724
10.0,1000.0,500.0,1.25,1000,-1532.01,-1460.0,-2032.01,-5956.125,2990.874999999999,0.806,0.79,0.779,0.136,0.757,256.7,250.0,310.0,345.04999999999995,0.9952792359434511,430440.915,1000.0,37408.923
10.0,1000.0,500.0,1.5,1000,-1499.34,-1515.0,-1999.34,-5920.625,3330.125,0.804,0.789,0.776,0.147,0.742,270.375,260.0,350.0,420.0,0.9953781541695373,432584.745,1000.0,37409.142
10.0,1000.0,500.0,2.0,1000,-1276.565,-1212.5,-1776.565,-5660.75,3561.999999999998,0.787,0.777,0.756,0.151,0.725,325.14,315.0,425.0,545.0,0.9959779387199974,441705.105,1000.0,37409.432
10.0,1000.0,500.0,2.5,1000,-1227.93,-1252.5,-1727.93,-6020.125,3735.125,0.754,0.737,0.725,0.19,0.692,390.875,380.0,515.2499999999998,670.05,0.9962171293701123,456777.45,1000.0,37408.382
10.0,1000.0,500.0,3.0,1000,-759.945,-610.0,-1259.945,-5925.5,4597.374999999998,0.666,0.646,0.629,0.251,0.59,467.135,450.0,630.4999999999995,880.0,0.9973473298530466,474972.36,1000.0,37409.705
10.0,1000.0,500.0,4.0,1000,-528.67,-572.5,-1028.67,-6386.75,5360.999999999999,0.652,0.639,0.618,0.283,0.588,616.585,595.0,870.0,1095.0,0.9979550113226137,503019.9,1000.0,37409.729
10.0,1000.0,500.0,5.0,1000,-232.33,-190.0,-732.33,-6900.375,6036.374999999999,0.581,0.572,0.556,0.37,0.526,742.08,720.0,1040.0,1320.0,0.9986332905365322,535834.44,1000.0,37410.709
10.0,1000.0,500.0,6.0,1000,374.335,230.0,-125.665,-7086.375,7996.874999999998,0.524,0.511,0.502,0.424,0.481,915.23,880.0,1280.0,1600.0,0.9997819639746154,576349.71,1000.0,37410.877
10.0,1000.0,500.0,7.0,1000,1065.475,1092.5,565.475,-7178.0,9339.124999999996,0.451,0.437,0.424,0.508,0.389,1055.955,1015.0,1510.2499999999998,1860.05,1.0009174493148698,616355.575,1000.0,37409.005
10.0,1000.0,1000.0,0.25,1000,-1265.7,-1367.5,-2265.7,-5481.125,3215.6249999999995,0.838,0.811,0.782,0.073,0.708,244.29,240.0,280.0,310.0,0.9946931944018482,426942.34,1000.0,37409.024
10.0,1000.0,1000.0,0.5,1000,-1187.07,-1227.5,-2187.07,-5850.5,3400.3749999999995,0.829,0.805,0.779,0.097,0.705,244.89,240.0,290.0,315.04999999999995,0.994888474918728,427870.345,1000.0,37407.615
10.0,1000.0,1000.0,0.75,1000,-1075.635,-1100.0,-2075.635,-5395.25,3491.124999999999,0.813,0.79,0.759,0.078,0.69,272.215,260.0,345.0,450.0,0.9952018509317709,432590.77,1000.0,37409.204
10.0,1000.0,1000.0,1.0,1000,-809.675,-820.0,-1809.675,-5450.0,3740.999999999999,0.772,0.735,0.704,0.121,0.623,326.61,315.0,450.0,545.2999999999997,0.9959028962352763,441696.16,1000.0,37408.209
10.0,1000.0,1000.0,1.25,1000,-595.165,-630.0,-1595.165,-5386.0,4255.25,0.736,0.694,0.667,0.142,0.596,391.675,380.0,530.0,670.0,0.9965073886050484,456725.59,1000.0,37409.75
10.0,1000.0,1000.0,1.5,1000,-418.2,-427.5,-1418.2,-5455.625,4745.0,0.728,0.696,0.662,0.171,0.569,465.04,450.0,640.2499999999998,805.0,0.9970154909948723,475187.04,1000.0,37408.574
10.0,1000.0,1000.0,2.0,1000,49.09,0.0,-950.91,-5911.625,5985.25,0.619,0.595,0.569,0.261,0.501,613.505,590.0,885.2499999999998,1095.1,0.9981087731775027,502800.61,1000.0,37408.085
10.0,1000.0,1000.0,2.5,1000,324.63,442.5,-675.37,-6242.75,6981.874999999998,0.58,0.549,0.51,0.314,0.448,748.445,730.0,1035.2499999999998,1310.0,0.9987402043224178,536094.87,1000.0,37409.804
10.0,1000.0,1000.0,3.0,1000,861.42,892.5,-138.58,-6861.375,8534.249999999996,0.508,0.48,0.456,0.402,0.418,905.565,875.0,1265.0,1565.3499999999997,0.9997595623124942,576365.55,1000.0,37409.393
10.0,1000.0,1000.0,4.0,1000,1872.655,1765.0,872.655,-7520.25,10967.499999999998,0.428,0.406,0.385,0.477,0.346,1200.62,1160.0,1690.4999999999995,2065.0,1.0013652219442515,639203.76,1000.0,37410.996
10.0,1000.0,1000.0,5.0,1000,2818.07,2830.0,1818.07,-8020.375,13690.5,0.376,0.361,0.338,0.553,0.307,1465.05,1400.0,2110.749999999999,2675.25,1.0025462552060809,714017.195,1000.0,37409.532
10.0,1000.0,1000.0,6.0,1000,3594.875,3655.0,2594.875,-10590.375,17542.374999999996,0.34,0.331,0.318,0.601,0.289,1783.755,1727.5,2445.25,2970.3499999999995,1.00332905476802,779462.995,1000.0,37410.385
10.0,1000.0,1000.0,7.0,1000,4679.72,4655.0,3679.72,-10761.875,19570.0,0.329,0.317,0.306,0.63,0.288,2061.7,1970.0,2961.249999999999,3665.0,1.0042306000801173,869786.775,1000.0,37407.613
10.0,1000.0,2000.0,0.25,1000,-291.39,-277.5,-2291.39,-4685.125,3556.4999999999986,0.851,0.782,0.71,0.014,0.553,245.475,240.0,290.0,315.0,0.9946450022244815,427897.47,1000.0,37408.975
10.0,1000.0,2000.0,0.5,1000,-46.975,-45.0,-2046.975,-4760.0,4611.499999999998,0.808,0.74,0.664,0.053,0.517,327.08,320.0,440.0,540.0,0.9953651761095527,441651.085,1000.0,37408.618
