Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
HiLoStrategy,8,0.3,S17,DAS,NoRAS,NoSurrender,3to2,12500000,0.998589,0.1411,49998.69,926.18,-70.57,147
MentorStrategy,8,0.30,S17,DAS,NoRAS,NoSurrender,3to2,12500000,0.998993,0.1007,49999.05,947.73,-50.33,151
RPCStrategy,8,0.30,S17,DAS,NoRAS,NoSurrender,3to2,12500000,0.998763,0.1237,49998.86,921.33,-61.86,151
RAPCStrategy,8,0.30,S17,DAS,NoRAS,NoSurrender,3to2,12500000,0.998553,0.1447,49998.73,876.52,-72.33,154
WongHalvesStrategy,8,0.30,S17,DAS,NoRAS,NoSurrender,3to2,12500000,0.996658,0.3342,49997.38,784.02,-167.09,154
R14Strategy,8,0.30,S17,DAS,NoRAS,NoSurrender,3to2,12500000,0.998956,0.1044,49998.98,973.58,-52.18,156
ZenCountStrategy,8,0.30,S17,DAS,NoRAS,NoSurrender,3to2,12500000,0.998588,0.1412,49998.72,903.57,-70.60,164
OmegaIIStrategy,8,0.30,S17,DAS,NoRAS,NoSurrender,3to2,12500000,0.998275,0.1725,49998.46,891.37,-86.27,165
