Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
MentorStrategy,2,0.4,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.010520,-1.0520,50006.89,654.67,525.98,201
RAPCStrategy,2,0.40,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.010398,-1.0398,50006.44,619.73,519.91,205
HiLoStrategy,2,0.40,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.010369,-1.0369,50006.75,650.77,518.44,208
RPCStrategy,2,0.40,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.010425,-1.0425,50006.79,651.68,521.24,215
WongHalvesStrategy,2,0.40,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.008898,-0.8898,50004.77,535.90,444.90,202
R14Strategy,2,0.40,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.009727,-0.9727,50006.52,670.01,486.36,203
ZenCountStrategy,2,0.40,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.010356,-1.0356,50006.65,642.22,517.80,214
OmegaIIStrategy,2,0.40,S17,DAS,NoRAS,NoSurrender,3to2,50000000,1.009711,-0.9711,50006.06,623.87,485.56,216
