Strategy,Decks,Penetration,DealerRule,DAS,RAS,Surrender,BlackjackPayout,Iterations,RTP,HouseEdge%,AvgWallet,AvgMoneyBet,NetPer1000,Duration_s
HiLoStrategy,2,0.8,H17,DAS,NoRAS,NoSurrender,3to2,50000000,1.027806,-2.7806,50096.38,3466.35,1390.29,371
MentorStrategy,2,0.80,H17,DAS,NoRAS,NoSurrender,3to2,50000000,1.027817,-2.7817,50092.74,3333.98,1390.86,378
RPCStrategy,2,0.80,H17,DAS,NoRAS,NoSurrender,3to2,50000000,1.028777,-2.8777,50099.81,3468.31,1438.85,384
RAPCStrategy,2,0.80,H17,DAS,NoRAS,NoSurrender,3to2,50000000,1.028867,-2.8867,50096.18,3331.66,1443.37,390
ZenCountStrategy,2,0.80,H17,DAS,NoRAS,NoSurrender,3to2,50000000,1.028744,-2.8744,50098.31,3420.05,1437.20,383
OmegaIIStrategy,2,0.80,H17,DAS,NoRAS,NoSurrender,3to2,50000000,1.027172,-2.7172,50089.80,3304.70,1358.62,384
WongHalvesStrategy,2,0.80,H17,DAS,NoRAS,NoSurrender,3to2,50000000,1.026251,-2.6251,50077.36,2946.83,1312.54,386
R14Strategy,2,0.80,H17,DAS,NoRAS,NoSurrender,3to2,50000000,1.026449,-2.6449,50091.73,3468.27,1322.45,389
