Strategy,Rules,Decision,Action A,Action B,Player Value,Dealer Upcard,Deviation TC,Total Hands,Notes
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,9,2,0.9,83791873,
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,9,7,3.2,81407283,
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,10,10,3.4,333483031,
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,10,11,3.3,62411489,
HiLoStrategy,H17,Hit_vs_Double,Double,Hit,11,11,0.9,71549407,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,12,2,3.3,204646961,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,12,3,1.7,208248306,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,13,2,-0.7,195393198,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,13,3,-2.2,190290504,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,15,10,3.7,564291222,
HiLoStrategy,H17,Hit_vs_Stand,Hit,Stand,16,10,0.4,514797330,
HiLoStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,3.3,2140032416,Consolidated across all player hands
HiLoStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,N/A,48496860,
HiLoStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,N/A,48484382,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,14,10,3.0,609179869,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,9,2.1,155008925,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.4,564291226,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,11,1.4,106713400,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,9,-0.4,141590461,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,10,-3.2,514797330,
HiLoStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,11,-1.8,97441418,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,9,2,1.0,84095918,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,9,7,3.3,81732670,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,10,10,3.4,334745528,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,10,11,3.3,62652886,
HiLoStrategy,S17,Hit_vs_Double,Double,Hit,11,11,0.9,71799903,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,12,2,3.4,205451914,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,12,3,1.7,209045496,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,13,2,-0.8,196154400,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,13,3,-2.1,191003416,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,15,10,3.7,566497311,
HiLoStrategy,S17,Hit_vs_Stand,Hit,Stand,16,10,0.4,516791597,
HiLoStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,3.3,2147992520,Consolidated across all player hands
HiLoStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,N/A,48681245,
HiLoStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,N/A,48666264,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,14,10,3.0,611564065,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,9,2.2,155640559,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.4,566497311,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,11,1.5,107078310,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,9,-0.4,142137367,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,10,-3.2,516791597,
HiLoStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,11,-1.8,97828357,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,9,2,48.9,84428755,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,9,7,127.1,82033011,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,10,10,127.3,335919636,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,10,11,127.1,62872996,
MentorStrategy,H17,Hit_vs_Double,Double,Hit,11,11,99.7,72048346,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,12,2,125.0,206173754,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,12,3,101.4,209818843,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,13,2,-0.6,196893493,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,13,3,-0.6,191709861,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,15,10,125.9,568282071,
MentorStrategy,H17,Hit_vs_Stand,Hit,Stand,16,10,79.4,518470394,
MentorStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,126.0,2155119302,Consolidated across all player hands
MentorStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,N/A,48840539,
MentorStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,N/A,48830619,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,14,10,125.0,613579253,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,9,101.5,156171648,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.1,568282071,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,15,11,101.4,107432268,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,9,-0.1,142626017,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,10,-1.6,518470394,
MentorStrategy,H17,Surrender_vs_Hit,Surrender,Hit,16,11,-0.9,98106921,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,9,2,30.9,84758386,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,9,7,-0.9,82332874,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,10,10,125.8,337220340,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,10,11,127.3,63107738,
MentorStrategy,S17,Hit_vs_Double,Double,Hit,11,11,100.0,72307783,
MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,12,2,125.9,206974461,
MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,12,3,101.4,210622507,
MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,13,2,-0.2,197668532,
MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,13,3,102.7,192475972,
MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,15,10,127.2,570581897,
MentorStrategy,S17,Hit_vs_Stand,Hit,Stand,16,10,64.9,520527048,
MentorStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,126.0,2163233087,Consolidated across all player hands
MentorStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,N/A,49027830,
MentorStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,N/A,49016797,
MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,14,10,125.0,616054606,
MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,9,101.5,156764094,
MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,10,-0.1,570581897,
MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,15,11,-1.4,107861441,
MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,9,-0.1,143196499,
MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,10,102.7,520527048,
MentorStrategy,S17,Surrender_vs_Hit,Surrender,Hit,16,11,102.6,98477706,
NoStrategy,H17,Hit_vs_Double,Double,Hit,9,2,N/A,83617535,
NoStrategy,H17,Hit_vs_Double,Double,Hit,9,7,N/A,81228300,
NoStrategy,H17,Hit_vs_Double,Double,Hit,10,10,N/A,332688664,
NoStrategy,H17,Hit_vs_Double,Double,Hit,10,11,N/A,62271734,
NoStrategy,H17,Hit_vs_Double,Double,Hit,11,11,N/A,71327807,
